;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;134;MIDDLE;2101731;19;JUNGLE;2077376;18;BOTTOM;4131008;555;BOTTOM;2466922;164;TOP;2463078;35;JUNGLE;1998729;498;BOTTOM;2335966;8;MIDDLE;2383363;117;BOTTOM;3527121;39;TOP;569095;Fail;Win;236;163;157;91;145;157;24;7;41;81;1400334440
0;103;MIDDLE;4144418;64;JUNGLE;3931694;12;MIDDLE;5001267;59;BOTTOM;552733;114;TOP;4499324;43;BOTTOM;22055132;164;TOP;569095;120;JUNGLE;30563222;39;MIDDLE;17972381;145;BOTTOM;1998729;Win;Fail;82;41;25;8;5;5;41;142;157;91;1400340445
0;53;NONE;457897;157;NONE;20860131;92;NONE;3072094;41;NONE;2835328;60;NONE;9153771;16;NONE;3057217;7;NONE;21230246;27;NONE;15640138;202;NONE;623639;11;NONE;569095;Fail;Win;24;266;164;-1;497;39;5;85;82;163;1399403551
0;133;BOTTOM;21142674;80;MIDDLE;20014792;63;BOTTOM;526203;114;TOP;4499324;64;JUNGLE;1623169;76;JUNGLE;20640125;25;BOTTOM;3299674;39;TOP;569095;91;MIDDLE;7591541;8;BOTTOM;990588;Fail;Win;164;157;497;-1;41;5;142;48;41;163;1399374443
0;236;BOTTOM;1187726;62;TOP;3856504;105;MIDDLE;1560796;63;BOTTOM;526203;164;JUNGLE;569095;516;BOTTOM;1541085;36;JUNGLE;14850127;412;BOTTOM;3845230;98;MIDDLE;10878247;24;TOP;13731843;Win;Fail;240;104;497;91;5;81;163;157;12;8;1399350713
0;163;JUNGLE;30992817;12;BOTTOM;19340127;61;MIDDLE;7482188;39;BOTTOM;531309;114;TOP;569095;145;BOTTOM;3222212;64;JUNGLE;20640125;201;BOTTOM;3299674;122;MIDDLE;13731843;555;BOTTOM;3845230;Win;Fail;25;41;497;142;30;104;81;164;48;236;1399321228
0;24;TOP;15860130;81;BOTTOM;15890130;427;JUNGLE;2640979;13;MIDDLE;5380405;12;BOTTOM;24840087;5;JUNGLE;1798029;201;BOTTOM;407197;67;BOTTOM;1952539;39;MIDDLE;569095;240;TOP;1608051;Fail;Win;145;412;25;163;104;164;117;114;41;25;1399282580
0;42;NONE;1952539;516;NONE;403551;555;NONE;1998729;238;NONE;3876563;121;NONE;1932352;102;NONE;3962211;34;NONE;993658;40;NONE;2640979;236;NONE;26810871;114;NONE;569095;Win;Fail;142;39;154;427;164;69;81;145;157;41;1399128145
0;117;BOTTOM;404393;236;BOTTOM;10110908;157;MIDDLE;17965375;19;JUNGLE;1100839;84;TOP;1314581;13;MIDDLE;18280139;163;JUNGLE;18280140;39;TOP;569095;51;MIDDLE;1291697;25;BOTTOM;761600;Fail;Win;81;31;497;104;142;41;497;11;201;164;1399002415
0;114;TOP;569095;13;MIDDLE;18280139;163;JUNGLE;18280140;157;BOTTOM;27740439;12;BOTTOM;472453;8;TOP;18260234;82;BOTTOM;6632369;412;BOTTOM;448798;34;MIDDLE;402032;35;JUNGLE;17965375;Win;Fail;25;41;142;164;11;25;39;7;117;164;1398975594
