;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;50;MIDDLE;404947;164;TOP;12110444;15;BOTTOM;506649;19;JUNGLE;235541;117;BOTTOM;644072;48;JUNGLE;4390704;8;TOP;8930124;41;TOP;10061504;236;BOTTOM;478594;63;BOTTOM;568646;Fail;Win;27;24;163;145;11;142;16;5;39;35;210390930
0;267;BOTTOM;7281092;81;BOTTOM;508906;27;TOP;10061504;56;JUNGLE;361306;7;MIDDLE;323313;36;TOP;5900441;5;JUNGLE;644072;110;BOTTOM;632520;13;MIDDLE;11860960;12;BOTTOM;771385;Win;Fail;8;104;122;90;157;25;164;-1;236;24;210387402
0;27;TOP;10061504;236;TOP;3665599;104;JUNGLE;1720492;498;BOTTOM;9170548;201;BOTTOM;508749;12;BOTTOM;508906;39;MIDDLE;923478;36;TOP;503122;82;BOTTOM;303883;76;JUNGLE;1892186;Win;Fail;142;202;5;25;24;8;28;164;81;266;210376579
0;28;NONE;10061504;164;NONE;12110444;157;NONE;564778;432;NONE;11350137;498;NONE;9660178;555;NONE;303883;67;NONE;291848;4;NONE;11501277;78;NONE;299446;11;NONE;6130376;Win;Fail;-1;104;142;163;5;39;145;119;-1;104;210385565
0;62;JUNGLE;349960;202;BOTTOM;399995;39;MIDDLE;11360138;143;BOTTOM;1343871;13;MIDDLE;11860960;141;JUNGLE;4491948;43;MIDDLE;569466;81;BOTTOM;10061504;27;TOP;929978;99;BOTTOM;713688;Win;Fail;35;104;497;96;25;80;142;8;-1;28;209898856
0;96;MIDDLE;381426;38;MIDDLE;571021;36;MIDDLE;10061504;117;BOTTOM;713688;104;JUNGLE;297107;30;JUNGLE;342457;62;JUNGLE;349960;143;BOTTOM;12080166;81;BOTTOM;283916;142;MIDDLE;11860960;Win;Fail;497;39;28;555;7;-1;35;29;39;164;209896848
0;39;MIDDLE;11350138;81;BOTTOM;10061504;555;BOTTOM;470404;516;TOP;12220760;121;JUNGLE;633527;201;BOTTOM;1270780;236;BOTTOM;747148;164;TOP;2351692;56;JUNGLE;339515;245;MIDDLE;439337;Win;Fail;136;25;28;5;24;498;104;8;122;5;209887989
0;7;MIDDLE;7631957;2;JUNGLE;11360141;43;BOTTOM;11160195;122;TOP;2351692;15;BOTTOM;2752573;18;BOTTOM;330947;143;BOTTOM;493127;141;JUNGLE;1980384;36;TOP;10061504;136;TOP;1022808;Fail;Win;35;142;164;497;412;39;245;32;555;104;209885859
0;516;TOP;1270780;12;BOTTOM;747148;121;JUNGLE;569466;145;BOTTOM;2752573;126;MIDDLE;10061504;64;JUNGLE;1830141;236;MIDDLE;3053143;201;BOTTOM;357181;498;BOTTOM;279834;41;TOP;2651026;Fail;Win;96;28;5;104;555;8;497;91;39;25;209874350
0;5;JUNGLE;1830141;498;BOTTOM;279834;245;MIDDLE;5031491;497;BOTTOM;569466;78;TOP;10061504;111;TOP;2651026;157;MIDDLE;8562347;59;JUNGLE;296712;236;BOTTOM;349960;432;BOTTOM;589800;Win;Fail;555;136;25;8;104;8;238;-1;39;25;209882807
0;136;MIDDLE;1022808;96;BOTTOM;283916;5;JUNGLE;991093;143;BOTTOM;604210;78;TOP;10061504;202;BOTTOM;279834;121;JUNGLE;10951949;105;MIDDLE;5031491;164;TOP;470404;12;BOTTOM;456280;Win;Fail;-1;104;555;39;56;27;497;13;24;25;209881744
0;136;NONE;6570534;104;NONE;283916;81;NONE;479671;54;NONE;634788;37;NONE;456283;555;NONE;470404;110;NONE;6841129;16;NONE;288782;27;NONE;10061504;134;NONE;5031491;Fail;Win;105;117;-1;25;56;497;142;39;145;25;209880930
0;110;BOTTOM;6841129;412;BOTTOM;479671;41;TOP;9071094;74;MIDDLE;292904;121;JUNGLE;432668;127;MIDDLE;9100460;27;JUNGLE;10061504;43;BOTTOM;288782;236;BOTTOM;6030152;555;JUNGLE;470404;Fail;Win;25;145;39;8;19;5;81;104;23;497;209869488
0;5;JUNGLE;456280;48;TOP;9071094;16;BOTTOM;230856;110;BOTTOM;6841129;13;MIDDLE;10061504;12;BOTTOM;5381177;104;JUNGLE;10951949;43;MIDDLE;6690216;39;TOP;12110444;81;BOTTOM;448934;Win;Fail;236;164;145;555;114;24;107;11;236;145;209858473
0;27;TOP;10061504;36;JUNGLE;328401;555;BOTTOM;5381177;236;BOTTOM;360093;58;MIDDLE;466163;4;MIDDLE;10951949;145;BOTTOM;357817;31;TOP;9050223;5;JUNGLE;456280;44;BOTTOM;230856;Win;Fail;41;8;11;39;104;164;24;25;81;39;209867400
