;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;115;BOTTOM;20410096;12;BOTTOM;99647174;164;TOP;92359748;64;JUNGLE;94987702;236;MIDDLE;104189151;117;JUNGLE;104979693;69;MIDDLE;44748051;203;JUNGLE;37802452;516;TOP;19529511;43;BOTTOM;20717177;Fail;Win;142;82;39;163;104;39;44;-1;11;497;3667582213
0;107;NONE;97579562;497;NONE;44248954;134;NONE;55497402;81;NONE;104979693;23;NONE;95206795;61;NONE;22481879;145;NONE;74067492;39;NONE;105986828;16;NONE;105996852;2;NONE;50459766;Fail;Win;164;11;104;5;163;5;164;1;142;74;3665486091
0;41;TOP;19931538;157;MIDDLE;102870157;555;BOTTOM;105996852;163;JUNGLE;50459766;145;BOTTOM;104139694;30;MIDDLE;19017368;81;BOTTOM;104979693;6;TOP;23627306;40;BOTTOM;19045442;64;JUNGLE;32312702;Fail;Win;82;266;164;-1;8;39;142;5;8;121;3665237664
0;43;TOP;104979693;157;BOTTOM;104189151;60;JUNGLE;111126795;58;TOP;372983;24;MIDDLE;86777339;39;MIDDLE;110827571;44;BOTTOM;105986869;8;BOTTOM;42176118;164;MIDDLE;23627306;163;JUNGLE;86878959;Fail;Win;104;-1;145;28;-1;20;11;201;555;236;3665201836
0;76;NONE;57882477;89;NONE;55497402;157;NONE;21729191;81;NONE;104979693;58;NONE;20050482;421;NONE;51878342;40;NONE;48777143;142;NONE;43541239;24;NONE;32988848;39;NONE;372983;Fail;Win;236;5;163;164;104;90;34;163;164;44;3662938758
0;28;NONE;35037145;98;NONE;106006861;30;NONE;85861691;96;NONE;23548918;267;NONE;104979693;164;NONE;21112717;43;NONE;106006834;20;NONE;20965425;10;NONE;95206795;145;NONE;22322085;Win;Fail;11;44;104;39;163;104;39;5;163;497;3660517667
0;16;NONE;101206936;72;NONE;38719391;69;NONE;32312702;41;NONE;35037145;81;NONE;104979693;202;NONE;28086813;8;NONE;43573667;163;NONE;46517338;157;NONE;110407516;5;NONE;23423070;Fail;Win;201;-1;555;39;497;164;48;9;121;497;3658960518
0;117;NONE;38515770;96;NONE;23441464;77;NONE;52210396;83;NONE;35037145;157;NONE;104979693;555;NONE;25172606;54;NONE;22941744;163;NONE;22447540;145;NONE;20717177;91;NONE;35432335;Fail;Win;-1;497;142;-1;-1;-1;497;48;39;164;3658614125
0;145;NONE;68597024;8;NONE;35037145;157;NONE;104979693;28;NONE;52210396;9;NONE;33654217;26;NONE;44422005;96;NONE;19160377;27;NONE;85998367;142;NONE;24610205;163;NONE;108737088;Fail;Win;104;39;121;164;497;5;104;39;48;72;3658553188
0;31;TOP;70027323;5;JUNGLE;19149907;110;BOTTOM;39562177;412;BOTTOM;21585997;39;MIDDLE;84077683;58;TOP;22633277;121;JUNGLE;35037145;236;BOTTOM;104979693;44;BOTTOM;89206875;142;MIDDLE;37794949;Win;Fail;-1;497;96;107;145;36;8;24;104;164;3658004282
0;122;TOP;58067437;201;BOTTOM;35037145;145;BOTTOM;104979693;90;TOP;102870157;121;JUNGLE;23735326;516;TOP;105986828;72;JUNGLE;86259309;223;BOTTOM;21653685;96;BOTTOM;83180;45;MIDDLE;19652383;Win;Fail;104;38;555;48;163;7;104;5;39;142;3657962849
0;51;NONE;35037145;8;NONE;91577238;56;NONE;22240784;143;NONE;35747269;30;NONE;40407544;163;NONE;33447246;555;NONE;21045313;157;NONE;34978029;164;NONE;70027323;145;NONE;104979693;Fail;Win;121;23;5;104;142;39;11;104;72;497;3657955342
0;96;NONE;22709393;25;NONE;21726747;163;NONE;37903782;145;NONE;20717177;58;NONE;28944895;110;NONE;104979693;134;NONE;24415613;427;NONE;86797333;16;NONE;87080148;92;NONE;92359748;Win;Fail;-1;39;-1;-1;8;164;39;104;142;555;3657097443
0;81;BOTTOM;104979693;163;MIDDLE;29776827;58;TOP;18998522;63;BOTTOM;35454505;64;JUNGLE;24415613;145;BOTTOM;20717177;101;MIDDLE;39488266;157;TOP;29653552;267;BOTTOM;43709778;56;JUNGLE;32081620;Fail;Win;107;142;121;104;164;142;8;555;39;-1;3657074739
0;72;JUNGLE;20308708;59;TOP;30115925;63;BOTTOM;35454505;202;BOTTOM;29011150;61;MIDDLE;22481879;20;TOP;55776940;134;MIDDLE;71128337;121;TOP;24237375;43;BOTTOM;18998522;81;BOTTOM;104979693;Win;Fail;39;145;104;164;41;82;104;142;39;5;3657031227
0;8;TOP;29776827;5;JUNGLE;19122741;43;BOTTOM;85597167;110;BOTTOM;66324715;157;MIDDLE;292470;164;TOP;111126795;202;BOTTOM;104979693;555;BOTTOM;21726747;13;MIDDLE;44256793;48;JUNGLE;86797333;Fail;Win;7;81;9;142;145;104;91;497;39;142;3656884668
