;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;39;NONE;545911;5;NONE;1571472;236;NONE;15300174;53;NONE;12710145;3;NONE;156320;104;NONE;99291;21;NONE;3764968;142;NONE;4163836;58;NONE;540221;80;NONE;16280146;Win;Fail;117;497;157;122;11;157;145;11;164;8;569396474
0;21;NONE;45479;63;NONE;418941;164;NONE;147250;27;NONE;467037;81;NONE;2213274;85;NONE;15264702;24;NONE;1650862;26;NONE;144467;3;NONE;156320;133;NONE;4163836;Fail;Win;19;8;145;163;119;119;14;39;157;11;569391799
0;134;MIDDLE;39415;164;TOP;132278;222;BOTTOM;2303376;104;JUNGLE;13311629;267;BOTTOM;139862;34;MIDDLE;4163836;81;BOTTOM;6532932;25;BOTTOM;15300174;59;JUNGLE;12710145;516;TOP;16534242;Win;Fail;39;201;157;24;84;157;142;497;41;117;569344104
0;62;MIDDLE;153065;236;MIDDLE;8644313;164;TOP;11762731;107;JUNGLE;4163836;12;MIDDLE;9781020;54;TOP;204315;145;BOTTOM;41710;154;JUNGLE;48057;3;TOP;156320;37;BOTTOM;394180;Fail;Win;157;119;117;58;27;91;39;11;104;119;568859640
0;24;TOP;109838;145;BOTTOM;674461;48;JUNGLE;12191961;90;MIDDLE;3321422;16;BOTTOM;14610241;34;MIDDLE;4163836;236;BOTTOM;10341706;39;MIDDLE;545546;267;BOTTOM;438977;19;JUNGLE;14745216;Fail;Win;107;121;104;92;143;104;164;7;5;142;566764334
0;8;MIDDLE;939403;222;BOTTOM;1396107;48;JUNGLE;2302211;27;TOP;40335;16;BOTTOM;117620;498;BOTTOM;7583100;41;TOP;5651686;142;MIDDLE;1090707;432;BOTTOM;649440;107;JUNGLE;4163836;Win;Fail;23;39;51;497;5;145;119;34;25;19;566012262
0;222;BOTTOM;4054538;8;MIDDLE;7583100;6;JUNGLE;5651686;145;JUNGLE;4782124;16;BOTTOM;117620;29;BOTTOM;649440;164;TOP;5710759;142;MIDDLE;4163836;19;JUNGLE;14640442;25;BOTTOM;2302211;Fail;Win;119;-1;39;5;497;92;119;157;104;555;565986543
0;14;BOTTOM;4163836;164;TOP;61520;236;BOTTOM;14375080;36;JUNGLE;2400971;13;MIDDLE;16534242;103;MIDDLE;157951;114;TOP;119645;141;JUNGLE;1733010;412;BOTTOM;176354;145;BOTTOM;1361857;Win;Fail;81;41;154;555;157;84;24;8;39;555;565525002
0;150;MIDDLE;831341;62;JUNGLE;1941206;13;MIDDLE;36118;40;BOTTOM;610872;67;BOTTOM;3932158;142;MIDDLE;4163836;145;BOTTOM;2880204;53;BOTTOM;6430184;104;JUNGLE;15060130;27;TOP;10856078;Fail;Win;24;238;555;36;164;105;8;157;39;19;565418867
0;107;JUNGLE;4163836;55;MIDDLE;156335;67;BOTTOM;56772;117;MIDDLE;394180;23;TOP;181695;81;BOTTOM;1315791;555;BOTTOM;80398;39;MIDDLE;15060130;11;JUNGLE;10856078;126;TOP;3532481;Win;Fail;157;104;164;145;5;145;27;104;142;24;565395481
0;498;NONE;11731024;497;NONE;9233702;107;NONE;4163836;14;NONE;101904;39;NONE;425499;238;NONE;14592566;11;NONE;10856078;143;NONE;66497;202;NONE;2550128;240;NONE;129918;Fail;Win;555;164;7;25;145;555;267;58;27;142;565403052
0;36;TOP;4631106;81;MIDDLE;6532932;154;JUNGLE;10470148;99;TOP;2541724;267;BOTTOM;813006;104;JUNGLE;4163836;40;BOTTOM;3655148;134;MIDDLE;831341;54;TOP;8581685;498;BOTTOM;293255;Win;Fail;150;121;41;157;25;145;8;164;39;122;565056086
0;24;NONE;168620;107;NONE;4163836;245;NONE;2853493;497;NONE;176354;498;NONE;2544168;92;NONE;4571935;51;NONE;74462;50;NONE;36834;40;NONE;136168;154;NONE;3520800;Win;Fail;122;145;157;142;104;105;28;39;104;142;565043833
0;4;MIDDLE;2541724;516;TOP;10110940;267;BOTTOM;127811;21;BOTTOM;7021902;107;JUNGLE;4163836;104;JUNGLE;3720694;57;TOP;171009;18;BOTTOM;886644;117;BOTTOM;2601343;25;MIDDLE;465369;Fail;Win;145;23;27;121;39;5;98;54;84;39;564720406
0;22;BOTTOM;127811;245;MIDDLE;3324306;516;TOP;84412;107;JUNGLE;851199;81;BOTTOM;303207;25;BOTTOM;1155001;78;JUNGLE;4163836;150;TOP;831341;55;TOP;1387081;498;BOTTOM;800898;Fail;Win;142;92;7;39;8;7;39;238;164;145;564435833
0;498;NONE;3932158;266;NONE;890345;121;NONE;527786;90;NONE;1385807;497;NONE;127811;14;NONE;1155001;107;NONE;4163836;412;NONE;3943350;145;NONE;170093;245;NONE;3324306;Fail;Win;81;122;7;142;39;114;5;8;104;7;564441032
0;201;MIDDLE;4180164;20;JUNGLE;5710759;55;MIDDLE;382713;150;TOP;122319;498;MIDDLE;1321419;50;TOP;37302;12;BOTTOM;9751556;145;BOTTOM;9710161;35;JUNGLE;1103609;142;MIDDLE;4163836;Fail;Win;122;39;238;5;48;5;157;119;143;81;563362578
0;238;MIDDLE;1321419;164;TOP;97956;12;BOTTOM;523229;51;BOTTOM;9710161;104;JUNGLE;270388;143;BOTTOM;2231373;516;TOP;154312;81;BOTTOM;35651;157;MIDDLE;11610140;107;JUNGLE;4163836;Win;Fail;5;30;119;39;145;121;25;145;39;8;563355023
0;157;MIDDLE;674675;43;MIDDLE;39415;107;JUNGLE;4163836;51;BOTTOM;5890218;516;TOP;156335;145;BOTTOM;1620236;25;BOTTOM;2231373;54;TOP;154312;19;JUNGLE;4443939;61;MIDDLE;557073;Win;Fail;79;62;142;39;238;8;104;24;48;142;563327827
0;43;NONE;156320;4;NONE;2541724;84;NONE;6532535;51;NONE;2231373;35;NONE;154312;145;NONE;1620236;5;NONE;4443939;142;NONE;4163836;37;NONE;4233046;36;NONE;203629;Fail;Win;19;8;121;238;164;41;104;58;157;19;563323123
0;40;BOTTOM;65282;142;MIDDLE;4163836;41;TOP;298946;498;BOTTOM;10450467;35;JUNGLE;9710161;145;BOTTOM;112541;267;BOTTOM;158371;8;TOP;3633766;104;JUNGLE;74002;13;TOP;198823;Fail;Win;50;117;39;119;5;28;122;7;25;157;563278639
0;516;TOP;2810760;202;BOTTOM;404938;64;JUNGLE;680674;157;MIDDLE;674675;14;BOTTOM;4163836;67;BOTTOM;2000186;267;BOTTOM;5503877;164;JUNGLE;288785;39;MIDDLE;15891692;92;TOP;3633766;Fail;Win;107;122;104;8;266;41;145;105;104;5;563283046
0;58;NONE;197368;107;NONE;4163836;18;NONE;3871231;40;NONE;5831078;8;NONE;36118;36;NONE;9173721;104;NONE;14611994;7;NONE;1041975;498;NONE;36473;497;NONE;1315791;Fail;Win;119;117;121;145;25;145;39;5;-1;122;562647849
0;81;BOTTOM;64005;63;BOTTOM;418941;54;TOP;118870;164;JUNGLE;1166799;8;MIDDLE;409468;34;MIDDLE;2241940;142;MIDDLE;4163836;40;BOTTOM;139862;19;JUNGLE;341551;21;BOTTOM;203413;Fail;Win;5;157;145;-1;39;201;157;5;104;39;562633786
0;64;JUNGLE;680674;61;MIDDLE;4163836;236;BOTTOM;74462;201;BOTTOM;2810760;23;MIDDLE;16290125;56;JUNGLE;213475;67;BOTTOM;587767;25;BOTTOM;335564;91;MIDDLE;6521234;92;TOP;4571935;Fail;Win;121;164;145;104;19;498;157;136;121;-1;562535382
0;19;JUNGLE;1755142;81;BOTTOM;3500800;136;MIDDLE;6532932;267;BOTTOM;813006;122;MIDDLE;4163836;104;JUNGLE;10935968;111;BOTTOM;3182235;8;MIDDLE;3740366;29;BOTTOM;213475;31;TOP;3353824;Win;Fail;25;121;157;498;142;141;121;145;39;5;562293921
