;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;98;TOP;23643377;122;MIDDLE;42461466;56;JUNGLE;41910589;497;BOTTOM;53210668;157;MIDDLE;5734285;111;BOTTOM;9747989;164;JUNGLE;66100310;4;MIDDLE;34700375;27;JUNGLE;50390691;50;BOTTOM;2165869;Fail;Win;13;41;163;39;142;142;12;163;-1;236;3239117813
0;28;JUNGLE;39891105;266;TOP;8251858;117;MIDDLE;9112012;8;BOTTOM;22191421;555;MIDDLE;2165869;101;MIDDLE;1533024;145;BOTTOM;12952008;9;BOTTOM;68391168;122;TOP;3084278;5;JUNGLE;9081041;Win;Fail;-1;12;142;236;164;142;-1;39;164;163;3239111280
0;163;JUNGLE;38100682;117;MIDDLE;35801706;25;BOTTOM;7978352;50;BOTTOM;2165869;122;TOP;1796100;9;MIDDLE;63071145;145;JUNGLE;9810634;5;JUNGLE;66800152;157;MIDDLE;2006507;8;TOP;57700777;Fail;Win;164;236;-1;7;-1;72;7;142;11;39;3239083281
0;266;TOP;4425901;90;MIDDLE;23725641;432;BOTTOM;64520617;115;BOTTOM;1113700;163;JUNGLE;67010249;24;TOP;38680194;13;MIDDLE;66800151;40;BOTTOM;1804326;50;BOTTOM;2165869;104;JUNGLE;7016118;Win;Fail;497;25;-1;9;164;-1;164;5;12;39;3238093823
0;8;MIDDLE;57700777;555;MIDDLE;1796100;122;BOTTOM;48620616;164;JUNGLE;25260179;266;TOP;3697742;58;JUNGLE;1180166;163;JUNGLE;26670323;12;BOTTOM;2165869;142;MIDDLE;56951349;236;MIDDLE;67161308;Fail;Win;201;39;-1;-1;7;18;5;27;201;157;3238071955
0;91;MIDDLE;71810170;60;JUNGLE;2521310;12;BOTTOM;2165869;157;BOTTOM;23962092;266;TOP;59640548;236;BOTTOM;58960292;122;TOP;1412967;30;MIDDLE;38180257;9;BOTTOM;66800151;163;JUNGLE;9334945;Win;Fail;142;164;-1;5;27;555;5;-1;39;142;3237857974
0;9;TOP;24910546;114;TOP;22033662;69;MIDDLE;70980593;64;JUNGLE;58040878;157;BOTTOM;23962092;122;BOTTOM;12240511;555;BOTTOM;2165869;45;MIDDLE;23725641;39;TOP;3464863;48;JUNGLE;51651113;Win;Fail;163;104;164;5;27;236;164;33;163;104;3236889717
0;266;TOP;7641018;555;BOTTOM;16910609;104;TOP;32096236;142;MIDDLE;5154899;145;BOTTOM;11191521;41;TOP;67200132;5;JUNGLE;67161308;80;BOTTOM;12240511;61;MIDDLE;53250371;12;BOTTOM;2165869;Win;Fail;25;163;-1;157;119;236;114;163;164;107;3236735366
0;119;MIDDLE;19524471;412;BOTTOM;26212605;5;JUNGLE;67161308;78;TOP;57580784;117;MIDDLE;41780873;30;JUNGLE;32096236;20;MIDDLE;67200132;145;BOTTOM;11191521;122;TOP;39891971;12;JUNGLE;2165869;Win;Fail;142;157;163;27;41;157;25;201;91;163;3236686180
0;91;MIDDLE;2706560;50;TOP;26022557;164;JUNGLE;5154899;98;BOTTOM;70870210;122;BOTTOM;70910217;145;BOTTOM;8377903;266;TOP;58390689;555;BOTTOM;2165869;163;JUNGLE;60030452;13;MIDDLE;51120921;Win;Fail;41;12;39;-1;497;157;516;117;142;236;3236609747
