;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;203;JUNGLE;6503084;9;BOTTOM;5639662;69;MIDDLE;12114247;10;TOP;5849695;236;BOTTOM;20000124;64;JUNGLE;2603591;4;MIDDLE;2017910;43;BOTTOM;11160385;164;TOP;530991;67;BOTTOM;15702337;Win;Fail;7;81;238;36;39;157;11;7;48;8;717281027
0;5;JUNGLE;2706645;201;BOTTOM;3871179;236;BOTTOM;3663994;39;TOP;1090192;7;MIDDLE;14205506;58;TOP;2814118;497;BOTTOM;2603591;15;BOTTOM;2335775;163;JUNGLE;19260842;80;MIDDLE;4232124;Win;Fail;145;122;142;164;157;104;107;-1;142;81;715989522
0;37;BOTTOM;245088;163;MIDDLE;3844368;236;BOTTOM;19900839;48;TOP;19433773;154;JUNGLE;16984200;81;BOTTOM;2603591;101;MIDDLE;16785856;24;JUNGLE;1444550;92;TOP;14660303;40;BOTTOM;2693317;Win;Fail;7;238;8;5;164;44;145;142;11;117;713902548
0;122;NONE;784869;117;NONE;19320586;48;NONE;264974;40;NONE;11603277;96;NONE;5741715;6;NONE;5677463;164;NONE;2603591;3;NONE;4898789;16;NONE;6097099;81;NONE;215801;Win;Fail;119;5;39;107;104;145;497;107;142;39;713250984
0;55;NONE;4525010;81;NONE;1631360;104;NONE;2603591;58;NONE;3004482;25;NONE;3003640;6;NONE;5677463;245;NONE;19310914;29;NONE;5414463;117;NONE;2830914;141;NONE;18365221;Win;Fail;122;421;107;8;91;164;11;8;497;238;713135725
0;104;JUNGLE;2603591;236;MIDDLE;4228986;50;JUNGLE;530729;157;MIDDLE;7173856;16;MIDDLE;17316284;30;MIDDLE;399382;44;TOP;1290337;11;MIDDLE;1862200;145;BOTTOM;20182777;40;BOTTOM;2071953;Win;Fail;238;555;497;55;164;84;96;117;39;107;713118627
0;10;MIDDLE;17124712;427;JUNGLE;2603591;69;TOP;19413488;117;MIDDLE;404234;96;MIDDLE;9579012;58;MIDDLE;6080544;30;MIDDLE;399382;5;JUNGLE;2565354;412;BOTTOM;4720015;81;BOTTOM;8271281;Win;Fail;497;236;104;157;238;8;164;145;7;55;713112929
0;164;JUNGLE;2603591;30;MIDDLE;399382;412;BOTTOM;7870804;150;TOP;1202739;236;BOTTOM;4898789;497;BOTTOM;3496869;23;TOP;784869;134;MIDDLE;1214480;498;BOTTOM;2563836;104;JUNGLE;20182777;Win;Fail;81;238;7;114;117;145;107;40;142;84;713085654
0;117;BOTTOM;3365797;84;TOP;3912974;113;JUNGLE;2663676;157;MIDDLE;10142161;67;JUNGLE;18264721;240;MIDDLE;404234;104;JUNGLE;2603591;555;BOTTOM;9094103;202;BOTTOM;4056591;127;MIDDLE;1216466;Win;Fail;7;5;142;114;119;238;164;25;39;81;712607433
0;268;NONE;5832971;113;NONE;17521927;6;NONE;15702337;117;NONE;1202739;67;NONE;9741956;555;NONE;9094103;164;NONE;2603591;45;NONE;3365797;236;NONE;2655519;240;NONE;404234;Fail;Win;145;39;5;238;104;81;25;119;39;142;712585581
