;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;202;BOTTOM;61542283;555;BOTTOM;22478427;8;MIDDLE;51075422;64;JUNGLE;24449515;114;TOP;41233933;63;BOTTOM;27282584;27;JUNGLE;29524444;80;JUNGLE;20636732;13;MIDDLE;44989327;126;BOTTOM;7250;Win;Fail;25;39;104;142;5;157;163;142;236;107;2806747046
0;161;TOP;75209208;56;JUNGLE;61133915;122;TOP;28921819;236;BOTTOM;78739091;12;BOTTOM;22991489;266;TOP;23034317;555;BOTTOM;21276764;63;BOTTOM;28725693;98;JUNGLE;96849781;142;MIDDLE;41233933;Fail;Win;126;8;104;78;163;268;-1;58;25;85;2806622451
0;12;MIDDLE;37447382;126;MIDDLE;41233933;91;MIDDLE;10077;427;JUNGLE;52436254;80;TOP;82950710;56;JUNGLE;19668604;39;TOP;68459235;63;BOTTOM;31588136;555;BOTTOM;48547745;17;TOP;26153361;Win;Fail;164;142;163;236;86;84;104;142;516;164;2806206823
0;8;BOTTOM;21124626;12;BOTTOM;68401488;76;JUNGLE;92610081;39;TOP;90593491;150;MIDDLE;41233933;48;JUNGLE;83089575;497;BOTTOM;48321237;58;TOP;34022147;68;TOP;44141483;82;BOTTOM;38809624;Fail;Win;104;142;163;-1;85;85;121;236;91;157;2806060573
0;78;TOP;24220969;7;MIDDLE;64823280;412;BOTTOM;37152831;21;BOTTOM;31929876;104;JUNGLE;83089575;516;TOP;41233933;74;MIDDLE;60720984;80;BOTTOM;21124626;555;BOTTOM;68401488;48;JUNGLE;51758381;Win;Fail;163;39;157;91;164;91;8;157;142;85;2806048338
0;141;JUNGLE;32252808;13;MIDDLE;30266347;82;BOTTOM;28663867;164;TOP;41233933;91;BOTTOM;35092858;27;TOP;39877298;157;BOTTOM;51405;555;BOTTOM;68479082;96;MIDDLE;37481045;48;JUNGLE;83089575;Fail;Win;39;142;104;55;-1;5;85;104;-1;163;2806023804
0;56;JUNGLE;78430986;4;TOP;20636732;107;BOTTOM;77003254;81;BOTTOM;89909122;39;TOP;41233933;62;TOP;94060086;10;BOTTOM;51405;117;MIDDLE;68479082;141;JUNGLE;61542283;79;BOTTOM;22478427;Fail;Win;104;5;-1;48;142;104;28;44;142;58;2805999123
0;39;MIDDLE;51075422;202;BOTTOM;70470903;5;JUNGLE;71860010;555;BOTTOM;24326160;17;TOP;21905240;126;BOTTOM;41233933;267;BOTTOM;31274923;13;JUNGLE;32705024;77;JUNGLE;23476283;8;BOTTOM;44989327;Fail;Win;157;7;163;164;141;142;16;107;164;104;2805693288
0;412;BOTTOM;37341012;24;TOP;89031504;115;BOTTOM;24399368;136;JUNGLE;24326160;104;JUNGLE;39561509;201;BOTTOM;54872610;142;MIDDLE;21107682;516;TOP;41233933;21;BOTTOM;32299406;141;JUNGLE;23476283;Win;Fail;39;145;8;92;91;121;58;91;39;164;2805688096
0;203;JUNGLE;32576527;9;BOTTOM;22654107;69;MIDDLE;36111109;27;TOP;26413961;126;BOTTOM;41233933;82;BOTTOM;38809624;10;MIDDLE;21911054;122;TOP;19587365;12;BOTTOM;37669229;28;JUNGLE;21955448;Win;Fail;85;236;114;142;101;107;236;164;145;39;2805326988
0;81;BOTTOM;22447403;99;MIDDLE;20553399;104;JUNGLE;87439213;516;TOP;41233933;12;BOTTOM;47165206;236;BOTTOM;45678930;122;MIDDLE;88669168;58;TOP;19587365;141;JUNGLE;84759118;267;BOTTOM;22231499;Win;Fail;164;163;8;157;39;163;145;126;39;91;2804485415
0;421;NONE;31281326;8;NONE;39957695;31;NONE;48443712;12;NONE;27816311;157;NONE;21806931;126;NONE;41233933;238;NONE;27476501;163;NONE;20389591;497;NONE;28682326;41;NONE;71229345;Fail;Win;142;48;117;104;58;142;91;236;39;555;2804009113
