;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;23;TOP;101936;429;BOTTOM;950028;238;MIDDLE;3290397;12;BOTTOM;950293;104;JUNGLE;9040532;267;BOTTOM;1754607;24;TOP;78349;7;MIDDLE;8713040;51;BOTTOM;1611196;141;JUNGLE;12561973;Fail;Win;-1;157;163;39;44;122;157;8;39;92;176411714
0;122;TOP;83628;79;MIDDLE;10560745;141;JUNGLE;3785520;16;BOTTOM;10891334;236;BOTTOM;9040532;555;BOTTOM;950293;81;BOTTOM;111028;39;MIDDLE;67344;19;TOP;10641633;154;JUNGLE;650136;Win;Fail;163;8;104;5;11;11;29;24;7;8;176430217
0;412;BOTTOM;615207;92;TOP;950293;64;JUNGLE;281060;63;MIDDLE;4061792;145;BOTTOM;10351301;245;MIDDLE;2872633;53;BOTTOM;471255;164;TOP;958854;236;BOTTOM;10550147;11;JUNGLE;946128;Win;Fail;238;39;107;80;104;25;238;39;12;19;176286240
0;18;BOTTOM;12841041;25;BOTTOM;362158;142;MIDDLE;2043366;104;JUNGLE;247318;6;TOP;4052453;202;BOTTOM;12511010;122;TOP;4191212;555;BOTTOM;170957;8;MIDDLE;950293;48;JUNGLE;3785520;Win;Fail;105;5;23;117;38;420;84;24;145;28;176147230
0;555;BOTTOM;170957;3;TOP;950293;202;BOTTOM;1302913;161;MIDDLE;12031167;48;JUNGLE;12523039;115;BOTTOM;2963075;24;TOP;502528;142;MIDDLE;181688;101;BOTTOM;329964;20;JUNGLE;12610785;Win;Fail;145;105;28;163;8;238;145;39;107;104;175975329
0;121;JUNGLE;1674057;516;TOP;338377;127;MIDDLE;165812;202;MIDDLE;121593;117;MIDDLE;6500254;236;MIDDLE;958854;412;BOTTOM;883732;9;JUNGLE;3371289;8;MIDDLE;950293;555;TOP;83628;Fail;Win;105;40;164;157;39;145;12;39;11;5;175756308
0;157;MIDDLE;956958;119;BOTTOM;1046631;56;JUNGLE;1750440;412;BOTTOM;872138;41;TOP;6781982;25;BOTTOM;71260;236;BOTTOM;79141;50;MIDDLE;950293;122;TOP;1133619;48;JUNGLE;13490667;Fail;Win;28;24;-1;164;2;432;19;142;8;92;175717742
0;25;BOTTOM;1753021;31;TOP;279713;164;JUNGLE;10040245;161;MIDDLE;3694672;67;BOTTOM;948143;8;MIDDLE;950293;222;BOTTOM;4050201;9;BOTTOM;150200;58;TOP;1481913;120;JUNGLE;276176;Fail;Win;122;117;104;12;157;11;145;5;19;119;175493675
0;143;MIDDLE;160678;145;MIDDLE;103742;254;JUNGLE;10040245;50;MIDDLE;1223306;91;TOP;950293;222;BOTTOM;1611196;25;BOTTOM;214345;54;TOP;100297;56;JUNGLE;1753021;7;MIDDLE;948143;Win;Fail;157;119;516;39;104;8;39;164;141;117;175512946
0;157;BOTTOM;963423;43;BOTTOM;211036;142;MIDDLE;125277;126;TOP;259296;104;JUNGLE;291682;268;TOP;502125;92;MIDDLE;254665;236;BOTTOM;214345;412;BOTTOM;1162680;24;JUNGLE;1614815;Win;Fail;39;164;8;91;11;39;55;8;105;18;176300225
0;143;BOTTOM;4051266;555;TOP;65625;157;BOTTOM;3800200;11;JUNGLE;1140835;90;MIDDLE;940535;142;MIDDLE;125277;107;JUNGLE;6900605;13;BOTTOM;211036;101;BOTTOM;2952654;75;TOP;1762499;Fail;Win;24;23;30;267;8;-1;39;420;30;28;176290019
