;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;164;TOP;35422510;85;BOTTOM;51405;89;BOTTOM;23890102;56;JUNGLE;78430986;10;MIDDLE;21911054;236;BOTTOM;21451895;39;TOP;21429782;112;MIDDLE;38886417;107;JUNGLE;28640725;12;BOTTOM;47706407;Win;Fail;23;-1;104;145;5;142;555;117;104;5;2804711219
0;141;JUNGLE;44472302;114;TOP;95701040;8;MIDDLE;58613779;81;BOTTOM;89231945;555;BOTTOM;47706407;36;TOP;37182126;85;BOTTOM;51405;5;JUNGLE;44979352;63;BOTTOM;19521050;238;MIDDLE;32299406;Fail;Win;11;163;104;133;145;40;39;24;104;10;2804686663
0;117;MIDDLE;47706407;164;JUNGLE;85889107;63;TOP;442232;12;BOTTOM;20823651;39;BOTTOM;20132258;145;BOTTOM;19757901;104;JUNGLE;94010693;4;MIDDLE;51680686;31;JUNGLE;20414291;555;BOTTOM;43839117;Win;Fail;92;142;107;91;163;91;44;55;11;157;2804643864
0;142;MIDDLE;21107682;82;JUNGLE;47401142;86;TOP;37475736;5;JUNGLE;31281326;555;BOTTOM;47706407;236;BOTTOM;46531569;161;BOTTOM;41873475;41;TOP;92610081;55;MIDDLE;66042977;35;JUNGLE;25232745;Fail;Win;163;164;39;27;157;16;91;80;104;39;2803437194
0;35;JUNGLE;25232745;40;MIDDLE;37928970;420;TOP;45795786;18;BOTTOM;46531569;142;MIDDLE;23715786;55;TOP;66042977;163;JUNGLE;20389591;22;BOTTOM;88652741;164;TOP;21367804;555;BOTTOM;47706407;Fail;Win;157;48;104;17;-1;91;121;240;5;157;2803426134
0;18;MIDDLE;52436254;44;MIDDLE;29699937;164;TOP;75099245;25;MIDDLE;47706407;14;TOP;25851366;236;BOTTOM;19906739;91;MIDDLE;85889107;113;JUNGLE;96059078;201;BOTTOM;78670850;24;JUNGLE;34983603;Fail;Win;142;16;163;-1;39;39;12;497;104;163;2801836355
0;5;JUNGLE;75099245;81;BOTTOM;88669168;7;TOP;25851366;9;BOTTOM;47706407;164;TOP;92949382;163;JUNGLE;36772244;201;JUNGLE;32871226;8;TOP;29699937;497;BOTTOM;48321237;157;BOTTOM;96059078;Win;Fail;-1;39;16;142;82;-1;-1;104;25;82;2801798585
0;104;JUNGLE;88669168;7;MIDDLE;24877618;114;TOP;19587365;44;BOTTOM;48321237;58;BOTTOM;64290527;163;JUNGLE;75099245;117;MIDDLE;50759139;126;TOP;92949382;497;BOTTOM;47706407;236;BOTTOM;50493382;Fail;Win;35;157;91;39;142;164;142;-1;91;5;2801778837
0;126;BOTTOM;23552941;13;TOP;24877618;555;BOTTOM;39040566;31;TOP;32705024;104;JUNGLE;88669168;82;BOTTOM;64290527;9;BOTTOM;47706407;164;TOP;92949382;28;JUNGLE;73170218;4;MIDDLE;91739120;Fail;Win;142;39;-1;163;-1;-1;35;-1;16;497;2801749042
0;164;JUNGLE;64290527;90;MIDDLE;47706407;16;BOTTOM;48321237;58;MIDDLE;32392626;110;BOTTOM;41335915;111;BOTTOM;66929247;157;BOTTOM;50510636;43;MIDDLE;70339477;163;JUNGLE;73170218;36;TOP;91739120;Win;Fail;104;25;91;39;35;91;516;40;-1;201;2801708767
0;119;BOTTOM;31929876;143;BOTTOM;47706407;163;JUNGLE;30046300;39;MIDDLE;28993829;164;TOP;70191897;5;JUNGLE;73170218;4;MIDDLE;91739120;114;TOP;19587365;81;BOTTOM;37278467;25;BOTTOM;32360751;Win;Fail;145;58;-1;107;16;104;516;145;91;-1;2801700932
0;104;JUNGLE;45678930;74;TOP;20411671;82;BOTTOM;80119512;555;BOTTOM;92979091;7;MIDDLE;60469878;163;BOTTOM;21193669;81;BOTTOM;62374009;164;TOP;77269277;5;JUNGLE;54986862;90;MIDDLE;47706407;Win;Fail;157;201;39;16;35;236;142;39;157;-1;2801190750
