;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;24;JUNGLE;9264045;40;BOTTOM;871762;91;BOTTOM;10152531;85;TOP;19440391;55;TOP;5263809;72;JUNGLE;602339;157;BOTTOM;2886810;79;BOTTOM;1122851;90;MIDDLE;852464;92;TOP;19680554;Fail;Win;11;497;238;555;39;64;39;164;58;-1;1404232881
0;9;MIDDLE;2989650;60;JUNGLE;16682207;164;JUNGLE;19440391;122;MIDDLE;477786;74;BOTTOM;18270228;23;JUNGLE;994310;236;MIDDLE;3222212;24;TOP;31390126;82;BOTTOM;1492273;412;BOTTOM;932241;Win;Fail;163;39;142;30;8;157;30;142;25;498;1403714064
0;56;JUNGLE;477786;107;MIDDLE;2143857;39;BOTTOM;19440391;79;BOTTOM;517476;30;MIDDLE;1347189;8;BOTTOM;34000126;16;BOTTOM;448798;91;JUNGLE;10152531;20;TOP;29380511;58;TOP;3446959;Fail;Win;555;41;164;163;157;163;145;555;7;63;1403384333
0;85;BOTTOM;483841;141;JUNGLE;2271076;40;BOTTOM;1140198;27;TOP;19440391;91;MIDDLE;2513950;157;MIDDLE;1347189;412;BOTTOM;3775391;236;BOTTOM;1993099;164;TOP;7591541;79;JUNGLE;950207;Win;Fail;8;163;121;555;39;24;104;48;39;142;1402952225
0;50;TOP;19440391;80;JUNGLE;950207;497;BOTTOM;1826344;157;BOTTOM;31390133;69;MIDDLE;418238;98;TOP;10878247;164;JUNGLE;13971314;101;MIDDLE;4407154;13;BOTTOM;1724409;16;BOTTOM;2360158;Fail;Win;11;82;12;39;555;11;30;163;5;39;1401847840
0;164;TOP;424963;201;BOTTOM;7482188;145;BOTTOM;4642371;142;MIDDLE;33990125;121;JUNGLE;19936193;114;TOP;19440391;80;JUNGLE;950207;267;BOTTOM;21230246;39;BOTTOM;455830;81;MIDDLE;1952539;Win;Fail;236;163;497;157;104;12;163;9;555;11;1401775897
0;56;JUNGLE;602339;68;TOP;19440391;12;BOTTOM;3876563;103;MIDDLE;2446190;157;BOTTOM;4444467;111;BOTTOM;523009;114;TOP;16292670;164;JUNGLE;3297574;236;BOTTOM;21142674;112;MIDDLE;477170;Win;Fail;39;28;136;142;163;30;24;39;145;238;1401751170
0;136;MIDDLE;22055132;133;TOP;437956;555;BOTTOM;1998729;81;BOTTOM;1753899;48;JUNGLE;407179;126;BOTTOM;19440391;101;MIDDLE;2850703;164;JUNGLE;2563646;161;BOTTOM;523009;98;MIDDLE;10878247;Win;Fail;7;9;157;5;39;163;104;11;30;157;1401723688
0;115;MIDDLE;2834848;6;TOP;1192093;236;BOTTOM;483841;555;BOTTOM;451826;48;JUNGLE;5200602;142;JUNGLE;19440391;80;JUNGLE;950207;222;BOTTOM;9931404;164;TOP;3526777;8;MIDDLE;9264045;Fail;Win;39;36;91;41;157;497;41;163;39;104;1401469248
0;134;MIDDLE;498101;104;JUNGLE;8772986;164;JUNGLE;424963;555;BOTTOM;6673314;222;BOTTOM;2104285;82;BOTTOM;405232;41;MIDDLE;21852695;9;BOTTOM;7482188;105;TOP;19440391;80;JUNGLE;950207;Fail;Win;163;157;28;39;122;5;121;142;236;30;1401451655
0;4;MIDDLE;15624313;412;BOTTOM;440645;126;TOP;19440391;163;JUNGLE;950207;119;BOTTOM;4701496;555;BOTTOM;17663661;63;BOTTOM;459360;142;MIDDLE;1122851;24;TOP;3666578;121;JUNGLE;1833896;Fail;Win;157;114;39;164;5;8;29;30;164;145;1401227978
0;12;NONE;3508522;145;NONE;26810871;163;NONE;950207;6;NONE;19440391;8;NONE;3414572;92;NONE;1796922;9;NONE;4300217;81;NONE;440645;555;NONE;486498;34;NONE;527644;Win;Fail;142;91;164;157;39;104;121;25;5;11;1401200742
0;201;BOTTOM;3546357;157;BOTTOM;31410134;164;TOP;973876;11;MIDDLE;410074;44;MIDDLE;18260229;58;TOP;19440391;121;JUNGLE;19832324;145;TOP;26810871;89;BOTTOM;950207;245;MIDDLE;3876563;Fail;Win;142;48;27;163;497;142;30;39;555;82;1401130029
0;236;BOTTOM;1415536;58;TOP;19440391;72;JUNGLE;602339;555;BOTTOM;488302;105;MIDDLE;6374367;266;TOP;400412;497;BOTTOM;4825112;164;BOTTOM;973876;7;MIDDLE;2612911;104;JUNGLE;3546357;Win;Fail;30;24;163;39;145;163;48;39;157;27;1401114466
0;555;MIDDLE;486498;63;MIDDLE;527644;54;TOP;3414572;30;MIDDLE;470353;56;JUNGLE;19440391;142;TOP;17972381;89;BOTTOM;17663661;104;BOTTOM;6673314;91;TOP;7591541;24;JUNGLE;9180143;Fail;Win;51;39;25;8;120;157;163;81;114;28;1401000377
0;4;NONE;16305669;48;NONE;14153582;78;NONE;4407154;58;NONE;19440391;120;NONE;30563222;163;NONE;30992817;236;NONE;9180143;6;NONE;17663661;555;NONE;486498;34;NONE;527644;Fail;Win;5;7;81;30;27;157;121;114;25;16;1400980400
0;12;MIDDLE;584708;82;BOTTOM;589316;13;MIDDLE;404084;104;JUNGLE;602339;79;TOP;30733372;555;BOTTOM;787356;4;MIDDLE;16305669;48;JUNGLE;2833743;164;TOP;19440391;429;BOTTOM;3222212;Fail;Win;39;157;163;41;30;39;5;35;157;7;1400263844
0;236;BOTTOM;4701496;29;JUNGLE;18631039;8;MIDDLE;18280139;516;TOP;19440391;12;BOTTOM;1721150;122;TOP;16385949;238;BOTTOM;1764489;497;BOTTOM;472017;203;JUNGLE;3876563;13;MIDDLE;14494449;Win;Fail;104;7;11;157;555;48;39;142;-1;81;1399633910
0;76;NONE;2631152;105;NONE;1560796;9;NONE;437956;164;NONE;19440391;81;NONE;2101731;497;NONE;6741238;202;NONE;26810871;24;NONE;4499324;39;NONE;31094545;72;NONE;34000124;Fail;Win;5;555;30;240;163;8;201;-1;41;104;1398147062
0;27;NONE;529295;104;NONE;20640125;39;NONE;2361597;236;NONE;476990;267;NONE;1390933;81;NONE;25010156;412;NONE;3299674;92;NONE;1796922;117;NONE;19440391;24;NONE;950207;Win;Fail;41;555;114;164;43;91;163;164;136;157;1397812816
0;63;NONE;564264;31;NONE;2361597;81;NONE;450353;50;NONE;19440391;203;NONE;950207;145;NONE;25010156;267;NONE;3299674;56;NONE;28042364;164;NONE;476990;134;NONE;4009334;Win;Fail;142;24;555;114;104;5;91;142;104;39;1397788108
0;81;BOTTOM;589316;64;JUNGLE;19936193;555;BOTTOM;4602614;8;MIDDLE;551613;420;TOP;1284062;43;BOTTOM;25900130;236;JUNGLE;550161;41;MIDDLE;31410126;50;TOP;19440391;203;JUNGLE;3876563;Win;Fail;30;104;157;497;-1;142;164;91;-1;5;1392273008
0;48;JUNGLE;2833743;201;BOTTOM;450353;236;BOTTOM;27820136;516;TOP;24810143;112;MIDDLE;9540245;141;TOP;19936193;8;TOP;19440391;497;BOTTOM;25900130;67;BOTTOM;550161;91;MIDDLE;551613;Win;Fail;35;39;238;142;145;104;30;136;164;157;1392254857
0;5;JUNGLE;5520003;157;MIDDLE;31410126;145;BOTTOM;27740439;12;BOTTOM;6510165;68;TOP;19440391;126;MIDDLE;2833743;117;BOTTOM;31410132;96;BOTTOM;4121293;121;JUNGLE;19936193;43;TOP;4124582;Win;Fail;-1;39;48;91;164;35;41;13;107;104;1392247141
0;64;JUNGLE;501031;43;TOP;17663661;157;TOP;21380148;25;BOTTOM;32340130;145;BOTTOM;584033;51;BOTTOM;1520034;104;JUNGLE;24810139;497;BOTTOM;25900130;112;MIDDLE;2354538;126;TOP;19440391;Win;Fail;164;39;142;121;-1;9;142;30;8;39;1391234183
0;497;BOTTOM;4198041;110;BOTTOM;1205961;24;TOP;19440391;141;JUNGLE;950207;8;MIDDLE;1345097;12;BOTTOM;1726011;427;JUNGLE;2640979;202;BOTTOM;1861457;91;MIDDLE;551613;36;TOP;2615838;Fail;Win;142;5;39;121;104;7;81;145;164;157;1390996309
0;150;TOP;602339;127;MIDDLE;5783969;76;JUNGLE;18270216;81;BOTTOM;2615838;25;MIDDLE;4198041;498;TOP;21380148;497;TOP;32340130;50;TOP;19440391;141;JUNGLE;950207;157;MIDDLE;540342;Fail;Win;104;12;145;5;164;104;121;12;238;7;1390978205
0;81;BOTTOM;602339;89;BOTTOM;5783969;164;JUNGLE;19440391;104;JUNGLE;30644278;134;MIDDLE;10082696;121;JUNGLE;18270216;91;TOP;552733;39;TOP;404537;99;BOTTOM;3057217;16;BOTTOM;21230246;Win;Fail;157;145;427;28;421;12;145;201;122;5;1390960709
0;81;BOTTOM;1724409;223;BOTTOM;2360158;107;JUNGLE;410074;41;MIDDLE;17965375;50;TOP;20860130;104;JUNGLE;2833743;24;TOP;19440391;201;BOTTOM;584708;145;BOTTOM;23160147;90;MIDDLE;402032;Fail;Win;12;5;39;117;48;29;164;30;35;497;1390855981
0;516;TOP;404537;39;MIDDLE;477786;202;BOTTOM;410074;64;JUNGLE;3291057;43;BOTTOM;1435101;427;JUNGLE;2640979;240;TOP;1608051;29;BOTTOM;31281490;201;BOTTOM;2446190;105;MIDDLE;19440391;Fail;Win;117;122;8;164;24;104;497;81;7;121;1390831663
0;81;BOTTOM;797658;126;TOP;19440391;112;MIDDLE;2354538;12;BOTTOM;17663661;35;JUNGLE;4063950;133;TOP;1167954;48;JUNGLE;3876563;34;MIDDLE;458565;117;BOTTOM;2446190;67;BOTTOM;2003578;Win;Fail;104;121;25;164;157;145;39;142;497;157;1390471498
0;48;JUNGLE;19936193;114;TOP;596990;81;BOTTOM;952177;154;BOTTOM;22630130;157;MIDDLE;17323904;50;TOP;19440391;498;BOTTOM;4124582;164;JUNGLE;5497069;40;BOTTOM;10212533;43;MIDDLE;2119346;Win;Fail;16;104;497;145;39;13;8;145;30;5;1389285459
0;104;NONE;539364;69;NONE;1721150;81;NONE;512750;150;NONE;19440391;432;NONE;2119346;145;NONE;16985434;23;NONE;28111590;412;NONE;31410132;41;NONE;21852695;122;NONE;16385949;Win;Fail;5;164;32;157;30;164;7;5;157;39;1389256547
0;51;BOTTOM;25010156;48;JUNGLE;3299674;43;BOTTOM;602145;164;TOP;19440391;4;TOP;30947194;25;BOTTOM;4827023;81;BOTTOM;4701496;142;MIDDLE;23844107;2;JUNGLE;28871059;24;TOP;628501;Win;Fail;145;104;121;39;5;497;91;114;5;50;1388048536
0;103;MIDDLE;551613;202;MIDDLE;16975364;150;TOP;400412;9;MIDDLE;602145;64;JUNGLE;22057832;61;MIDDLE;990588;12;BOTTOM;9406794;81;BOTTOM;25010156;48;JUNGLE;3299674;164;TOP;19440391;Fail;Win;30;7;497;5;104;5;145;121;104;69;1388010801
