;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;201;NONE;21920858;236;NONE;104139694;4;NONE;29205354;56;NONE;86797333;266;NONE;92359748;81;NONE;27341898;23;NONE;91577238;24;NONE;52118863;91;NONE;44256793;555;NONE;42035133;Win;Fail;9;30;163;39;48;25;104;5;142;164;3669386954
0;201;NONE;105986869;236;NONE;42176118;266;NONE;91577238;48;NONE;52118863;13;NONE;44256793;50;NONE;19170475;516;NONE;53126837;145;NONE;104139694;412;NONE;29205354;5;NONE;86797333;Win;Fail;104;164;163;157;142;164;142;39;157;12;3669380343
0;81;BOTTOM;104139694;2;JUNGLE;32081620;69;MIDDLE;106006856;36;TOP;91577238;16;BOTTOM;52118863;26;MIDDLE;44256793;80;TOP;85227617;142;BOTTOM;74067492;77;JUNGLE;106766846;12;BOTTOM;44748051;Fail;Win;9;164;39;157;91;39;11;163;117;5;3669364804
0;497;NONE;66903184;85;NONE;95027465;13;NONE;22422778;39;NONE;101206947;48;NONE;52118863;157;NONE;22869898;143;NONE;21653685;59;NONE;83180;516;NONE;53126837;104;NONE;46088149;Fail;Win;11;9;23;163;30;11;30;555;-1;142;3661958842
0;20;JUNGLE;20965425;30;MIDDLE;95206795;498;BOTTOM;99068672;497;BOTTOM;22331014;516;TOP;72897128;114;JUNGLE;101206947;48;JUNGLE;52118863;136;TOP;34148603;9;BOTTOM;20993937;8;BOTTOM;111136794;Win;Fail;163;104;164;39;5;39;555;23;163;11;3660544260
0;163;JUNGLE;21071845;39;TOP;101206947;43;MIDDLE;52118863;555;BOTTOM;105986869;96;BOTTOM;42176118;76;JUNGLE;19122741;432;BOTTOM;19642904;82;BOTTOM;106006888;114;TOP;30120801;142;MIDDLE;108737088;Win;Fail;23;11;497;164;25;157;11;104;-1;9;3660498700
0;56;JUNGLE;52200067;9;BOTTOM;33678783;85;TOP;86377408;21;MIDDLE;99068672;3;MIDDLE;86797333;63;BOTTOM;66903184;50;MIDDLE;98567102;202;BOTTOM;19024737;114;TOP;91577238;164;JUNGLE;52118863;Win;Fail;142;163;497;39;36;104;145;121;23;119;3657557078
0;18;BOTTOM;96198415;104;JUNGLE;86797333;157;MIDDLE;32312702;201;BOTTOM;23388196;27;TOP;27668408;63;BOTTOM;19268008;92;MIDDLE;29834844;164;TOP;91577238;76;JUNGLE;52118863;81;BOTTOM;28547984;Fail;Win;10;497;39;41;121;23;145;25;236;5;3655680476
0;114;TOP;43541239;10;MIDDLE;53436826;9;BOTTOM;91577238;48;JUNGLE;52118863;145;BOTTOM;24763111;136;MIDDLE;29834844;107;TOP;60450106;81;BOTTOM;19160377;497;BOTTOM;96198415;2;JUNGLE;86797333;Win;Fail;24;104;555;41;25;11;5;25;164;39;3655612820
0;136;NONE;22126727;498;NONE;24763111;497;NONE;29737467;19;NONE;79449569;122;NONE;60450106;69;NONE;29834844;104;NONE;68637318;36;NONE;91577238;9;NONE;52118863;81;NONE;102870157;Win;Fail;39;142;107;164;555;16;23;34;236;38;3655578662
