;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;50;NONE;56492968;163;NONE;41107575;432;NONE;22571774;119;NONE;62024135;23;NONE;23402936;112;NONE;32212465;20;NONE;36137397;101;NONE;46849163;5;NONE;33519761;31;NONE;25294231;Win;Fail;104;142;412;145;164;81;48;53;8;164;1980155854
0;201;NONE;49339151;102;NONE;45833746;23;NONE;23402936;90;NONE;64938219;81;NONE;29954113;5;NONE;54937799;133;NONE;49505896;69;NONE;40358396;222;NONE;28994651;117;NONE;21990081;Fail;Win;39;25;142;145;164;39;91;145;8;142;1979655438
0;117;BOTTOM;41865371;27;TOP;52156665;23;MIDDLE;23402936;110;BOTTOM;36185015;104;JUNGLE;62475364;81;BOTTOM;41542670;201;BOTTOM;37915705;92;TOP;20436570;136;BOTTOM;47962920;121;JUNGLE;32266483;Win;Fail;122;145;236;5;164;25;122;11;39;163;1979294777
0;98;JUNGLE;68838041;43;MIDDLE;19790765;18;BOTTOM;38305958;117;MIDDLE;30744044;56;JUNGLE;31178204;145;BOTTOM;30798969;34;MIDDLE;43465665;32;JUNGLE;33726754;44;BOTTOM;37953579;23;TOP;23402936;Fail;Win;107;51;267;38;39;119;25;122;8;164;1979125357
0;236;BOTTOM;35501415;11;JUNGLE;25073028;43;MIDDLE;23770854;36;TOP;30895207;432;BOTTOM;20322181;143;BOTTOM;62759000;202;BOTTOM;224731;23;JUNGLE;23402936;98;TOP;49339151;13;MIDDLE;42634062;Fail;Win;142;8;5;39;145;201;8;145;164;25;1978676740
0;59;JUNGLE;38626931;2;MIDDLE;28117164;37;MIDDLE;36586403;81;BOTTOM;43591549;30;MIDDLE;28173836;76;JUNGLE;57694673;12;BOTTOM;50871161;23;JUNGLE;23402936;91;MIDDLE;29560341;145;BOTTOM;29626431;Fail;Win;39;25;119;104;9;142;25;8;164;11;1978572741
0;516;NONE;34876945;76;NONE;57694673;12;NONE;50871161;99;NONE;28994651;81;NONE;21990081;30;NONE;62475364;117;NONE;26926091;23;NONE;23402936;67;NONE;37803083;121;NONE;26376711;Fail;Win;5;25;39;8;142;164;122;145;7;104;1978552482
0;68;TOP;35483267;555;BOTTOM;41373137;238;JUNGLE;43239321;427;JUNGLE;33726754;18;BOTTOM;38040775;9;JUNGLE;60143676;23;TOP;23402936;81;JUNGLE;42337826;126;TOP;30950217;25;BOTTOM;24602552;Win;Fail;5;145;39;8;421;236;5;104;91;164;1978466626
0;27;TOP;70418172;99;MIDDLE;28994651;29;JUNGLE;22255693;117;BOTTOM;24602552;498;BOTTOM;35471685;142;MIDDLE;51764533;23;TOP;23402936;5;JUNGLE;61382972;236;BOTTOM;32525539;12;BOTTOM;27242434;Fail;Win;107;105;122;145;25;164;104;555;91;25;1977990133
0;56;JUNGLE;21039791;34;MIDDLE;34990484;40;BOTTOM;31554189;23;TOP;23402936;81;BOTTOM;32497510;145;BOTTOM;28024950;2;JUNGLE;28117164;105;MIDDLE;24200190;78;TOP;29146564;25;BOTTOM;30744044;Win;Fail;164;-1;39;90;104;104;142;8;555;5;1977958889
