;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;76;JUNGLE;19260842;43;TOP;4218078;236;BOTTOM;391944;98;TOP;11105306;37;BOTTOM;1074903;59;JUNGLE;17072310;122;TOP;784869;69;MIDDLE;2987157;117;BOTTOM;2514858;96;BOTTOM;3632594;Win;Fail;39;28;164;145;107;238;164;92;121;8;714809865
0;10;NONE;16992308;81;NONE;19415497;107;NONE;784869;497;NONE;4909214;236;NONE;1302478;498;NONE;9211045;44;NONE;1690755;11;NONE;4218078;86;NONE;19310914;157;NONE;12502910;Win;Fail;145;121;39;164;142;-1;164;104;28;-1;714556437
0;41;TOP;5539903;24;JUNGLE;15224533;267;BOTTOM;351566;142;MIDDLE;16093696;18;BOTTOM;19470751;412;BOTTOM;19310914;114;TOP;1690755;163;JUNGLE;4218078;145;BOTTOM;9674281;157;MIDDLE;9211045;Win;Fail;240;48;-1;7;9;240;107;104;39;164;714532778
0;267;BOTTOM;4372658;81;BOTTOM;17456270;7;MIDDLE;9294148;164;TOP;1690755;163;JUNGLE;4218078;18;BOTTOM;391944;43;BOTTOM;11205250;141;TOP;19703535;142;MIDDLE;19395554;104;JUNGLE;1365971;Win;Fail;25;107;58;145;236;238;105;145;39;5;714507345
0;163;JUNGLE;762554;14;TOP;362127;117;BOTTOM;2663789;55;MIDDLE;6560286;67;BOTTOM;10533525;27;TOP;3630482;238;MIDDLE;6248596;81;BOTTOM;14665380;43;BOTTOM;2663676;104;JUNGLE;4218078;Win;Fail;39;145;53;164;157;164;25;145;28;107;714288442
0;55;MIDDLE;6560286;16;BOTTOM;17451478;104;JUNGLE;4218078;516;TOP;4612550;81;BOTTOM;3812406;9;TOP;3496869;267;BOTTOM;5584765;29;BOTTOM;1631360;142;MIDDLE;10533525;141;JUNGLE;2682301;Win;Fail;14;25;164;119;145;30;39;25;164;84;714301404
0;50;MIDDLE;3364031;145;BOTTOM;4218078;104;JUNGLE;16909730;25;BOTTOM;752104;114;TOP;2342292;30;MIDDLE;19474232;117;BOTTOM;9020661;10;MIDDLE;16992308;64;JUNGLE;4522873;498;BOTTOM;2595982;Fail;Win;51;40;163;81;238;164;121;555;157;39;714197475
0;84;MIDDLE;8480601;145;BOTTOM;13550182;48;JUNGLE;3496869;236;BOTTOM;15224533;78;TOP;18703713;61;BOTTOM;12693458;81;BOTTOM;2332263;8;TOP;1690755;142;MIDDLE;17633408;104;JUNGLE;4218078;Win;Fail;-1;39;30;157;5;107;121;238;28;25;712356374
0;43;BOTTOM;338137;81;BOTTOM;4218078;5;JUNGLE;14665380;161;MIDDLE;13512311;8;TOP;3012659;103;MIDDLE;2463269;40;BOTTOM;4160312;240;TOP;12693458;67;BOTTOM;5633740;35;JUNGLE;19544056;Fail;Win;238;107;39;142;145;104;164;7;107;114;711630757
0;64;NONE;3680926;145;NONE;5741715;50;NONE;399094;40;NONE;4349763;7;NONE;4320341;18;NONE;2294660;555;NONE;4888169;117;NONE;17085886;8;NONE;4218078;41;NONE;13550182;Win;Fail;5;164;55;39;48;497;104;107;157;238;711589042
0;43;BOTTOM;11850212;81;BOTTOM;20182777;240;BOTTOM;14654889;8;TOP;3496869;107;JUNGLE;12502910;141;JUNGLE;4218078;39;MIDDLE;17633408;18;BOTTOM;15702337;16;BOTTOM;15964800;54;TOP;20051775;Win;Fail;85;145;40;555;164;119;145;5;157;117;711209506
0;498;BOTTOM;16510985;238;TOP;8325596;48;JUNGLE;3461152;117;BOTTOM;11850212;4;MIDDLE;19715148;236;BOTTOM;3933061;25;BOTTOM;2934310;8;TOP;19413488;104;JUNGLE;4218078;131;JUNGLE;2377689;Fail;Win;35;497;121;20;5;107;555;142;7;81;711081098
0;24;TOP;14172737;131;MIDDLE;2377689;497;BOTTOM;10215010;104;JUNGLE;784869;81;BOTTOM;20182777;67;BOTTOM;3303116;25;BOTTOM;443608;114;TOP;4218078;91;MIDDLE;10773618;48;JUNGLE;3461152;Fail;Win;7;39;145;55;30;157;142;117;35;8;711045666
0;157;MIDDLE;2377689;104;JUNGLE;4218078;24;TOP;14172737;497;BOTTOM;18042123;67;BOTTOM;11876516;201;BOTTOM;9917313;50;TOP;1870644;238;MIDDLE;13550182;154;JUNGLE;3496869;145;BOTTOM;1631360;Fail;Win;8;164;91;7;142;48;119;25;107;5;711007578
0;92;NONE;1631360;238;NONE;13550182;43;NONE;344984;15;NONE;14172737;104;NONE;2971756;117;NONE;3004482;51;NONE;11876516;141;NONE;4218078;142;NONE;16093696;126;NONE;5108530;Fail;Win;55;119;107;39;91;7;8;122;5;24;711002695
0;111;BOTTOM;17027682;498;BOTTOM;12360760;64;JUNGLE;286450;133;TOP;439394;112;MIDDLE;18423931;30;MIDDLE;19474232;81;BOTTOM;9741956;141;JUNGLE;4218078;78;TOP;6571254;55;BOTTOM;1234588;Fail;Win;50;104;119;39;107;164;7;157;48;145;710397625
0;121;JUNGLE;4218078;39;TOP;5539903;145;BOTTOM;20000124;42;TOP;2471201;201;BOTTOM;4064875;6;TOP;19310914;7;MIDDLE;15224533;104;JUNGLE;17316284;222;BOTTOM;2780656;117;BOTTOM;2592772;Fail;Win;51;-1;8;164;497;67;92;164;107;157;710104724
0;101;NONE;190446;5;NONE;201763;114;NONE;1090192;89;NONE;5835541;99;NONE;16013765;236;NONE;11695199;7;NONE;3413383;164;NONE;10212197;78;NONE;20444424;143;NONE;3365797;Win;Fail;238;142;39;35;122;62;76;145;55;104;718327778
