;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;350;BOTTOM;jTewKnCQSeFOiWexoFepnh6LbEvTkj9GMRvnT_dSG5NJ;31;TOP;fSWZMiPKzzELgZhs7fZtyzC8aaJOEN7EIR1Bn5xYwqsz;145;BOTTOM;yYO9T3ipj9nUJRreqmamvC--R2FNkwMQnFTJETMisSdCkg;268;MIDDLE;koyPUq32LBPUAjITTuheqCiHxE_ythKPCnpt0zJn_EketQo;203;JUNGLE;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;412;BOTTOM;9q4-7mECp0mvMuy246NgqJ2ZI0anAYD4KtWjv3ZGVgEL;10;TOP;go6Udj3C0hQR0qX2hcP_EZvYYcjrgfqGVPaaaNp_pI8r84g;518;MIDDLE;KFrqTyt8FA1rty4RlZSC4xKD_eTbYhQjHlqgw8wT7CDD4w;81;BOTTOM;4_WuS0PNg4_mXUnbebQcOjckM6ltaVJuCOM6HQOBHnAy;141;JUNGLE;FoC_YJSDIE-WkCa6f-KRaf8bL-ojA90wkdrUHRgO7BNJ;Fail;Win;111;517;39;122;120;28;25;266;33;32;242582194
0;31;MIDDLE;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;145;BOTTOM;872rnYZoJbsg4JAxK7u9zG9HFogjEswTKdZzoUKxYCSzzw;28;JUNGLE;0jO9dERa1EZ4mu0JWWNnBFwFeZAQM2uRHZIzZhXE_Xje;201;BOTTOM;GF7MIIz0QWvS9n1S5aWVM3dyZf_d3LanNOrUY6jXq-sH;238;MIDDLE;y2EXpv6uJJBBbNFoQE3XoafJLol8LZMWtU5uibhBfqbK;81;BOTTOM;yZJaTF_fWy5cYp18k_H01iOptt3Ztp9Lm7W-IP49vS-eNg;3;BOTTOM;7lC9VTVpjyeV6LgHtTRIS64SD-RpFiw1WYsvcCn3Wek8A0g;268;BOTTOM;VlW_Y-VREG4A1FZoyU-j0_FZbts-EUW5cP8DFpSBb4dh;59;JUNGLE;inFW4IcObzXEqiBrMPTWPYwPbCEjsApwwaIQSA_cAdiMDAw;111;TOP;TAqmm_yW5ecq1AyiB-sGyYYX1wEIe_rygh_Fqo-9QlX7;Fail;Win;421;25;13;24;203;99;84;-1;266;30;242509666
0;13;MIDDLE;BvDz0MDiy-WahKnpi0w2amr36Ol3W1dai0tKMNuU3qAX;37;BOTTOM;wSyngXxhZr26WlmLYqO1y80C_8vc3mWRkKHd8n_VZ6ub;145;BOTTOM;GF7MIIz0QWvS9n1S5aWVM3dyZf_d3LanNOrUY6jXq-sH;79;TOP;jTcsCxqo1LkJ8mpGSfbZeNKinqSjGRoDMto3XGzwnpj6xQ;203;JUNGLE;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;24;TOP;3thz-_7Us1Bl7XntG-eO9tZK1VHIZnyqTicHxOpHz25vvg;99;MIDDLE;pU8HYuWHEImMoS9zrQVQd1o3kejXSq-nkpGem51dJj5X;236;BOTTOM;VlW_Y-VREG4A1FZoyU-j0_FZbts-EUW5cP8DFpSBb4dh;266;JUNGLE;inFW4IcObzXEqiBrMPTWPYwPbCEjsApwwaIQSA_cAdiMDAw;350;BOTTOM;EiaJ-GnjSaUBx4FSM1P25Hn0xpHoYHFD1DG75_6sK54l;Fail;Win;111;517;60;39;25;238;111;28;84;-1;242497239
0;58;TOP;yctzYujV3GM5-W9T2Yzf9IAyuPtXjXbsrgw93eJMA7xZ;22;BOTTOM;hnGbNbl4kRCzQ4xv6w0yVZQkKwf2KVuyyQWbWuGWXAjT;99;MIDDLE;T7_2y0kV_TNEO1gZm72x1tM0Wq0VLdaMuyHSKY2gKgnP;163;JUNGLE;hV5Stfyf4l79ygca0-KmT08ARGyC3MQslJ5Mz5QOarCnFw;432;BOTTOM;GMgKgqjKZtljKEtYGX_TtF2xZ4IjbYtQfaTDDF-2c4DQbg;81;BOTTOM;oOTg7oppuZUArxnrK-Ow-MEm8e-O7WC3MivSacLvVe_c;44;BOTTOM;GFGfxU8ZZlTBozUJjfscbZNcAG4OUiNuNNoO4P4AMgic;126;TOP;eGcpKkjcyLfIkF-eDNCK7gxsyw7JgCaKoGNN5nUeko0k;203;JUNGLE;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;134;MIDDLE;yOt_oYZlo_ai2Y04gWYqjsMooTr7VVr9Pf_KjRUmZ6SmyA;Win;Fail;76;111;92;145;28;141;60;421;28;-1;242496402
0;421;JUNGLE;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;8;TOP;N6WVClGI2jAhyFIxvjGPs-JY3iQ2ug820wwSmQT_xopIgQ;42;MIDDLE;I1qpDOepHmR86lyCHkli8b5eAZIpYHQyfGqaCrksqIOQ;18;BOTTOM;rxfMKHckLgy8Ivezo4rdwo6eG6WUjNxnQ11f1OKy18mp;43;BOTTOM;GnRnxTeFPaYmA_mv0YBsc7iRK0Rhfx3UMsxybW2s3dYT_Q;145;BOTTOM;0pxC6BIQiZfKsO7gtVzEjBUeJ5aP5PPF-xpRLoq4GmnI;163;JUNGLE;8hVbMmrzrVaBFPO_fTlKmTpyLxBrfmhhN-G5Z8C5cYCLW9I;266;JUNGLE;da0qtY69edgiy-wN-UpT-k9ovM0ME0KmNOU6T5a3y5r96w;223;BOTTOM;9ysgCpjeFhMvjzHF9KXqGWQ2HZVtDkmNjZzRjB1Lf9l-;39;MIDDLE;yOt_oYZlo_ai2Y04gWYqjsMooTr7VVr9Pf_KjRUmZ6SmyA;Fail;Win;105;111;30;84;60;7;30;84;28;-1;242495502
0;64;JUNGLE;x-Fu0K6RsglGZP6DDFrO7lsv_nCuic-lIMoAYms2Dvt2Ug;55;MIDDLE;do1NOgDYkktTmRTwft-IO19sLOuDw09tkbxBDT0GGNzkkXs;145;BOTTOM;Q6J84Av3CwtZo9F1RC0fbla4CVAQV_TUFpXmLt3aZ0NpNw;266;TOP;uPNyNq0r13O0R0Fz1_yXdXZLkt1eNuCHoL2FxtK2bJsY;412;BOTTOM;zhihOciGT8eK2g6kssQ_nWbONC9wNvqxZDdrpUamC6-_zok;203;TOP;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;99;MIDDLE;28_iPf0yC3tfpsAKouNgV8ebvkySAGYnTbd4OVsPaWry;81;BOTTOM;jTewKnCQSeFOiWexoFepnh6LbEvTkj9GMRvnT_dSG5NJ;31;TOP;fSWZMiPKzzELgZhs7fZtyzC8aaJOEN7EIR1Bn5xYwqsz;161;BOTTOM;gksmdvhfoY7JQAVkhQ2hEpMek30LBlCX9TPzSnOSea4p;Fail;Win;122;61;25;238;84;111;38;28;60;122;242182341
0;13;MIDDLE;184gLTr8RJAhBf2Eh8WN4MrbsrP7P6u-YToSwFa6puU3fD4;145;BOTTOM;0kDMm1U0fBRfULOAKYKJx05MuU6PPYaxxZtHjyJNPm1Dfw;114;MIDDLE;y2EXpv6uJJBBbNFoQE3XoafJLol8LZMWtU5uibhBfqbK;141;JUNGLE;MbvTssizKqApGj0NfluZooPvzubwTKATR5Wf3EtCStpM;350;BOTTOM;bG1O3VeAOnMqDcwiLzoP6XTgriUuM4FJ3uw-RcjpkHql;85;TOP;yOt_oYZlo_ai2Y04gWYqjsMooTr7VVr9Pf_KjRUmZ6SmyA;421;JUNGLE;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;161;MIDDLE;-oqwbRkByDBjF49s-Ncrm50zIjbV4LAVamr2WqgxXR5w;44;BOTTOM;H7iJa3OOonRIrNU6Pe9KwUDO5Ds922mcV0Aywa1P-KnuZ8w;18;TOP;DEdYEDOIXqIkkqgsx72BJICPP8lyDERUMMB1F-38V0IlshE;Fail;Win;266;103;203;7;24;84;60;25;120;39;242180712
0;517;NONE;ZHFZnDaNfwg0vOgAHfiLGGvceOr1PS2_xgZ0KLW2_gGqQKE;98;NONE;OahzX0gc_vrllX6k0NWzWpDuV95Is-ve6tcgwiLeoWXr4g;145;NONE;RrOq4Hf8pgBphQqL2Ow5Yo7CY7-0KbCCT5Pv9xlh4aS5;203;NONE;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;350;NONE;rRoo9MPph7kdkoVuV8V0vZT3AEDzKij8BCVXAVy81pEsYw;81;NONE;2VfL8VRSmPTswIGRalk2v8sqQ2j1kl27BukmNyk0jefzhSU;161;NONE;-oqwbRkByDBjF49s-Ncrm50zIjbV4LAVamr2WqgxXR5w;85;NONE;QDzNwCtQEbVJelK0CMsTlkqiWOXAA53gqZE3HWLMG7ie;497;NONE;DY602i3RtkpQe9d8en8jDO1RUD9-OHqqIWbDY4aAGBzO;121;NONE;ORbk73WlNM3FHUK7tqMhoy2lrkMSUWFg8UGjGYl05GQ36g;Fail;Win;39;60;64;111;30;39;28;32;-1;-1;242180042
0;58;MIDDLE;H3MTDTzBX1COedFOhP00jeejRl6ADBABpg5YvuH-bIgc;145;BOTTOM;3DCDTb6IIu2NySKE1-0AyU0Vzj_7pQ5qRTy7wmKxGZl4nQ;99;BOTTOM;bG1O3VeAOnMqDcwiLzoP6XTgriUuM4FJ3uw-RcjpkHql;121;JUNGLE;_5v44qpLQBjgupXb1sraYt6tutxjYqCe442v7BJLGUO4;517;TOP;uPNyNq0r13O0R0Fz1_yXdXZLkt1eNuCHoL2FxtK2bJsY;203;JUNGLE;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;51;BOTTOM;-oZuXJ1O1y5VSbKJVyn_ap-15UlwYZfZHOWNDjK-EbgrmiM;38;MIDDLE;VMsbQWUctL60xzNgnVm_xpZnPDJQC7KjUGf5uVQBXonv-6s;48;TOP;E9aWPUyTiNu2Gu7Xu4HH4J_HRnpfR1D1j5OYC9j9skNp;25;TOP;8vZC635KDglm21KGYuNhcTHjG8Vt1b_ApVYy4pXgf8P0wsU;Fail;Win;122;24;350;266;84;13;60;157;122;350;241955286
0;145;MIDDLE;A6UYVJ-GsVdRFHMwnRWSvzXh0JCCcJJETamtJTqUkkMD;120;MIDDLE;oEvcq8nCvhmkY-2utcZgoigsh_X1qp5rgnzRb1b8Fzjz;55;MIDDLE;do1NOgDYkktTmRTwft-IO19sLOuDw09tkbxBDT0GGNzkkXs;72;JUNGLE;bLKOd4RRTJcQepzetgXFFgo6zMETMHt6DyyEml6-gltx;555;MIDDLE;meNjkN9Ckmx1yzuort0bj4_E9Haq2Aldx-andE0WBssd;18;BOTTOM;uZLdjC4uxyCxRlCSTvSIoD6fDtjJASeyBlygrgLBynBgAQ;3;BOTTOM;lBp2hs1tIx0psPGIg66Dg6aCiL7E_55ZfR7Ogkz9Uv3Q82E;203;JUNGLE;nZMuHTqiVv_WHe0R_xS-Bc8HtshVQ0Z2GVgjIo2ikGC8Yn4;131;BOTTOM;zYvRKLVRzkUUzvYqWa1dgttUJTxHGzfuhcMSnnRi1uTD;98;TOP;ZrY2HJaiwJ2PLjyQZFhaVgpyW9vXM858sILu6mOWoDnIIA;Fail;Win;61;13;30;8;28;25;60;8;38;24;241871543
