;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;75;TOP;rIjnjg6EmVItOn8W9ozTPMCVB6AtYPXS6iTxjKJiK2aWDqE;113;JUNGLE;GSYdUlm27YEK3PWD73ponvDpp9896SJWHOesk5eWTLODlBc;16;BOTTOM;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;90;MIDDLE;hVM6Ka--q1yaHo9DxD_uCY7psOuJ3nkpkgV3qoEM6QalGWY;21;BOTTOM;x1_2hqUW5zH52a_5sRXvCfKKXQqZ_EGVp0Vr3FqJSmN7gA;10;MIDDLE;gSGCO056HgEUgNPNTXvMmP7veB91CjRxmVLJfB8xLOy1LA;8;MIDDLE;fKNTwPWGpdNJrbBP30_Ss__gZQhw_vh2ERvPZBpMv5cXkw;64;JUNGLE;f3SbiYEfHsuCx46J37CYCW1k7xN5JlAExXjAf7EYWq-6xA;145;BOTTOM;33X_GLs7Bd5M4DFFKUhzqvCTxnbclhKS9HpuLCGwuNgR;267;BOTTOM;utvYVo5hn2XgUpR7v8BEgZU43Cnm67t8LCnzAStQem84;Win;Fail;7;238;555;122;30;28;39;11;30;111;214596196
0;37;BOTTOM;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;113;JUNGLE;MHqbJYbZB49Y0mJW_J_9n9d3WAtBAN26H8Bhkqi2MoB13g;92;TOP;3t1r2ABtVuMkJI2h2poWCubscKTk8W1T6R1jDKaVPuTgNQ;145;BOTTOM;VnISFLAmkN6WC4tnqURXeno-TkIFp0t1VvZHreptpBY;42;MIDDLE;ydW8C0EPzes2hSSDYvqYmfG4NtKEAXOBLg4_4hbcY38B;98;TOP;kfwt3_ZTXFAdKMDT2tWG8HyDQoL2eJflqTUdajEVXDzCug;555;BOTTOM;QZ_zH0JSWUpzx1w5UHeCNbxUEgQ-3OOz0GfLEt4giTkD590;20;JUNGLE;ySKZN7O48OfdnODlO8maUIwPrLTNEDrYtQcxtJ_nN0vb;131;MIDDLE;A9TojiS7DMPOypNUwMPkemyEinehx8UzCOhTADnAL3zwLQ;67;BOTTOM;YnzBruDKuBspI2qxaJQ-FpLnJ0TX-Wd370o2b7b2Pqj5sw;Fail;Win;8;39;25;30;99;141;157;25;30;38;214595293
0;107;JUNGLE;RW5etAFBCQUUqHPTY1f4zFHkdRITrs4CHFVpmyft3aOqWLw;41;TOP;ZBpzypUc3hcxykAfH0xXawkw_h6wPDNiKyPspokFCNE9XQ;37;BOTTOM;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;245;MIDDLE;A9TojiS7DMPOypNUwMPkemyEinehx8UzCOhTADnAL3zwLQ;67;BOTTOM;YnzBruDKuBspI2qxaJQ-FpLnJ0TX-Wd370o2b7b2Pqj5sw;555;BOTTOM;iAymEUC1j_6r12AOrA1EoIoasAqothtVALZB_2v4AYzJbg;24;JUNGLE;RFGCNznNYJidRSK9CYI6RPgwTJqVwMmSVXchv-9PWnwSkpM;145;BOTTOM;ydW8C0EPzes2hSSDYvqYmfG4NtKEAXOBLg4_4hbcY38B;38;MIDDLE;rh8Zouo9yeBgw0wBu6nkRDJJXzmHgJegENm1S3Bd8zwCdg;223;TOP;7v1OqQ_oiZhGk1bnBfeK2kK3rAwK3smLCXef5icKypI;Win;Fail;8;126;11;25;30;15;30;238;119;39;214604223
0;5;JUNGLE;KXsm2Y5rcU5j_vxBIpK4DjhPAH-mqEUyK5Y0cfmSxHwjz1E;145;BOTTOM;ydW8C0EPzes2hSSDYvqYmfG4NtKEAXOBLg4_4hbcY38B;412;BOTTOM;cj-Oq6XDixcIv9LRpbpfr9TrSJFFk7PQy8zy_eJ2z0LH9SE;74;TOP;jiRzDsn4nvDsFlyeadN26nYbtZ2TDEN2oQrALx3oATD5Xg;122;TOP;CeXL9EWhP_Vg2QInFAUBBTkq8-LTHvaweIMy6HmP_YGm;99;MIDDLE;x_h1Tb-PAS_A1D2poZCM-QpLF7AYJKpX2Cv4c-0MhIW_;81;BOTTOM;hz_XSL_31H84KfzoDs6L26ruEWqGh-cGDeawm5gGZ1n4cg;37;BOTTOM;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;92;TOP;-PQcEPo2yX7TOF2PV6yfuAu1LkjRXhPSQjTeomY39WsrTCU;141;JUNGLE;jt5vMEI34-tpasIpYFXyxxsFXeXFv6ntPMpadnPqBxJwHg;Fail;Win;238;24;119;30;518;8;555;34;266;157;214593251
0;24;JUNGLE;KXsm2Y5rcU5j_vxBIpK4DjhPAH-mqEUyK5Y0cfmSxHwjz1E;202;BOTTOM;vod72jcoyPhHIpQH0zFUC6ZLOtJ4KBe1wiMIJXmRogZ7mg;68;TOP;iexgsYYU7_Uw0gmNtSk9dJLIeE77c9ebohIxM9QU_x4;12;BOTTOM;VQIGZS7BDY35mrJAfwmtR02_Y2yxEc8bbpIIgHbZ-6vDzjI;69;MIDDLE;8P9PawfSsWHlbonRMN7lQHvQrYg5RKGmiqlIlmmydnIcYaU;77;JUNGLE;rIjnjg6EmVItOn8W9ozTPMCVB6AtYPXS6iTxjKJiK2aWDqE;37;BOTTOM;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;22;BOTTOM;vM0EeyCVa-aKwQeyM8beLPCNgSBYRwbd88AXxgtlFYnp;112;TOP;XIGgULiAxA0IjTPp_f4owg_AUNZhroESBFS26ViPkUB4A5w;30;MIDDLE;oS6PNCDy5_r_5HurAFr1QLCnzouSH3UqoRxuhGzWD27d7Ew;Fail;Win;60;25;8;28;117;7;266;8;64;-1;214612230
0;141;JUNGLE;tBX6jVahJ0Yoc37xl1i_10qP_uPfsE6y-DQBkxrrRgaL;412;BOTTOM;OtGBXQM5e4VPQErjdc1Mc-p7PDXBlydbH6PG5tzaRke1afM;55;MIDDLE;vM0EeyCVa-aKwQeyM8beLPCNgSBYRwbd88AXxgtlFYnp;122;TOP;wkJitPzsnvgxrHMgTlc4NDFvwbcmn6fKHYN8PbscvU7iKQ;51;BOTTOM;YkPXKwrrbyp-f49rGHIAyWvjcMh7EGqTPH63okhlsdLuaQ;30;MIDDLE;oS6PNCDy5_r_5HurAFr1QLCnzouSH3UqoRxuhGzWD27d7Ew;240;TOP;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;37;BOTTOM;qVgvEdNCgiL23Z8iOE6ohueMFQZ6rcvgyagxmrOqE2uoPQ;21;JUNGLE;jt5vMEI34-tpasIpYFXyxxsFXeXFv6ntPMpadnPqBxJwHg;77;JUNGLE;KvCDlkoHBmttX5xlA2W05V52kgclyTu85sNvobqiLaYH;Win;Fail;25;92;64;89;8;157;24;38;111;28;214591386
0;517;MIDDLE;oSY1yPDEX3BWU-Jtl2tkl_cJn2Mw0N6JolraRg5TK6x5;117;BOTTOM;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;22;BOTTOM;spMnclwjBUXfHE2IvysSs-W8IjF7BiNn-5y2w1fJ3Xc;64;JUNGLE;GWBuFpvX6VroTlIYgccqpSKh50DDJ7fVFl4p8S6XnS1-;266;TOP;RaDL8zXFBqN922Df4HLLGTrvBF-7KfOInGAjjHsHIzaw;28;JUNGLE;vM0EeyCVa-aKwQeyM8beLPCNgSBYRwbd88AXxgtlFYnp;99;BOTTOM;3Jza5sYTC70NR3PB6a3p6TJbmORBBPtxzCosFihg34HIW2c;30;MIDDLE;oS6PNCDy5_r_5HurAFr1QLCnzouSH3UqoRxuhGzWD27d7Ew;122;TOP;wkJitPzsnvgxrHMgTlc4NDFvwbcmn6fKHYN8PbscvU7iKQ;202;BOTTOM;YkPXKwrrbyp-f49rGHIAyWvjcMh7EGqTPH63okhlsdLuaQ;Fail;Win;120;25;84;157;33;25;119;38;8;92;214590757
0;10;MIDDLE;8jjtzJNzq9iIH-JI2WcpDR9gxGPB8-pQ7gFjPPkoXhA;111;TOP;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;350;BOTTOM;rVbEVf_yeFZDkZhkwTDo55z4TAGhUqk9pvvwC3srDpno;29;BOTTOM;eZYbY-JqgAKd-1dBkamhxNFF4tbxtOE9EsqS-42YyD7M;33;JUNGLE;E_-5cUHoJITWrlYEWUwwP8vLR2ZaSA16F374wRkJ-r0cbzk;141;JUNGLE;ZHCkPqHBsrjBTa_a1w1JG8BDG9CL6DecPlcXa0Hy1g2cdg;201;BOTTOM;cIYaGL6SmUzpCYqMW5a22NrrwgsM5_xxHCbz7yePS7x-iQ;240;TOP;iUg4B_DogY5s77gJF1nJUkb2bJdGj8oXvmsAANzu1u62y4Q;8;MIDDLE;0FWRDpAQD_aXHzvdeuSrMJ7f7ev6oFribHX3toE877-rsK8;18;BOTTOM;uPs9muuQNV6pqw5ls8RIlX7z5-T5ktlkTTqT-C9qEVoU9x8;Fail;Win;15;120;25;30;35;145;38;41;120;119;214563908
0;120;JUNGLE;mdG0l_CmPqRUGRv8msqjBRqOdgaYvCPikDYoNse-v7UJjQ;25;BOTTOM;BOXyeu-zI_WoDeDk3Kk9nvw1-5aEItPEC1gJit4Vg0Uu;240;MIDDLE;iUg4B_DogY5s77gJF1nJUkb2bJdGj8oXvmsAANzu1u62y4Q;115;BOTTOM;cIYaGL6SmUzpCYqMW5a22NrrwgsM5_xxHCbz7yePS7x-iQ;39;MIDDLE;VG3FJu0-PKQDkzcV0-4aUnAEKednKmaSy2zjLB47Kv89PJI;131;MIDDLE;A9TojiS7DMPOypNUwMPkemyEinehx8UzCOhTADnAL3zwLQ;13;TOP;oZjMCqyjTb_PD3njZi7xyroffKsByurFfgzsyqJdfCMxIIs;421;JUNGLE;7-J-4NB25fHVOpT-3hJtLxJkss1wue4WlD6cVSC3_hNjnQ;51;BOTTOM;8jjtzJNzq9iIH-JI2WcpDR9gxGPB8-pQ7gFjPPkoXhA;111;BOTTOM;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;Win;Fail;8;30;350;41;145;30;91;24;126;350;214572245
0;91;MIDDLE;cIYaGL6SmUzpCYqMW5a22NrrwgsM5_xxHCbz7yePS7x-iQ;145;BOTTOM;8jjtzJNzq9iIH-JI2WcpDR9gxGPB8-pQ7gFjPPkoXhA;85;TOP;iUg4B_DogY5s77gJF1nJUkb2bJdGj8oXvmsAANzu1u62y4Q;113;JUNGLE;7-J-4NB25fHVOpT-3hJtLxJkss1wue4WlD6cVSC3_hNjnQ;412;BOTTOM;XuQgcQ44UiAwX8wue1BV-mjXUr8E4jvKYbO1zTxywxBNeVQ;22;BOTTOM;BOXyeu-zI_WoDeDk3Kk9nvw1-5aEItPEC1gJit4Vg0Uu;13;TOP;oZjMCqyjTb_PD3njZi7xyroffKsByurFfgzsyqJdfCMxIIs;238;MIDDLE;eqNFi8Pq1BCvNWodcHAgP0y_FlQdhyhgtGk-p6cKRCk;117;BOTTOM;jWBhQL6Tb0GriNKpqEDdj0fVmYm6SSXxjCvwROmlMl3X;33;JUNGLE;tp6x72jG1O_g-YBTfF9BFQUQ5_JI-FOGHcdopq8Oe34g;Win;Fail;25;10;120;28;41;8;119;24;30;157;214560921
