;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;81;MIDDLE;3SqNYt0qU-rbd8Oq5xxRBwoBYn-dG_b8W9rDi7DNfdaqGQ;421;JUNGLE;NOkU5XCXfIW5H7BlSF67s0rU9WVuZXegcyUR9VXFVs4;25;BOTTOM;smLu2LBmZQjwtJOMvyIBYqaHnbW8Lht8wjVQBRPXx-u2;266;MIDDLE;2FJVXDXBQQEenN2IRtSvfneopnO_IM04taUyPbNwjvw;517;TOP;6Z-2L1en04fA0fXh5dmmNOuex8xucLEstTH9DZh1BvhOn6Q;117;BOTTOM;XFSNR-8ZZ-JPxVJ-qAGoJxE0L7i245JeLLKNzK4lEfplKA;51;BOTTOM;_-mdkMIXHbcpftXgU8xPKOwYGvSEbMevIehpk4rckuvAkQ;74;MIDDLE;GWpX_bX5dnZgX6NsnSFXA8OSgkKpue9L2R9E4qChIy877Q;150;TOP;7nLBNJT_ESrdRYAEBuF7H2DDqDzBlT6hjdh-O-OftDt3;121;JUNGLE;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;Win;Fail;113;84;143;92;30;120;13;145;24;28;697432897
0;267;BOTTOM;1TJhwIEpyLPBHowVe-YGvw4e2mUN4oQ4yljgaT3nnbuyUw;63;MIDDLE;oeRknSODAVQpl0nuiFEwEdTz4pWKGzllbh9YEwPLSy0;98;TOP;Wkn1UtVjx9iWpKCS9MgW_2xPmb3F8DsvUFkycKo-OssPQA;106;JUNGLE;Qr9XjJpUyH5O8-5-W1ZnRnVpHRhZI9eR7JwLO4o0Zck5Fw;236;BOTTOM;Of4-rN5tLG57DgCYBS9NEg8if86Upxp8bsLvGCDAZFo;30;MIDDLE;4qnZFCjFGkxQzxytuT8f0ajFj7Zm6-1VQ2w6pHC2fQkxtTI;25;TOP;-rh1i8Im5vcwzV2gtGKh-6_L-vM_4eFA8YxqFaV8DsHvtA;121;JUNGLE;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;223;TOP;4nFPjESTu78UJIr5Te43FngXUG3jl8JQH784TgsHh9jQ-Q;81;BOTTOM;ls7LO2vN_j-BN084YqbMXs2Yqdo6eEMGbBK-dEfisxUq;Fail;Win;238;67;555;120;8;15;3;111;84;67;697385500
0;50;MIDDLE;TtsAB0vtg9mAC56pKzQjc99JThFsOeQ__5yQe8Tle0cvDTU;41;TOP;EhHZV1QogCPP2XQLM5VgySGj83a2dzVkcu8LjMD3xof8iw;121;JUNGLE;tY2DetK1lldi7meBTTDOaMd2YMrAUZKHQZ2twI4Nhuht;203;TOP;fd-k85tamUzsPryRZCBh7bG50sx1nEyCn4JXPF09OyNnGA;117;BOTTOM;S7P65lwuB8KOTXw4APA2mG_ApbKrvqcxAIwODZkV3xrA;223;TOP;oqPK-nym_o52x6OJCw_NkRSCo8PUY8pfZorjkG0ao8TI;90;MIDDLE;qxeOSZomjyXKIDP96pQDMj-Bc12WlU33Nmc8MMpkeMPiUw;89;BOTTOM;gFH1ms7iyB1YyQgbd2BeBsSdbz2c1NAgARO74oSuVfE2EW0;222;JUNGLE;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;59;JUNGLE;7yZaB28airYG1RUuVmS9LEnjq84ccfkPy1t6m0AUPPeDcw;Win;Fail;120;266;33;25;92;122;67;102;7;555;697145620
0;266;JUNGLE;ELjOpl_3M-D5ExAgfO_VW-0ab-Cp0gPcTP07jU8cp8Cv;23;TOP;P5IvkK1QyzMf-jnOXTYYF9RJYvc_7KBqA3O9XUqbpHDhKvA;111;BOTTOM;wFMAnnTwSIIQdFJoLex2PZUenUIVUg1Lx3BRQBAiGQM;115;MIDDLE;M1Pg-Ekv1XJ6aHw3brLr6svdgq48NBYu1cTdkiAWaoJ6;15;BOTTOM;Of4-rN5tLG57DgCYBS9NEg8if86Upxp8bsLvGCDAZFo;67;BOTTOM;dMsrGOBgUeRcLwi8TX7T1_T1m_v5BQ47-iDjxVgSEELzsQ;64;JUNGLE;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;8;MIDDLE;TxIOEbaWH8nZfsCXUI4X2yP25Kg1YNtzR5soL6lQ7L0n8A;497;BOTTOM;ytt1YtZA8ot4xfhluvNmEY3O5ktcxqIKo6F2fH0fYwM;31;TOP;LVe4y2Dp606PXAcwvXnG2dDY1IQRWkf_ppmO2cGi2dd9;Fail;Win;121;113;120;122;555;24;122;25;7;120;697151522
0;60;JUNGLE;V-jja0_Ab2_gZLfZUh_jZc2mf-Rm4A1eVNoqR54Rf1yd;86;TOP;P8jzkZTaq5Bdi9N5oeAqvYAuhr9cZBxohhbOHj5nDnQD;43;BOTTOM;sKsWfuYcMVA2v3ivzrB4e9VPYpo_g-Dz7ZoBrIbTn4fy;74;TOP;ymFOI7sb3pCfeUWGkbWsMJb3k4Yfzw5I9TWdGVcWL3U3hp0;429;BOTTOM;nA-Q2T_75Ye_EWMBtaJFfRew9YKJRxW1pK2Fu5T7dc891qo;115;MIDDLE;BnBGUPoDDTFjov1VNBkMyurVcK0GuTw-07P7PWpaGlAm;121;JUNGLE;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;517;TOP;vzqBobXida7i9dHN5WTN7sdSwMiPaymWzci4ItPDYFkIsTk;51;BOTTOM;goKektLUC9LhlfV3BSicaXst3G7zJ-Rq8cjASPVL9rw;25;BOTTOM;qxXboe0Xu6I3qiVyJCH6jCP53o-aEw7jHzN8Uf1f0Tka_Q;Fail;Win;39;350;8;412;24;39;106;238;107;91;696323844
0;81;BOTTOM;g6JvuJF_DFC96Z_4e0CQID9AbbrcrMtpbPy8fIlpS5VJsQ;113;JUNGLE;-0KliVWu9J5-mARcXat0fOKIQgV6hI4fs5JJ2qo2r6Rg1A;13;MIDDLE;M2EuTdGJUv94M_Tqkpbr4NcjCXCGYjd1Xhi-gKnWQoWb;26;BOTTOM;3T2RyhoNA5XFSJoXgtbpRjneBBSp4VxfYSX9i-YQ7OP5;92;TOP;JTV8L7w4HWnQN25aWog3KIw75h07c2HZ8qF2bFWPpgORSg;37;BOTTOM;A9YdeikcwLfKPz1FABHN2nJ9xXml2dfq3XHGOFseoxA;84;MIDDLE;e16r1IRu3L3R13uPc0qlKypXW1Pw4kx1rjBEkdXtkenTkQ;59;JUNGLE;bwCGRilmK3ny5sv9NJ29OB70IlsZ4-qkfITbr4N0mvjTUw;498;BOTTOM;mBqAalppGn6T3v0nOoFGFR6pSTcY6savfk3QfJJ54T5BFw;39;TOP;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;Win;Fail;555;7;145;58;111;15;67;72;25;517;696320040
0;90;MIDDLE;xBDSKUyULeBwq-3KuVwgwJR8G-J1Pf9DMoYivgR8gKs;3;BOTTOM;bwCGRilmK3ny5sv9NJ29OB70IlsZ4-qkfITbr4N0mvjTUw;81;BOTTOM;aEKBsDsBNAKQsr3DenSyVxlLM7fHQoRBM1HDtsp1K6ON9Q;84;TOP;ctnLJX5k3AuTKpYRzsPtHOjSUp2Xi5ApPL6xXqjB-YOz;121;JUNGLE;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;267;BOTTOM;zhfcsKy12jCTeYGECAdAyxOKVrKUjdmpsUaHeoYy41OY9w;145;BOTTOM;RxFhv7usJBE0fVnRLRSUb_7KdVcAeTIZ8LnZaD_p8by4CA;41;MIDDLE;4OH605m-RtJG-y3dQTmax9ylaqg3NjbpXU-gFRIuB6Y3gzg;62;TOP;Eogoc9AArS0bBMvqHTJgjbTGSstsk_DG9Vda9GaQu02Z;107;JUNGLE;jPinUI385CsW0HJhjqFjcMSWzz0Rs0GyivR9Zoh1rO9n;Fail;Win;517;42;39;8;67;555;203;39;111;58;696306931
0;11;JUNGLE;Xyo15ECUhh7NnEB9877rpk66lpZ0_pj9OBEOLEaBPTLZYg;92;TOP;JCLmuDbH6txWTklJ2czxhfveq0PLSC_WnH45wD7SDlv4;117;BOTTOM;zhfcsKy12jCTeYGECAdAyxOKVrKUjdmpsUaHeoYy41OY9w;103;MIDDLE;RxFhv7usJBE0fVnRLRSUb_7KdVcAeTIZ8LnZaD_p8by4CA;202;BOTTOM;OVgXy5mDEtmqVcYf-GyUh9VregR22Tuw5ra2LMqyMGa7faE;222;BOTTOM;xEJ7ASASqEWwTUoCFaMFsNpPoOLS9ODVKQMqGfAHBzhl;121;JUNGLE;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;163;MIDDLE;Wb0KfHfCxF0m5ivHszkvsuFaGRucXzaUStIv7r76P9f3ulc;164;TOP;codIWcL-WVeuIYDTIvlgcDi1IIa_s_2ZO0iEZud0p72_Xd0;267;BOTTOM;OF8ARkxImH78TN08JBY4BQYXShUCPGqSOeFQL4jXzgrM;Fail;Win;84;555;238;111;266;84;111;245;412;145;696294972
0;161;BOTTOM;GZsrafzE7gEB6B8CTCaLdW4qYdgqWSFQy-zAEOsaJYmn;121;JUNGLE;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;45;MIDDLE;xEJ7ASASqEWwTUoCFaMFsNpPoOLS9ODVKQMqGfAHBzhl;58;MIDDLE;uBjm5nGif4EEHZ1sTtg4LX5yJ3mDzwnrE0TmvZFoCQcppg;67;BOTTOM;02aq5yBGT1LKpVmRSoQF_7MSfGNZLO_vBzIGog5ZJ9bz;64;JUNGLE;6KKf6HsH2imsq4EiqAGrK9vHdSoaJRGGIbbJAryMwXig;61;MIDDLE;26i6kf6EDzvXSdsjGqBues8t_xwXuATh5pAXz9OunuDmSBM;517;TOP;5yv64nDOT7M5amEq4HpxHTO8XcxDJas3UrMbb5a1iFY;267;BOTTOM;zhfcsKy12jCTeYGECAdAyxOKVrKUjdmpsUaHeoYy41OY9w;145;BOTTOM;RxFhv7usJBE0fVnRLRSUb_7KdVcAeTIZ8LnZaD_p8by4CA;Fail;Win;-1;122;157;91;266;238;8;555;111;25;696301644
0;23;TOP;cgwF036tCmEcJxxP9usD6-N6dILpmEEnWLg5QDAAKtTi;78;JUNGLE;BnBGUPoDDTFjov1VNBkMyurVcK0GuTw-07P7PWpaGlAm;145;BOTTOM;z1lQee2d_hjwr8gDVa5I4UvbMUuT81beQVX2eEIPbw8;412;BOTTOM;3hXSaxzuTFGpBlr4X0PE6FgB_XmnRg7f_JVN9o8GY769;131;MIDDLE;agLwmU-Y4Zl-Y_veUdc45zyDE3Q84GG_KsG4NpQ4pjo;85;BOTTOM;LBFqLGzoCpTFsUUZTLqalJCabyKzIT_Ya0R2lvjDZZUz;266;TOP;XMBp3Sb8luHXFkiecVfAOSo9iwPlcM2IFry1uQCoJ7PfLA;39;MIDDLE;feyShrp36Qbkhr_aWPxvTaiH5NWDCJ70cxr6pA4RC8S9;350;BOTTOM;hImgnYf7rp1ojRM8kooaNDt33W2lZkmLZNB8-JnCX69m;121;JUNGLE;s9QOMJR6CKV-GsCsEZQUUDSZnSGIwAwTpzH42pBdJUSi;Fail;Win;111;24;142;8;-1;127;106;58;25;157;696268442
