;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId
0;412;BOTTOM;Zh72ZI3JB3spv3-ZDFSF-QbCYPFlrPk3vlJqJaHZh2m9huE;119;MIDDLE;hOx2-XemUuh7xAr_cJQTERl90d21NbdjdXMVA4ASCKCv-RU;141;JUNGLE;rFYQPJhXCR3nsJc9tGNL2KLWylV8eVAyK60zzBWLcHw48uw;117;TOP;TaaTtBQZCxqBw85WCm_tmbcnz9KNPak9ifWKC5G8l_Uiy4k;4;MIDDLE;FDPbPZFf2fCvDbPaWYqy_PQanBp7f2LHQiXlraTwWbEW_dA;157;BOTTOM;jIfNhiLR1JJXwCJfNeF3pilDZx1JlWhcqIHFBb3uAKBY-IM;126;TOP;KF8pJb--syr0TJJ2foUcaLTc38pkGp1r7G5eIJuh7SX4_-E;12;TOP;UTL_aQaxubE5lXG_ayTIoqcK6Ip3ndBGd4AnXGtJ2UvznVI;245;JUNGLE;gMI-o0u95yxxyQOz_hJpj0gKPxxv1de04nzCmY4TjUMw104;24;MIDDLE;5GP60ecHuoWjUdmbUyv8qxc5ItsxwQCS4EdgM8bHftN3WY0;Win;Fail;81;39;517;30;350;76;-1;99;-1;266;3679438741
0;79;NONE;p5LqD4kgrOl6uZBwW4oXEgl57oVH4xRk9p1PL1HbPbpanVY;15;NONE;aQmcu8N92sqrIpeT9H-u2qK7FvXKdF7T8SIxfw_dWIr1H64;3;NONE;wXhM9BC0GzbKGHgNlsQ0gYxd1BHJt6Y7GYlGfT3MXuEv5HY;421;NONE;On6N8nP3AEfnheX91G6GJ2TRPJ7g6TvFXAPcMz9mK0RGrJ4;117;NONE;TaaTtBQZCxqBw85WCm_tmbcnz9KNPak9ifWKC5G8l_Uiy4k;126;NONE;P4zJh9IhBqlZjMFbPON3DY97CvvcToM37sQ_Rw8XEo-q3os;412;NONE;Zh72ZI3JB3spv3-ZDFSF-QbCYPFlrPk3vlJqJaHZh2m9huE;119;NONE;hOx2-XemUuh7xAr_cJQTERl90d21NbdjdXMVA4ASCKCv-RU;106;NONE;j-hsC1rnuoEqncP50GFfjdue6TqkrjiW7PV5f1ezv17k-g;13;NONE;t-cDAlUEj2olmagQsg_3Ok_oBP_VdLWh6kyBVPk4hcA_tPA;Win;Fail;39;91;30;60;517;76;350;24;81;517;3679466189
0;43;BOTTOM;PaAVKwo0oPhbWpteXjAojznuETdin-M8Z0MP0WKi6M0h_A;157;MIDDLE;onor1YiwEwlu2QAQzMwdl7HJOds67NrTMPdhxjG3OM9jpOo;79;JUNGLE;mdMVYkFibd_S9Ejz9x4YC_G07Nr2jOoFHJHjRrA1RBQ849Y;114;TOP;RVri5johFBAx7OdX7mEvOAeqH4xwaDaHp2chJGwW6_qyB1U;145;BOTTOM;sYZP4sIN1v9e9LRso7hraAOMK-TEjNdQde_bxS4p09eRjfM;498;BOTTOM;Cco7ngJ1B1WC_5iUv270FbQHOcRMr3LxJpwXCEGJzg2otO0;25;BOTTOM;jPwvNA9dYKuUNdigBM1JMqHl8w9PokbR0RTQ1fpZTEtlnmI;117;TOP;TaaTtBQZCxqBw85WCm_tmbcnz9KNPak9ifWKC5G8l_Uiy4k;141;JUNGLE;2WYtTYMFm9mVaIQJ58zg0Wq1xLzDd5VOa0yQnYZYhfe5EkU;84;TOP;kD3AAQ6UGEeWOJ94P_SicFFj4s0-3BvTGLHfc64VXleCdro;Fail;Win;111;30;7;421;350;111;30;91;236;39;3679399461
0;266;TOP;2n2U6UBxvH19ceXpFK3THaoDhzwihDbg9iCAorQSmeH4MR8;412;BOTTOM;LINCBhfGN5w2XwqUgAt-tg6apnn-Pmg86RctAAz6Zde1bQ;222;BOTTOM;-9IyMdmbqGnktHKeWpy3ZDlDXFsl6Gagg5SbZoLRb8eD5L4;84;MIDDLE;Bs9wXNoVqkJc3bFp_r29iZHHkGtpr8uvfJ0urSZgN0gvPMc;72;JUNGLE;DYH6ERTfIE6X_7xrT20IIuIE9MyOc_GQdTzajW8V3Nrh3gI;117;TOP;TaaTtBQZCxqBw85WCm_tmbcnz9KNPak9ifWKC5G8l_Uiy4k;55;MIDDLE;5Xx4Rv74Zji1LAVpoH9TAUfPkoqtrJ9mbTuLMWp5-5Lbrok;236;BOTTOM;7zsC2Fns4JX-eBnOCiNZ4uVvITDTAmHSPhRvxq0e4mAbk9A;350;BOTTOM;RJ_ni7m6SZ-R6jicVg62sThMDeCj9Eaxxc4ALVU1al4DcwE;59;JUNGLE;WHHQkLNn3qw44ALQ5pCyR7SNbmajBp0wR7OkOcgGNOwFfLY;Fail;Win;91;3;30;34;24;126;30;24;7;111;3679364046
0;105;MIDDLE;TaaTtBQZCxqBw85WCm_tmbcnz9KNPak9ifWKC5G8l_Uiy4k;3;BOTTOM;kUl2ptkxoj0J14bIBqm6V-xd3LIFpBlzpkpRxcM2SjUSdaM;110;TOP;ip-8hGTbwkEYpLxEEcW6YtAl8K4Vtw7vNCWRRzrxhu7WdmA;24;BOTTOM;yDzwJJ0uXP8NuGPF5mC3lH_WPYtK9RhndFaKDfZ1aTD1fQ8;78;JUNGLE;w3Km18sK2E3slSgyZiakgWYkMZyhGEpKW68FMAaPsGdgaaA;111;BOTTOM;P_gjL97oGUt0_PmtEvH4K6JpD1-CSoVwzUi_jdGLkPXDIBc;119;BOTTOM;n8AluLSSdEAKFvKF27jFTxkA81JRW32JXEeRzvC09hFOamw;5;JUNGLE;PTIufgyYlJHgCa8jgcKaPMTBKVPYQXiQ-MIl2gopCd1S9uU;85;TOP;-Yx40Iitgt6ZVpZzQZ2TDdIS6Eq2Ui2x98bmOPcs19atmg;163;MIDDLE;RRaxFS6hY9fKUR1V3YxEmQsPtaustbI_EQybOfw_V5ihgOE;Win;Fail;91;84;25;86;126;266;60;25;30;517;3664417142
0;84;MIDDLE;LaTLRV_IUc2UVP47axaspPZWR9tTZp4fkFcoF2FV6NQ5HVw;81;BOTTOM;HIu1xtiGQdvUuUVAeayAD_w137gDK3qYQK7U1p8ln4sUs7I;266;JUNGLE;KIFRyUb7YU-VbafmaovZX0KTHLt5ipkXVpII7f9fsSXkTA;98;BOTTOM;rn-QlCZdrQhsHXGR2yASt2xY678SMbEjmY1ww68V8eCm9XQ;223;TOP;vrJVh0PlXZ3NeVa0-_e9wuEL19Vjn2B5X7eK8A0BSW9Taw;24;TOP;kneHvT6MkAzX4lPUKnaAKwshN4EyMu3h7w_PrgCPjeYMaKw;126;MIDDLE;YZfnhDUaTgjYhqtXGcZyimK2Uy2cxGPvtfVozmFilBq78U0;25;BOTTOM;NeO24W_vNFSmbvkOsdbnD8zQ0kjPa9TCpzPCJ0mGG5Qw6ts;421;JUNGLE;_FIJJzyb4Z3le9iyovielI82EJl5xeqCleGV76prVNkrW38;99;BOTTOM;WxGb1jRAOx8s36ChYbXU8CmQtytXrNdOpeCvn4fafCcW9A;Win;Fail;517;555;-1;30;111;111;86;517;-1;412;3680490251
0;24;TOP;ALfNxQm7gFn75gChNBpxMJabeU5pYBwCfT7ioEc7bSsxiA;5;JUNGLE;oyOtgU-s1Em0dY-NxRJE2jLGeRoFCXgAkvDLSjpAfuAEGU4;81;BOTTOM;HIu1xtiGQdvUuUVAeayAD_w137gDK3qYQK7U1p8ln4sUs7I;99;BOTTOM;WxGb1jRAOx8s36ChYbXU8CmQtytXrNdOpeCvn4fafCcW9A;142;MIDDLE;5RePySjqH_RScoIcvgqlXptGGUCvnv2nn_eSbAvQqjwrZCE;141;JUNGLE;aAppa-dgfy4Jqz1QtVCMHKsBCb9hs-_JCNTmXafvwqJ18Lc;266;MIDDLE;PngOi0ALx786rfgpZlVfOAau-yyMofGeFEs-LdWSSbDlEgk;222;BOTTOM;hmMYg-KCiRhM-pjFHWGEpevqIof6ws8Ftp0hFhTuxOCvhg;412;BOTTOM;g9CVu4_t05OahVy64MxZsGzyAd7T3nmXmtWloEzXOGnHVyM;517;TOP;vrJVh0PlXZ3NeVa0-_e9wuEL19Vjn2B5X7eK8A0BSW9Taw;Win;Fail;85;421;126;111;30;421;30;350;111;-1;3680406848
0;3;BOTTOM;HIu1xtiGQdvUuUVAeayAD_w137gDK3qYQK7U1p8ln4sUs7I;30;JUNGLE;6MRcXmddiXthkzMvXJRe7_nofmHSEF3kkK2GejMQmkDVQ9c;142;TOP;5_jqp_lt8jfuZnV-eJvEQPKpKrM0zSlQoqyGzbt9fYJYT6g;39;TOP;yTkrAv_dtWEyq6ezt5hgrLzIlmRxO9K_ZaIfp1RxOY87epI;81;BOTTOM;vrJVh0PlXZ3NeVa0-_e9wuEL19Vjn2B5X7eK8A0BSW9Taw;8;BOTTOM;GBlU04K7pIeO11fCEQ1taEzHCF7LZbmxF6STaz1mfhNOakw;555;BOTTOM;RXgLe_zP_Nn2B7RvtsuGabjbnu2P6QefR98fQNsmGgr2vsM;105;TOP;eQHlM7fZC_maDuxpw02w9s6n3wBH-NskUn9W_MEdu3x32iA;64;JUNGLE;G6qGPMm-_B8iYzoUmZKLIaCuWcY_ge-B9P5y6TK-E8eS6Cs;517;TOP;vzUuArinUPmLxntPxDo2fgOznaln6c5wa1sbMkBwNngVaio;Fail;Win;24;-1;84;13;266;350;266;-1;99;13;3680433090
0;81;BOTTOM;2ANip6pRHuipES82lyEZdItWwkr0jjfEEKa8tpwSU1V70lo;43;BOTTOM;ZuFLl95VSDkv92lJtVa9poi-7dcvz4UjLhF9xhoQmMw5pug;60;JUNGLE;fmSqZb1vliQsdR2QbKf82aATu35MmBQohDwviZWJPk95mw;266;TOP;T-VVv-tkwLhHxkU9O0NGMB8UDPcGCoZZ2Tq_ZDy12qkiN5o;126;MIDDLE;nzf4gR77CX8CiKO_KtZ-BpDlkQXLbLHQUV5aaMOmXhOuR6w;517;MIDDLE;HIu1xtiGQdvUuUVAeayAD_w137gDK3qYQK7U1p8ln4sUs7I;412;BOTTOM;wNrED3WPOjZO7J-Tee_4MLwa_-h6PC1KTjv6A5_xFD2mypI;498;BOTTOM;qw0wCJp73ZVJ2IVmGpVU5mPm3HR2-GRSQTCJeukaiFrs7Us;24;MIDDLE;Gj39eAHb2-wC4NvSNFcHAxA9Thn_cA8P-OJtS_Y0090ybmk;113;JUNGLE;pli8ebon2nAAxvNTZgAnucoap5hnF0GQnh_tbFt3JlZvLBE;Fail;Win;30;111;84;39;-1;39;350;30;518;111;3680327031
0;84;MIDDLE;2n-JP17oHwNpQ6JCHUrXIuHAW3su1pkUSvpZE7zjf4VXmlE;39;TOP;5b7n8wSPJA1_yZzGo83j5HX82gGTKTYBtgRGP-bOfUUZnBo;76;JUNGLE;HIu1xtiGQdvUuUVAeayAD_w137gDK3qYQK7U1p8ln4sUs7I;498;BOTTOM;S-ZU0W5duOM_QrvzLBqSksHBH70j5r1Vpw_-v7OnRXe2l5o;497;BOTTOM;6J47mXURY6dpJhtEICKBw0mkMUHfeGOxR4hmI9uK7pviRAA;81;BOTTOM;CRPhFG0y6vXyurzWW3jzeXGmCexvlUA1_tgUHZ3qKEv1KbA;266;MIDDLE;zLxOHVLsTmFmFYmQK3FlA86ctrhMPhHnia2kIKWnSm15CUI;59;JUNGLE;4EI3PdOX0qWMhNTSmy2lF3ObaTQtqMcs2Tl0Jp4dXe2SRvo;518;TOP;TzZq1L6qfN4j6ykC-2YsKA1_i9XCYfrNzwYiCpixnZhD5xQ;25;BOTTOM;xvnfGtFNE0aF8M9CxAIvVY27N6kMvhXQ1on4S-reJdNbyg;Win;Fail;91;517;30;-1;37;163;126;13;350;99;3680310351
