;Unnamed: 0;Player_0_Champion;Player_0_Lane;Player_0_SummonerId;Player_1_Champion;Player_1_Lane;Player_1_SummonerId;Player_2_Champion;Player_2_Lane;Player_2_SummonerId;Player_3_Champion;Player_3_Lane;Player_3_SummonerId;Player_4_Champion;Player_4_Lane;Player_4_SummonerId;Player_5_Champion;Player_5_Lane;Player_5_SummonerId;Player_6_Champion;Player_6_Lane;Player_6_SummonerId;Player_7_Champion;Player_7_Lane;Player_7_SummonerId;Player_8_Champion;Player_8_Lane;Player_8_SummonerId;Player_9_Champion;Player_9_Lane;Player_9_SummonerId;Time_0_Result;Time_1_Result;_Player_T00_Ban_Champion;_Player_T01_Ban_Champion;_Player_T02_Ban_Champion;_Player_T03_Ban_Champion;_Player_T04_Ban_Champion;_Player_T10_Ban_Champion;_Player_T11_Ban_Champion;_Player_T12_Ban_Champion;_Player_T13_Ban_Champion;_Player_T14_Ban_Champion;gameId;Region
0;0;122;TOP;mkrTKqBLdIySPeduhbRAo2-pq-sXfPQodTrzmFGJZgNem7I;161;MIDDLE;Pu82TMHvFxkpbJKc57V9jA7eetUex7WpQmSGMhdF6kqkpMw;121;JUNGLE;BBmNbwfp-CNMvj401wvdfTd2PE4N9WGFgDbODSZdcJy3Tw;119;BOTTOM;Xg9uQ1SI1uoFSjWRPVrSZiba3X_I6sCmxhsDtP0Plz6S;111;BOTTOM;fkQ6fAXxOrO7_XAls884WeyrvQtq6Zp2JJDdvR1ZAjqpYYo;157;MIDDLE;4xCjGfssomOnA7eKrqP1zdKfxuwLc5mTXGqosP4yxaf3fw;113;JUNGLE;jxGnALqsmtq1PJhVwJRALbVUMFZT3SQsMXn6orjJyZz_DlE;236;BOTTOM;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;555;BOTTOM;KUxKjqWfozppUXzwB1xd8D6P3Rp5Ar1u6C2iGckusa1ioQ;39;TOP;e_k8-zZWAhJqknYktvEXwuG2rzJfFkXKi6VxceTZ6w4WTQ;Win;Fail;107;238;266;25;432;59;412;238;25;223;843991939;TR1
1;0;23;TOP;Vv6cNwnH8VYNEPxhSdwMsvOpE8K9lLu2a-4SvtvfZeZYAQ;59;JUNGLE;5_CbqSk6JuF9jarsgNmustbveMlM7Sxbfcqrz7XxtOo82dQ;103;MIDDLE;SFi-eNzP-_leOX9skGITe_0o9UpytZ1N8jLkSwee5eRJGhI;222;BOTTOM;8U-yQLctuWkdxb17fKV1x499blb6T_ImNI2RuYTivd-Wdw;143;BOTTOM;_Ndq7aVYBx3A3LINt9g29-0Gc6KA9wKJ5Q9e4ntMZ22SWQ;350;BOTTOM;kqLwrrdCUyQXOek13-EKXODSJ4iO0Q6iBdMlG6K5D-oBgSM;236;BOTTOM;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;67;JUNGLE;XD5uZOgaJCLhubXQ2PYGBY1F3EGjH9SWYU7zkzMKyzRbRzM;238;MIDDLE;7mtR3qSl9riQKyTnNkV75vDSC59_7RA-g16uN34XbQmFLWk;30;JUNGLE;MJyaLSxQSvvR2Xd6_W8oXP5H41iZHbCgBeRFLQVjic8azA;Win;Fail;85;84;8;119;28;39;412;111;201;91;843946835;TR1
2;0;201;BOTTOM;RRFVLJGQov81kDYJ3hawb0Rvg3LfZT76luwyi71bby2HauA;59;JUNGLE;-VFBOM5k9N7vkUI6wiJYRPjGsT7gI-8BVURljONP3O5d62c;1;MIDDLE;ZhoUQkaY-_f1LmHIH9b5Uf01UR-smowdi3urneYgUNMCfA;236;BOTTOM;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;516;TOP;H4_u0G49Q7ulV2-Ie01n78P3lPTcg5niJAJtmfchZhqttA;267;BOTTOM;m3hV8nFQRjIZyoFxLUUgwK4dNsqDbKLPoa3pAON7Og6-PYA;13;TOP;rPKlUorsZn_p-1P1CmVKA-zIqbVg0dbZcl2sUL-lOUQ4AQ;202;BOTTOM;su83mKjx7ATIEnPJbnndNk5vEKHLCWaWoK5R18JZ4cmYvg;24;JUNGLE;HAO-b_cV2WT2wxXuSzWzkjG79ztIf_f0vSHKPl8Hz0tcVOw;142;MIDDLE;kmxKjyEAsY1HAKFRUVKGlylKqcvODtwPFC7uoCJA1GPcFw;Win;Fail;107;39;119;30;412;266;119;517;111;84;843950182;TR1
3;0;236;BOTTOM;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;111;BOTTOM;xQusBgP57dX54eqLEx7LT2DHByz4-x6gnKUHqgBBVH7-6Q;120;JUNGLE;-d3srPwwQxmfEKqBV72blx0pJ5_zoy46YXnXiH484pR8;114;TOP;LeHQDmSz92DhDgTo0WVScuv4BlItFqMgfHLOEG_OzL8I;157;MIDDLE;C4q2SFMPssN75ERMUIjTmE0ec36XjIDRgGjre4PTXnmvhg;122;TOP;s23sLjXO-N-qexcKqN87flxtxeBJcD9yamRBV9q75LhnJQ;67;BOTTOM;PbqV1dDv1N8BHM8HNyxy1ekIe6DLv2YfP8wLPMRKH6pc;16;BOTTOM;C8BOEQaUYA7kOb6SacrE034HnGWeQcEB40LpMHvRXABeeA;163;JUNGLE;9YPg0-650s-F15f4PimwS0cw3ROz-st6ypU2ZkewVHk20j8;127;MIDDLE;6nj73hihpLjebvBN-gPskRgomrRuprwFM0Lx-JmhHmDojfA;Fail;Win;266;28;84;412;555;8;121;412;117;238;843898665;TR1
4;0;84;TOP;KaUD5Ipp07Ggtoc9lsh67cPD1EzHXraLid3wU2b8OPFPVyU;127;MIDDLE;wHRnSOcYwIJkKVUdmI2k5FsptQHN92R24Zg4W90uCmlc_Q;117;BOTTOM;qakfEbtM_kNTCxX23Ytz6MxXUa8TThRZy9_1Xyq05F6tvg;145;BOTTOM;xpboz0882TRmv0RsYvysShJD3Sa_CYBuHpXEt025U4vSqw;107;JUNGLE;wniWYx77fXY63_86b4cn6JCDMMytFZJ7oF4xQEGo4ywjcds;99;BOTTOM;bkojA9mojvCWMfWwfrno8t547tA8Ionzo8qONw_7oIfweWQ;240;TOP;2zBf0IGxVByGEWFFMZA1ZNeRfTe-Oc-FXgdcHdlDyC72wQ;120;JUNGLE;dfyf67HmC4GgzPRy0bM6BKbJVSzcFTbTY0w5JMSxOG6Wcw;39;MIDDLE;2bokRYxhl9xKEelYNLGp3Q4KZoU-ffwVQvO9MDNXyRFQ;236;BOTTOM;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;Fail;Win;51;67;119;421;28;7;30;25;350;111;843883070;TR1
5;0;236;BOTTOM;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;68;TOP;qgklBprohsFLszIf1eu8Tla7mLKwTwDrrji47lBRPxktWQ;117;BOTTOM;HAT00ooeesErZ1CLLSVlhtryeWNJ1pjT1hhcrcxDMJx8Lg;121;JUNGLE;hYXhacY2O5s3uH-kjAuFWwd3FNqZ48YUG13iPpDS5BfS;157;MIDDLE;3DDDAksIUN7nzUs_9S0u0dlIAk4eBsyGvKXMawnuDl75VLs;60;JUNGLE;-3XWFEb6gFHIKMiktGHoJTK3ZcJL08U2uTdBBdVV3NNG7w;39;TOP;YGN-W1Mdj_2LFT423OoXTzSvqM1uLfCeA5DXHzou35iKEA;517;MIDDLE;vKZ3BZ_zFGPuoofSQlejdbi_JZ_3yO7mbHmZh6B5BHXdTA;145;BOTTOM;84qec7ZORMUmvKc_tIwr4v-hMnELVX48RjYW0TKZk9mGQg;161;BOTTOM;zLAaKvn0gJGHPQ6WCZRE9JZFa7dlsGCF_siiBDB4xFAvAys;Fail;Win;555;412;84;113;8;107;25;15;103;8;843877134;TR1
6;0;76;JUNGLE;TbtrkwCphUNxUBR6AWQQWSjhdxBwB_i3WBcgtWLtW-uC4wE;67;BOTTOM;dTdCqZPLdD3Z0pBJv8QMcsubJ5XLeSPPi0cgMpselDR6svM;2;TOP;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;350;BOTTOM;Ome_vPxQOGgcPRyKdxjO6sVJRRHmS19OpfnQlPfV-6yfOQ;55;MIDDLE;kyo3DEj_Q26Ej4XNnO_qGajkHix7SQ2eb3k2l6R2u_IXoQ;81;BOTTOM;q5z8t1cQ_ixHPgD9VygElaxqk5T8VUlJEj_MMrBl8TiX;58;TOP;-ddGsqG1ZSY61rZHUTd8oL6tQyggfseGdIgGjzFqu9TEpQ;223;BOTTOM;RR0K_nairPmPSSsXS3xcgLoR7k5d-vGlp7RRAvBIemU0RA;105;MIDDLE;gi5Oj0twTnoypnJI9TvR8lzRfTg2J7Rx8VAnt1R3lyeczK0;28;JUNGLE;wYrYTI5zRsynAYPOyRMNoQxPIAimbvFVtaNWt_9x_4mBJw;Win;Fail;7;114;8;119;238;84;266;30;119;421;843612020;TR1
7;0;64;JUNGLE;-ddGsqG1ZSY61rZHUTd8oL6tQyggfseGdIgGjzFqu9TEpQ;103;MIDDLE;k9pMrHoIPU7s8Q91HaLnx68qJ9arci3ktcchkgEbmvFHKw;2;MIDDLE;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;201;BOTTOM;RRFVLJGQov81kDYJ3hawb0Rvg3LfZT76luwyi71bby2HauA;236;BOTTOM;UUai6cmf5gMS2wSg67PvAonu0WUW9PVuZRnQQmnzp77kcFQ;126;TOP;GR_iisWw_5HApAcuqFAL0sDxTlxE8cHNDf_gbBNZPSE18Q;8;MIDDLE;A-nMNPMdGdFSwXD71sbWWzlloyxZzvg88FD6Al9CCxNgEA;498;BOTTOM;vDgrG5KXZ0ZLDtevKVepayVLAI-Mpdl3vd2H4BNDgoFL;121;JUNGLE;ulsTRdI4ntfDXI3rJ46r2xVIiQLekngTXMp1-R_hIqCUImE;497;BOTTOM;_LjMMujEncsCsyOTAQ4bj05SDhCYVS9mc6kBpPmGjdueMQ;Fail;Win;145;120;38;30;114;28;421;412;55;84;843601944;TR1
8;0;81;BOTTOM;PLNFRGpnnJQ-QhwtgrMQNrc-jE6g8p2JDbPK1gPz4xtV;412;BOTTOM;ijLtQtu9Mayvtm8Sp3EdQ3lKY1LkLiJ09iUHMAwIVCIa0A;266;JUNGLE;mxzEC5ToprvDIJi8c995GPX9hVVDXr5EpjNWwvHqmxsJSw;114;TOP;84U80LEz8YgIJcXEIN0JdlZWeLTFOFpHQuSJdWo5yqHqQg;136;MIDDLE;5ViL_aBTx-Caam-ZIpfQ58mQlWJJPo3J8-XAjo5irbqLdZQ;236;MIDDLE;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;92;TOP;FKuhD12noD-QCP-DgmyO5Kx0kuAnbyOJNj5UQ2f4uKTL0po;154;JUNGLE;O9xPmWrE028x0gSKVICtNsDaFFkLqDBoOM8PIrDembJf72w;498;BOTTOM;cDPtRhCIuJlMiVlwS5yqrWw6C-v4BxbTcgMkuYpVliVhFA;201;BOTTOM;RRFVLJGQov81kDYJ3hawb0Rvg3LfZT76luwyi71bby2HauA;Fail;Win;157;517;145;28;111;28;30;59;119;85;843610797;TR1
9;0;555;TOP;WiGcZjfmWnEtxVB1SNTR1Zff5zqNCFCuvaamYcm17taHPg;101;TOP;wHRnSOcYwIJkKVUdmI2k5FsptQHN92R24Zg4W90uCmlc_Q;497;BOTTOM;OIwNJa1OBhJLM_YoTqqdbOXcPpTQHqhta96TJQudVPpg7A;236;BOTTOM;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;32;JUNGLE;-ddGsqG1ZSY61rZHUTd8oL6tQyggfseGdIgGjzFqu9TEpQ;81;BOTTOM;_ijPSSLEegLNL1KEMDWkkARHYdlHFW_-Qsi1u0ph8p-oBQ;103;MIDDLE;2E6D4U0gZh7ZyTWXQaJInodpw3vwpAMRtfoHSTFejnwJJA;120;JUNGLE;cyR7HTNFtvB7C6S194WGgRSfEQEdLyyBBwRqLBw8vt8VaA;6;TOP;chVKnvFPS0lZm5nt2TgiFGqYCzWBgiqSbj5Us33I27LdPpA;40;BOTTOM;de0OHk7wH7bJaTxE7gvTXlUzo2yglmIYUadQcG_5LZcnYNE;Fail;Win;238;39;412;266;30;-1;119;7;67;122;843589668;TR1
