;accountId;id;name;profileIconId;revisionDate;summonerLevel
0;237392135;104979693;Hades Dog;1446;1528839089000;81
0;220270276;71136981;MagiFaker;774;1528852443000;67
0;218023695;67077416;labrov;1211;1528826517000;95
0;30693347;26499571;Chíbs;3478;1528852443000;131
0;219357698;69446897;TarkyLoL;742;1528814271000;68
0;219540664;70027323;Agresivoo;3382;1528846946000;104
0;40392978;37722273;Rabble Arouser;1110;1528818490000;104
0;226468574;84077683;it is destiny;3172;1528887078000;57
0;28224933;23896961;tni rof cca;3167;1528111910000;90
0;231544209;96627066;felØ de se;2074;1528852242000;90
0;229371552;91136961;Erdoté;2074;1528811895000;77
0;227240661;85597167;Matislaw;3398;1528717380000;72
0;221628267;73306918;Kite Machine;7;1528830899000;60
0;22025531;19331430;Séncux;3038;1528886694000;102
0;231284268;97579562;mouz Inspired;1114;1528744664000;78
0;202215531;43541239;Hyyyyyy;3480;1528844591000;101
0;225783506;82347795;KIYF Carzzy;1450;1528648733000;76
0;24760309;21285694;Sawyor;7;1528735205000;78
0;24442183;21053498;MakeitBetter;1381;1528840629000;106
0;235326169;102870157;EDM ABUSER;1133;1528823802000;94
0;202624076;43874919;ADC is AP but AD;22;1528882848000;76
0;24322895;20993937;W Hyôrai;511;1528882759000;97
0;239662620;107547025;Wafflebrother;3369;1528585176000;48
0;25432510;21781690;Delitto1;512;1528811130000;74
0;31962035;28052021;K1CK XicOoO;26;1528839315000;65
0;33328489;29776827;MagiFelixx;774;1528738739000;105
0;23206125;20181136;BIG Kruimel;2091;1528846946000;118
0;202308549;43573667;MSF xKenzuke;7;1528848883000;141
0;217973729;66903184;BIG Dreamer Ace;3478;1528830426000;87
0;36623216;33037228;Gentside Treatz;508;1528887078000;79
0;232791263;99647174;G2 Wadid;3310;1528845805000;69
0;23169661;20395020;cospect;3009;1528836554000;71
0;25352954;21729191;Lexip;1151;1528846946000;115
0;37903155;34558312;Novachrono;3458;1528886694000;111
0;31053949;27277386;GO HustlinBeasT;3382;1527952638000;101
0;27693102;23548918;HWA Innaxe;3398;1528832969000;116
0;25763353;22017510;shiber;3152;1528887840000;67
0;25919301;22126727;walsitaM;586;1528837481000;68
0;32521522;28881629;WOLVES Hero;1637;1528887229000;130
0;238818338;106396794;Newbiecide;1152;1528446469000;61
0;24416531;21045313;Mikyx;682;1528887840000;100
0;239928688;107956847;look minimap;4;1528839315000;57
0;228663150;88489685;mouz Wardain;7;1528839315000;106
0;23291063;24682901;Lov3Petrichor;3354;1528732403000;68
0;209465179;56677331;Albetrayber;7;1528744664000;85
0;41779990;39488266;darkchri99;1435;1528888125000;130
0;21813684;19151853;S04 Upset1;920;1528804536000;60
0;41877591;39562177;Christian Jensen;3382;1528883774000;125
0;241820902;111136794;shut up mouth;3378;1528853794000;49
0;37841420;34428877;FNC Bwipo;3348;1528845805000;117
0;224481740;79987074;OOB Ayunie;7;1528886694000;58
0;227750995;86777339;OhjUu;1233;1528887078000;53
0;34591631;30737031;Emikin v2;983;1528727132000;103
0;238629313;105986828;fndls1;4;1528844322000;63
0;202849736;44256793;YouGotFrogged;1339;1528887229000;97
0;26067711;22240784;dqweqweq;3154;1528886694000;120
0;38298808;35037145;Ragner DOG ;23;1528885849000;75
0;238628917;105996852;Euntoro;1114;1528882033000;110
0;201324904;42176118;ROCCAT HeaQ;3309;1528846946000;85
0;232995542;100017228;BLACKPINKFAN;936;1528653090000;64
0;22213626;19467621;Subfuse;3478;1528224754000;87
0;230576258;93737608;WeiZoR;3478;1528887840000;94
0;21707275;19045442;DCG Fakelove;3496;1528737058000;114
0;31145123;27341898;Agurin;586;1528826517000;114
0;27949319;23735326;VGIA Razørk;1385;1528738047000;112
0;22654093;19789802;MRS Hatrixx;756;1528737706000;71
0;227994782;87080148;Flaxxishh;3431;1528843223000;104
0;21811738;19149907;xumäS;3466;1528848883000;88
0;27831482;23627306;xxL Send0o;3398;1528830934000;69
0;31566858;27635854;FTW Plasma Lemon;3462;1528846946000;94
0;237487666;105248387;Hildadet;22;1528734601000;58
0;40228878;52608813;Practice;1616;1528821816000;108
0;27536733;23388196;AeQ nite;3152;1528882033000;65
0;232555858;98907626;mouz Chow;23;1528715970000;58
0;21929835;19268008;PederseNN;2075;1528740306000;98
0;30308530;26316897;S04 Vizicsacsi;3308;1528817047000;74
0;24372110;21001130;Odoamne;3233;1528849556000;64
0;233592893;101086964;Optimas56;3478;1528822890000;86
0;231774017;96868390;i need doctor;3229;1528035696000;89
0;25086042;21528940;Blomster Finn;3366;1528819587000;107
0;38791691;35432335;Kaostanza AoD;3005;1528649730000;97
0;25953486;22154740;styllEE;512;1528851340000;73
0;200665266;41619682;Caviavampier;3160;1528841117000;103
0;203388763;44635060;MagiFelix;774;1528595178000;44
0;208283773;53116940;BOLULU;1109;1528739630000;118
0;22457993;19642904;azerty1;565;1528753376000;66
0;38889386;35747269;KIYF Rufus;539;1528814271000;90
0;32278002;28547984;WAR Dan;3496;1528379528000;58
0;231753057;100167164;TwitchTvSertuss;23;1528729774000;106
0;33753264;29935644;Abbedagge1;606;1528732213000;98
0;24522980;21112717;WhiteKnight108;542;1528848983000;117
0;204338055;46088149;BIG Don Arts;603;1528848883000;158
0;25954409;22331014;mouz Gistick;657;1528806226000;96
0;227370564;85861691;Reductionism;3496;1528675229000;50
0;226860337;84997840;UHHHHHHHHHH;2090;1528659566000;71
0;207246039;52118863;GildedEvil;8;1528466273000;67
0;21832304;19170475;zzeph;948;1528826323000;104
0;25894065;22107301;Guarding You;1633;1528832969000;98
0;204575351;46517338;SPY kaSing;3303;1528848883000;119
0;21679203;19017368;ScarletRedHands;3496;1528756028000;67
0;25145768;21573676;Sologesang;1640;1528845805000;76
0;22471508;19652383;H0lyPhoenix;3382;1528829103000;83
0;25248140;21653685;GIA SirNukesAlot;22;1528879133000;187
0;32609476;28944895;beansu;505;1528820440000;113
0;24467412;21071845;G2 Jerkz;3496;1528885321000;72
0;32975855;29205354;Crossmân;3465;1528877887000;96
0;236212380;103987204;Hyoudouu lssei;19;1528723600000;69
0;207649506;52210396;Polish Wonderb0y;3310;1528669001000;54
0;212494359;60962346;iZeal;3368;1528661153000;77
0;218694983;68597024;MRS Jeskla;1391;1528818592000;118
0;25160963;21585997;Enjawve;7;1528589212000;122
0;237541104;105546803;LenaPlaysLoL;3398;1528535180000;85
0;25358748;21732658;jestkui MAX;3398;1528115444000;67
0;202849154;44256841;l am Freeze;3005;1528732213000;102
0;201464208;42747522;Yugazue;3367;1528800470000;72
0;40399723;37802452;Kirei sama;983;1528843149000;108
0;42443861;40219771;M Human0id;1416;1528817654000;105
0;240365098;108737088;RB Closer;7;1528832969000;60
0;22785931;19888536;LFT Quinncidence;508;1528847865000;120
0;37179579;33678783;4324213123121232;3149;1528839025000;69
0;42456400;40390308;Tøtørø;1114;1528808684000;87
0;238440855;106006834;I LOVE LPL;3350;1528841117000;90
0;26343078;22447540;Godbro sama;3155;1528815213000;95
0;29296925;24779869;Bat0N;3014;1528888150000;77
0;208240127;53126837;BIG Acidy;562;1528811895000;73
0;38171663;34978029;SLY Skeanz;2074;1528848514000;126
0;240764510;108948613;ARMY KadirNL;3431;1528846946000;58
0;226032071;82897059;SD ShaiZenk;1644;1528817925000;52
0;28860447;24415613;Energy IceCold;922;1528848883000;93
0;36110259;32312702;Special;4;1528884806000;54
0;26857722;22869898;Comp1;7;1528887229000;106
0;210864045;58727186;eMz Czekolad;588;1528813525000;98
0;26959586;22927914;Jiren Mid;1644;1528841975000;81
0;23735309;20537397;Nardeus v1;1644;1528747661000;97
0;25612624;21905543;Ryoshi;3493;1528831484000;114
0;209088256;54947331;Oeh Ah EdDeGoeij;1410;1528806226000;59
0;229621773;91577238;bhgjjjjjjjjjhg;781;1528886694000;73
0;227954306;86797333;Chaos Moliri;721;1528887078000;87
0;26979495;22941744;TaIonlonfarm;871;1528886486000;99
0;42751083;50459766;Markoon;688;1528834096000;123
0;224365013;79449569;Zedrinos;10;1528482907000;65
0;209132291;55497402;MiF toucouille;3017;1528884775000;120
0;31268936;27549186;AHG Tolkin;773;1528818311000;69
0;42115703;40168570;Ruinous;688;1528880024000;109
0;36902634;33447246;ˇGGX GANG;4;1528751055000;60
0;227946865;86878959;sonorK;3355;1528887229000;115
0;23956995;20695428;DreamsComeTrue;2088;1528822908000;84
0;27601108;23441464;AHG Murmel;7;1528832209000;99
0;237125277;104846794;BrokenBladeˉ;3369;1528822693000;48
0;231604488;96237337;whore Lena;3196;1528567178000;70
0;27455454;23323006;SPY Nisqy;1458;1528832209000;78
0;209308499;56236881;Kaos Malthael;3158;1528745877000;76
0;26164230;22322085;Super sama;3233;1528495791000;80
0;38648751;35417098;ATL Kronos;1114;1528841328000;84
0;37677013;34148603;EikaHoon;773;1528727884000;146
0;22404391;19603230;lur1keen;1631;1528666767000;95
0;232786583;99996851;HWA Armut;3398;1528709755000;75
0;32580416;28893913;King Bravado;3309;1528837340000;111
0;23989840;20717177;FNC Rekkles;4;1528852443000;117
0;27969907;23717140;WooIite;3398;1528828025000;69
0;231657187;96198415;Eyjafjallajokull;2099;1528887078000;104
0;23412689;20320114;UOL Kold;3302;1528880292000;96
0;26582267;22633277;VGIA Yoppa;3307;1528828740000;135
0;298192;292470;ATL Lvsyan;3455;1528825870000;105
0;232598498;99068672;Robin Sundman;3329;1528848883000;108
0;236595776;104189151;Zenavy;1150;1528880292000;58
0;231031676;94789011;V Dreams;2075;1528019955000;85
0;229425251;90828578;BJK Luger;7;1528806248000;129
0;239202424;106767569;RNGRZ;3464;1528739170000;42
0;240557377;108737494;IlIIIIllllIIIllI;7;1528824699000;41
0;239783331;107970023;ECkz;7;1528653944000;61
0;21822207;19160377;S04 Upset;3064;1528887229000;108
0;222014258;74067492;no job adc;1387;1528881424000;116
0;237487743;105388374;Amalpink;22;1528802573000;50
0;41148811;38474063;Furuy;3366;1528823049000;83
0;24522962;21112739;HWA telracS;3496;1528402015000;55
0;41903943;39562616;MAD Koldo;3462;1528824048000;99
0;42376561;40407544;Bouva;1594;1528886694000;122
0;229160665;90786998;INSPIREEEEEEEEED;2088;1528828025000;93
0;25888506;22103886;ARMY Sedrion;693;1528728294000;109
0;22216970;19468950;Fr4id;7;1528822198000;76
0;39456538;36467479;DRG Sertuss;3159;1528833946000;74
0;238642963;106006861;asdzxcqwe;3278;1528814582000;69
0;26290492;22587236;KIYF ZaZee;983;1528829744000;79
0;236351099;103720751;Thebausffs;22;1528500398000;61
0;21784572;19122741;Four Leaf Clovér;23;1528822890000;113
0;231084181;95206795;FNC Caps1;20;1528886547000;138
0;29094510;24610205;RBE Broken Blade;3464;1528819587000;88
0;39675394;36804632;kenzhu9;1153;1528846946000;108
0;228734470;88957526;Sàviour;23;1528784327000;98
0;29411957;24877192;Milicaaa;23;1528806226000;47
0;34709639;30822111;Lunetth;3005;1528844322000;122
0;41190138;38515770;AHG Swipe;7;1528847865000;102
0;232411837;98567102;Dont touch doggo;3006;1528830852000;51
0;205741789;49276837;S1 Hades;1386;1528882848000;86
0;221645819;73587776;Innaxe v2;1645;1528845805000;83
0;22602333;19751358;Kikis;603;1528828025000;80
0;22155094;19423426;ARMY Prime;3018;1528886694000;101
0;33932258;30120801;runnin low;7;1528886694000;92
0;25741306;21999355;Exileh;2076;1528832209000;116
