;accountId;id;name;profileIconId;revisionDate;summonerLevel
0;227437622;65389099;Liquid Impact;1020;1529141743000;69
0;39343628;24877618;Vares;3369;1529138136000;120
0;33953372;20822144;ÐaÞtion;576;1529173218000;97
0;44418714;30212825;Spirax;682;1529171486000;82
0;50656739;36111109;Julien;688;1529122709000;97
0;244030150;91634369;Origami X;3175;1528878475000;55
0;43166232;28903785;YummiBananas;3159;1529027726000;132
0;43155774;28993829;xKace;3155;1529126991000;87
0;201108485;37928970;Lesu;2072;1529173360000;172
0;33005538;20156599;Carmen Campagne;4;1529171537000;73
0;230690174;71229345;divided jungle ;2088;1529171537000;65
0;32746443;19967304;Shiphtur;23;1529101156000;147
0;49653074;35097344;duoking1;778;1528950593000;70
0;240983293;89530903;Shorter;932;1529134603000;73
0;32145619;19451735;3scrimslover;512;1529120382000;95
0;247352288;95119178;WPI 3970;3466;1529036561000;45
0;231876866;73136544;Feí;22;1529119944000;81
0;36898185;22946266;GaoGao;3478;1529131544000;74
0;32281250;19587365;Tony Top;1301;1529173360000;101
0;243809763;91451619;etrianodysey;28;1528926363000;80
0;210738637;47836799;Liquid Hard;3440;1529127324000;68
0;201586599;38880034;Soligo;19;1529172447000;57
0;35991268;22275443;TCLB ZzeR;539;1529083521000;65
0;41866574;27251616;ULookSoCharming;3008;1529129457000;104
0;31991041;19296564;fwii;3221;1529107037000;102
0;243553955;91429132;TSM Mithypote;3078;1529169020000;77
0;32827730;20389591;Inorï;7;1529168250000;66
0;209016881;46069412;foggedftw1;1301;1528861400000;60
0;247307520;95090711;DeafRef;7;1529098889000;49
0;208317941;45661658;Bao Bao;1625;1529160452000;98
0;234011109;77252739;FUNKYFRAGAS32;1440;1529174330000;90
0;33955468;20823651;C9 Smoothie;7;1529141743000;93
0;32672133;19912360;VERSACE JiNPACHi;3382;1528955012000;103
0;45351278;32299406;Spawwwwn;513;1529129776000;104
0;201541446;38809624;Sophist Sage;588;1529056731000;121
0;35373984;21830641;Enripsa fan;3464;1529113666000;55
0;427895;401063;xFSN Saber;3233;1529109196000;73
0;236438563;82962549;10 IQ PLAYER;3006;1528657044000;97
0;34486403;21193032;dog2;554;1529028745000;122
0;230336710;70191897;adi0s;23;1529038942000;50
0;218540727;56829156;Laceration;2087;1529174687000;98
0;247624128;95139141;eydflt;3378;1528781673000;39
0;44291086;30046300;TCLB plan ahea;1440;1529152245000;121
0;32508862;19787999;GGS zig;3466;1529041793000;68
0;39077192;24671130;Allorim;532;1529120382000;109
0;44730604;30397116;Lemur;3018;1529138029000;99
0;202399119;39561509;JuIius;897;1529032868000;153
0;98557;71715;MeNoHaxor;3205;1529132729000;88
0;244430066;91909115;tarzaned2;932;1529171537000;72
0;244134321;91615420;Evølve;3440;1529147878000;93
0;50164583;35592112;stuntopolis;3494;1528785443000;49
0;233971783;77351819;Saskioo;3225;1528522049000;74
0;211103379;48193601;Spica1;1337;1529125982000;74
0;34159539;20962399;Teesum;3102;1529114420000;86
0;33219909;20305573;shochi;1625;1529174330000;111
0;204011393;41233933;MistyStumpey;907;1529126585000;94
0;207089727;44317220;Sheepp;3414;1529136126000;65
