;accountId;id;name;profileIconId;revisionDate;summonerLevel
0;201868275;4218078;POR magmagnafic;3272;1528850207000;120
0;175346;190446;BoldZ v2;906;1529082442000;100
0;200484475;2592772;lTÜPÇÜl;3186;1529173144000;98
0;428508;443608;sofresh;586;1528300837000;83
0;200274177;2261127;Berentt;3378;1529037056000;48
0;376844;391944;Bułgar;3165;1529012133000;159
0;206690473;11032139;AnyoneEver;1432;1529095955000;83
0;203069712;5849695;Fure;552;1529170877000;127
0;915092;1090192;LeBron Jamês;1142;1529085240000;69
0;1423975;1472144;Leeryy;3495;1529093499000;118
0;210069349;17067701;Nêath;3494;1528972401000;65
0;202967638;5741715;Jeyrus;2094;1528720516000;103
0;486765;492484;skatcher811081;22;1528920499000;128
0;201537200;4909214;POR Petrichor ;3150;1529089379000;123
0;205578094;9301294;bate;3494;1529114721000;104
0;202575220;5383566;WoD Reimuu;657;1529173144000;88
0;726996;792364;Let it die;3495;1529166597000;91
0;207432151;12360760;DFM MrKaplumba;776;1529010920000;73
0;206494461;10773618;Antigøne;3231;1529145032000;121
0;200687113;2780656;Kitai;1644;1529162468000;113
0;209042153;15633212;elvesztése;3078;1529148104000;85
0;204907785;7870235;LLoncept;3497;1529092912000;72
0;1134832;1222043;Nuke;1297;1528891752000;73
0;208388393;14205506;A Günkızıl;3231;1529116596000;94
0;1165415;1202321;Smith Morra;1106;1528991462000;117
0;208871758;15224533;Dünya Gül Bana;18;1528907608000;56
0;1397443;1397288;AYÇA 22;3205;1529089927000;81
0;213418199;19273241;l MID 4 RETARDS;3304;1529162029000;65
0;207693897;12894491;Anais GG;2097;1529173144000;65
0;211421780;18071804;Agape;3379;1529173845000;106
0;208077269;13550182;Wency;3495;1529170519000;162
0;206157132;10111701;XX X MMXVI;3156;1529144208000;133
0;200894766;2987157;POR Rate;3494;1529102283000;155
0;200407868;2471201;Sarcasmom;1227;1529021170000;88
0;200456987;2477055;FivePawns;23;1529173223000;93
0;200103983;1825225;Sephirøth;3226;1529114721000;97
0;208964263;15500536;Skypture TR;3497;1529151569000;85
0;200715292;3003640;Á n d ú r í Ł;939;1529163701000;134
0;203590412;6471531;znoxLKAT;3496;1529121044000;103
0;394785;409885;Darrick;548;1529166272000;92
0;201716233;4123701;spankî;3160;1529139270000;110
0;211826594;18334045;qweqw;7;1528937960000;61
0;207729635;12942655;RB Closer;7;1529147085000;78
0;1322373;1371938;Unforgiven;7;1528841516000;101
0;1209961;1206958;FireNova;785;1529173144000;61
0;1465073;1560512;PrimeWalking;3160;1528998918000;88
0;200938169;3102930;Ökkeş;711;1529140610000;58
0;201791005;4202345;At BaIığı;1644;1529120451000;110
0;200804121;2951827;Joe Cat;3018;1529145508000;132
0;201181641;3461152;Crushing Blow M;3478;1529166200000;72
0;213356723;19310914;Memcükebildir123;3398;1529110224000;112
0;201220672;3560128;Minigger;3496;1528925363000;93
0;209913424;16981971;Ulfrîc;3166;1528823268000;112
0;200030137;1690755;POR creationAWS;1666;1528852732000;91
0;203127961;5923836;Arda sama;3150;1529124519000;95
0;203194480;6021787;Zhao;3463;1529170519000;104
0;204243705;7073232;tuniş;1596;1529165664000;146
0;200880194;3015679;Ãeglos;903;1529158668000;73
0;202855756;5586418;I Love Redheads;3156;1528983961000;96
0;495041;502177;Earl JR Smith;1120;1528630495000;99
0;201697451;8480601;Koray Sins;2075;1528391074000;39
0;201227189;3541396;My Life QQ;1670;1529173025000;112
0;201471228;3940399;OZURDILERIM;3455;1529136452000;160
0;410133;425233;Hasan42;7;1529166272000;51
0;205266400;8690134;Akmert515;519;1529157963000;87
0;1245652;1330298;Xerath Pyhoxus;684;1529174480000;109
0;213354807;19260842;rouletteshi;27;1528772693000;39
0;212012749;18365221;BaZGaR;11;1528902183000;101
0;200080371;1802823;Noralive;591;1529173144000;126
0;200215166;2023949;Barcodekiller389;985;1529150537000;127
0;213598962;19474232;NE DİYON YIKIKK;20;1528968914000;74
0;403706;418805;Hidokai;1355;1529169268000;85
0;210164431;18703713;throfithalvar;7;1529171134000;50
0;206633681;11051420;So was Vigilante;898;1529173134000;103
0;207141835;11875924;Motor Fahriye;3414;1529104841000;64
0;210147851;17101289;ONLY KAYN BOYZ;2087;1529155180000;60
0;201992558;4403361;Sir Ramione;1591;1528996841000;117
0;203744635;6560286;Darqinx;3163;1529159143000;95
0;203086031;5901512;Mr Tâvil;3151;1529109724000;137
0;209272566;15964800;Gêrd;1133;1528940783000;46
0;212487578;18628578;umoraki;22;1529112270000;84
0;336466;351566;Ariandel;3378;1528500167000;121
0;200499901;2790359;Kobradalton;3184;1529165643000;135
0;202928168;5677463;Tayfun Aga;3227;1529157004000;145
0;202716914;5369900;leşlifeonur;984;1529169268000;104
0;424658;439758;LAXER;1298;1529144684000;100
0;313736;328836;woLqeyN;3447;1529157963000;57
0;200834282;2945325;Mad Daddy;1456;1529086340000;92
0;202173848;4578592;Sâkata Gintoki;3376;1529112828000;94
0;204972536;8040781;EliWood v2;968;1529018649000;70
0;461473;1055139;Reâlity;1387;1528844889000;122
0;202550082;5251294;JrOpter0n;3496;1529174608000;79
0;451317;466416;YTUBE Cruellalol;3447;1529174716000;91
0;211006999;17633408;POR Leeb;3376;1529097723000;115
0;207694306;12904297;Ońur;2087;1529094858000;72
0;201511167;3905354;Skraaj;1298;1529142480000;83
0;936458;1042120;e Girls DM mee;720;1529008724000;83
0;201320986;3573593;hutzsi;917;1529174649000;96
