;accountId;id;name;profileIconId;revisionDate;summonerLevel
0;27550851;23402936;kurtdenstore;1413;1528662477000;49
0;229670506;72173097;KY Leo;3006;1529161486000;117
0;221760603;62512964;Songu;782;1529109102000;87
0;28751670;24304145;ShatterNightmare;932;1529161708000;116
0;29944738;25559670;CeKa;9;1529006218000;85
0;28857057;24385272;Yashiru;968;1529175770000;65
0;30291655;26053958;FonikiKouradoula;3186;1529112206000;123
0;26928479;22901643;Black Pete;3165;1528819576000;80
0;35435054;30818415;UrbanekShow;3496;1529147047000;79
0;201749341;37953579;Wieledrog;3309;1529151934000;90
0;39557671;34916156;Alcoholic;588;1529173571000;84
0;230397563;72743432;Low Nine;775;1529172386000;51
0;34989510;30226164;Fr0m 0 2 Her0;3328;1528949816000;62
0;38465350;33973961;ZYX Famas;732;1529101821000;94
0;202598530;38490045;Grk 3 Tears;1113;1529138694000;54
0;32606468;28117164;7h3blu3;1456;1529174875000;141
0;201651919;37803083;Adryeh;3270;1529171285000;107
0;40762764;36034843;Whírlwind;7;1529168872000;95
0;206623024;43537063;INFINITIUM;1667;1529164853000;101
0;34559938;29954113;GodFree;3014;1529174477000;113
0;35908428;31237269;IP ZoldieVi;730;1529174771000;106
0;226549513;70182989;Midlane Outsider;3175;1529158760000;118
0;217539048;54458064;Yerllo;897;1529099850000;117
0;34872986;30110835;PoN;1109;1529140875000;116
0;229963156;72532970;Aki Senpai;3496;1529135932000;88
0;26313473;22428390;Skinny dipper;3006;1529112206000;61
0;31979014;37339075;NoBrainVayneMain;0;1529171154000;104
0;41860200;41542670;Dositej Colamax;2076;1528929498000;62
0;34946563;30304141;Dżankos Smurf;3496;1529067832000;75
0;120197;114456;Just Milánek;7;1529070593000;116
0;34232063;29626431;Egé;3152;1528933279000;91
0;27322883;23214988;NXG Legion;503;1529154656000;68
0;28564649;24153857;Amades;1113;1529097820000;48
0;24895944;21398034;Thé Fàllén Angél;3496;1529173963000;81
0;201568097;37619582;DareDévil;1413;1529168622000;234
0;41574953;41373137;Tanya Degurechaf;3182;1529156573000;128
0;40228159;35488076;Thomasive;3366;1529164816000;154
0;36125082;31434850;eL Maquk;585;1529169117000;88
0;41431169;41255766;Trenie;3464;1529144076000;62
0;217804635;54973046;Hatred The Daddy;10;1529053810000;60
0;210938495;47802316;Jôn Snow;3102;1529063369000;95
0;205365828;42337826;ŃightFury;1637;1529170167000;56
0;33383759;28984810;prodajnica;503;1528864050000;50
0;227383013;70596075;HakunaMattatta;2;1528929188000;70
0;35954231;31258700;SenuaI;518;1529158024000;130
0;203618385;39596221;1Tyr;3328;1529172069000;70
0;209752240;46571745;Challenger Riven;3306;1529006155000;65
0;229755920;72374470; IKneelOnlyToGod;3496;1528991565000;58
0;36898805;32164198;Trap40;7;1529085277000;95
0;206326314;43168575;MM Revenger;2087;1529106664000;123
0;207796058;44754808;Lolofontello;3186;1528916361000;113
0;24424505;21039791;Zombilau;20;1529006218000;86
0;37214070;32525539;solony1;3496;1529151717000;116
0;24994000;21458888;Irod;775;1529102026000;70
0;31680536;27242434;kakosicek;3493;1529175004000;114
0;221118623;61002976;Chains;3301;1529101099000;120
0;37255936;32497510;Hayp;1670;1529175166000;62
0;205304081;42322373;HELLAS Tranquil;7;1528887750000;63
0;218821977;56366993;Inferiorities;1592;1529151170000;129
0;200445194;36647726;XartiX 420;3175;1529089238000;65
0;202965094;38799811;VinTreZ;3186;1528815712000;81
0;32969822;28537478;Hrazerixxxxxxx;3226;1528984862000;82
0;221950463;62796707;Yasuxery;8;1529073994000;46
0;203369235;39257803;StayHumble;1643;1529161693000;149
0;202583672;38499311;ZXY;3008;1529077380000;62
0;36455119;31793915;Zazapp;1115;1529149723000;51
0;26309568;22424102;Dat Guy M0arcin;1413;1529163899000;80
0;36930293;32276072;Drutut;3149;1529096585000;85
0;38761609;34059489;Ψ NinjaDoge Ψ;3494;1529157529000;98
0;33697993;29126866;Askarek;2087;1528728711000;98
0;224832932;68728548;adalbarthasdine;28;1529172386000;40
0;42259898;41963589;Catstyle;1301;1529103845000;73
0;204641373;40358396;BDS Laudon;3455;1529093293000;117
0;34726315;30034043;Ztreetboy;3398;1529073994000;48
0;28637278;24211787;45620 321 ;3369;1529156573000;52
0;40501171;35716576;Ôzen;3376;1529140875000;143
0;201818842;37915705;Trust46;2076;1528917087000;94
0;225009580;68577868;GurDraeF;3398;1529167195000;50
0;24061759;20768545;Keàsar;1588;1529165844000;91
0;35971345;31140082;Jadelit;1387;1529161242000;91
0;28738634;24294620;Cant ToUcH DiS;1426;1529174012000;128
0;32098864;27638198;Samyaza3;3013;1529163899000;70
0;22803892;19899632;BedvolfAgarwaen;3233;1529097857000;62
0;36172698;31337125;TheStrzelba;1638;1529115937000;132
0;217857555;54937799;I am LeBron;909;1529109690000;95
0;37415798;32675866;sC Stefan;552;1529174771000;113
0;28539789;24133504;Kokokomando;1635;1529148075000;72
0;224273441;68037994;Tilen Perko;3379;1529175770000;45
0;33496509;29018603;Yourself5times;547;1529094131000;92
0;37742650;32978996;Pivotek;3159;1529165941000;88
0;28019472;23791258;DoDo senpai;709;1529012444000;86
0;220575734;59184238;Awesome Giovanni;1590;1529170172000;106
0;30664491;26405360;TLP Coatpustmain;3175;1528846247000;86
0;204475586;40170634;Icetan;3457;1529078103000;89
0;39489385;34647447;Thebausffs;0;1529112206000;78
0;28083420;23815734;Wisakoy;547;1529085557000;89
0;40074540;35483267;DIAMOND BTW;3496;1529119782000;68
0;200293957;36586403;DJfaby;3376;1529168933000;82
0;201841802;37847164;Dekkon;3205;1529161346000;79
0;34701111;30124073;VoidlingGeneral;3366;1529095344000;111
0;28622110;24199070;zamzu;7;1529006218000;88
0;202042485;38009638;VasterOfKled;3219;1529052462000;86
0;38329732;33845373;14133029;539;1529169856000;93
0;216347242;52638381;BITE Petipino;1301;1529160140000;89
0;200154479;36359863;Kysek;1389;1529086592000;66
0;204588780;40385818;Richor;1391;1529148425000;66
0;40987735;36174939;Orochimâru;987;1529173963000;84
0;29011814;24503452;EU AnimalTrainer;3366;1529112175000;85
0;225349363;69116222;Vestas;3496;1529126921000;45
0;221282307;61222996;A4e v2;939;1529161588000;158
0;34829152;30739384;Saya NΥX;657;1529161733000;83
0;36729517;31919733;shyvtaric;3398;1529058819000;101
0;35430719;30798969;malcom v1;3496;1529162386000;122
0;28722323;24287131;Myštić;3379;1528995541000;87
0;22545233;19708054;Heals1ut;3496;1529098322000;62
0;29053748;24537185;Sgt Reckface;914;1528993424000;65
0;33497422;28928793;StoneGuard;3368;1529113475000;116
0;27543752;23400758;Hardustriel;3463;1529175435000;122
0;38214347;33502635;Alek22;783;1529160140000;98
0;28875401;24399731;Filip02;503;1529154661000;106
0;37906589;33354090;krul rafcio;539;1529163905000;63
0;207352453;44103732;olikaan;19;1529163870000;135
0;29647586;25251096;Erring;576;1529149909000;105
0;40557782;35839428;Dudî;3152;1528989374000;83
0;217115546;53826633;GS RekitRalf;3497;1529174771000;96
0;28135253;23833294;Senafir;581;1529113317000;104
0;31953460;29933647;Bryce Walker;3231;1529150820000;99
0;34335469;29560341;Cougar;2072;1529138579000;103
0;205001495;48645710;JoinedandPlayed;20;1528926240000;58
0;37692538;33015585;Wolf and a Lamb;3178;1529157558000;103
0;39788242;35076517;Boots of Speed;23;1529169150000;75
0;35675853;30950217;Necromartin;3398;1528884507000;92
0;30158119;25837064;BIedis;503;1529169856000;85
0;200817483;36926878;Zenap;3495;1529156573000;122
0;39978336;35304360;Capcioc;3271;1529171016000;121
0;37416539;32706014;MyxiR;870;1528818342000;87
0;36783285;31921889;xDamon Salvatore;1633;1529170225000;88
0;221290840;61382972;Flamy v5;1231;1529175004000;98
0;221804022;62475364;BarrelBros;1301;1529175166000;57
0;24520660;21111582;Datturaa;3494;1528980026000;61
0;22983588;40734816;matiz4win;1591;1528831077000;86
0;38713401;34096414;Gwiazda11;581;1529175770000;116
0;24972786;21445018;lykku;3205;1529153912000;70
0;215934816;52156665;gibe pusi b0ss;3379;1529175004000;73
0;36976637;32277551;TL Playmaker;1596;1528394701000;164
0;204244611;40027898;Gery Nikol;661;1529172794000;135
0;30758660;26347442;Levís;660;1529156497000;73
0;23700860;20517918;Craz;512;1529175712000;44
0;224827423;68838041;remundahilmorga;3182;1529005094000;77
0;212694602;49505896;xflaidy;1296;1529059494000;103
0;31650179;27260328;FizzCantCarry Q8;1153;1529076815000;106
0;38220182;33613346;Teh;3497;1529099566000;96
0;24245714;22887932;Błack Swan;3366;1529165955000;108
0;206410797;43463469;Niinja;1591;1529101821000;124
0;228617767;71374980;beamer bøy;7;1529140875000;55
0;217803159;54973039;Kristijan King;548;1529176012000;168
0;227285109;70713941;Lenka fanboy;3494;1529160140000;62
0;40104993;35473029;Yuno Gasai;787;1529170323000;170
0;24256637;20911182;Mortar2;1297;1529175770000;74
0;41995885;41719668;Hide On Ãütism;3494;1529165744000;117
0;40599363;35791510;CSTADYHONZA;589;1529171893000;95
0;22799227;19912631;balagan;3205;1528896269000;83
0;204981251;40824749;SECODE;552;1529145605000;67
0;29922617;25529425;Th3BaBaDo0K;1228;1529174704000;169
0;41220329;41065582;Saloez;3186;1528719562000;74
0;38605807;34020838;C9 Norgod;3398;1529174536000;90
0;205396028;42310753;septico1;1152;1529001224000;138
0;34643281;29947317;LC Specialkey;2095;1529175248000;87
0;205301418;42321931;Goddess Shy;3172;1529141848000;65
0;41487162;41188305;RABANUS XDD;1440;1529151170000;86
0;217314012;54125134;DeIusion;3382;1529165615000;140
0;206567240;43603496;Baldikshir;3398;1528901850000;60
0;35652017;30869288;Hitman1771;3398;1529050519000;95
0;28687616;24252613;Talkoś;3366;1528922612000;65
0;39076190;34366642;Zest of a Lemon;3017;1529036925000;82
0;226232958;69503652;Knife Cat 420;3496;1529014041000;66
