;accountId;id;name;profileIconId;revisionDate;summonerLevel
0;201824892;5943935;Azure;1637;1529156211000;107
0;200077596;328516;Sweety Spaghetti;3018;1529163990000;94
0;200381785;664497;Zhengchao God;3379;1528865809000;50
0;200179361;455477;Hold You Tight;3495;1529139489000;58
0;200166230;448934;permanent mute;0;1529154729000;89
0;201667735;5321182;WX a759514064;7;1528776910000;41
0;202762727;11360141;LGC Decoy;7;1529087187000;61
0;200632459;1270780;qwerasdf1234zxct;23;1529135057000;64
0;200047590;293743;Lily;3152;1529139533000;114
0;200507429;952670;Praelus;3230;1529048742000;84
0;200073634;316587;Praedvth;3266;1529073984000;83
0;200193818;472833;siuman;984;1529160737000;71
0;200042607;300609;BladeWristed;1665;1529123444000;60
0;200020583;229825;Apink Bomi2;1225;1529041478000;65
0;202603804;11001000;BITCONNEEEEEEECT;10;1529145957000;71
0;202311404;8930124;LTZevil is back;7;1529153387000;64
0;201877569;6130376;Gonna slay u;3478;1528582158000;70
0;200082629;330947;gunkrab;20;1529120567000;116
0;200465792;901128;Pengsing;21;1529146979000;53
0;200063842;311555;Vans;936;1529165895000;102
0;200032436;276134;Zíppo;3180;1529160781000;138
0;201142768;3150942;QQ854166019;1596;1529173841000;87
0;200175383;463736;Farm;1226;1529125052000;66
0;200266523;583483;Beaunivia;1424;1529124070000;73
0;202762635;11370136;ˆˉˇˉ;9;1529117963000;42
0;202055986;7281092;Cuo;2076;1529069863000;48
0;202762724;11370132;sp18;23;1529129895000;50
0;200145654;408703;Bambi On Ice;3271;1529143798000;85
0;201311263;3661252;Rédemption;3464;1529066492000;67
0;200054677;297107;Edna Krabappoly;835;1529063834000;45
0;200535596;945177;smurfQ283490070;6;1529091571000;95
0;200181247;456316;NMSL NiQueZaiBB;7;1529050354000;43
0;200841535;1892186;LGC Only;939;1529160826000;72
0;200011776;235541;Kaýn;3464;1529169415000;97
0;202762811;11360138;Monkey D Ryoma;775;1529159687000;58
0;200280809;578793;Coachboo;0;1529161490000;74
0;202701448;11230285;slkjdf;1386;1528949055000;59
0;200112480;356125;Newto;3180;1529171088000;86
0;200295749;604210;e g ý m;654;1528961176000;74
0;200039680;279834;billy bong;3369;1529145580000;71
0;202464843;10071209;Ai no misete;7;1529156211000;49
0;200205119;478475;mister f is back;512;1529153387000;73
0;200278150;577848;Countdown Timer;3369;1529173841000;62
0;202822840;11720163;Arbitux;1109;1529041478000;87
0;200003702;231399;Zaptar;720;1529137805000;122
0;202762637;11350138;ORD Swiffer;4;1529039888000;61
0;200092041;345665;Sizzle;682;1528868556000;67
0;202473280;11203083;RareSticks Clap;3379;1529083752000;61
0;200788747;1530604;ORD Ming;1114;1529063900000;73
0;202212554;8430194;RNG AI;1575;1528647244000;80
0;200557378;1022808;LittlePapa;3199;1529129895000;74
0;200044715;301731;Mog;616;1529070274000;110
0;202765739;11460126;BMR Sleeping;3287;1528708016000;99
0;200533824;991093;Jenkins;3018;1529129895000;132
0;202335735;8971470;Domˉ;1386;1529152342000;99
0;200183256;457370;Thiên;3099;1529164369000;130
0;200309129;633527;Netsky;6;1529156211000;77
0;200374770;644072;UDYSOF;2074;1529157532000;102
0;202906079;12080166;CommandAttack NA;3442;1529148683000;64
0;200005981;232632;Cheezels;3150;1529164793000;83
0;200043568;291848;Feint;939;1529126521000;86
0;200152845;432291;Sybol;536;1528965508000;73
0;201837472;5895478;Monkey D Mitch;3102;1529038488000;61
0;200230390;510010;Kimchiii;7;1528808171000;78
0;201032132;2651026;NishiZhuma;3377;1529121994000;56
0;200033160;276531;fed7;544;1529162705000;108
0;202762721;11370128;Tijé;27;1528806220000;49
0;200255902;569466;msdnb12 23 n1;1387;1529162289000;96
0;200319237;626793;feifeiAAAAAA;7;1529063834000;67
0;200223197;507474;BeeShoe;22;1529062108000;76
0;202182090;8201755;Katsurii;3290;1528941849000;87
0;202762817;11360144;Monkey Madness;3293;1529076188000;59
0;200241001;553889;Minkywhale;833;1529155563000;100
0;200259885;571021;Wherearewe;3287;1528987631000;61
0;201148136;3131580;Utopia;26;1529145580000;110
0;202762729;11360145;ORD Uzi;3382;1528272715000;48
0;200192232;481868;PowerfulUnicorn;1631;1529140620000;104
0;200278388;577995;Uther;3382;1529145580000;52
0;200404986;735088;tlxjkgcpl17717;1588;1528886402000;69
0;200791570;1830141;kaios619;3289;1529172638000;66
