;accountId;id;name;profileIconId;revisionDate;summonerLevel
0;200486478;950293;no vision GG;3152;1529173568000;108
0;200122328;211036;DeRzKuI;3375;1529042813000;73
0;200798088;1561831;x Grizz x;3453;1528913889000;84
0;200062367;121593;Gentleman Jhin;1105;1529174908000;207
0;200142620;258974;June story;3150;1528715944000;114
0;200111501;167207;Alex Suvorov;3453;1529071985000;63
0;200237983;324341;Hyperiоn;1637;1529175683000;135
0;201344165;2872633;Predator Nunu;1591;1529089894000;160
0;200046591;88300;romangall23;577;1529094474000;91
0;200569386;1044769;Cэм;3159;1529065955000;120
0;202869128;6781982;Heart of Gold;1665;1528890891000;91
0;202432362;5420417;Dimil;1413;1528814483000;84
0;200040105;84686;Black Agate;690;1529167260000;86
0;200641276;1243208;Cyvorovec;3016;1529169859000;103
0;204021925;12534224;tempname17036571;1640;1528827676000;61
0;203442679;10351301;Dreamwalkér;3381;1529172823000;51
0;200117733;179709;edvinture;3522;1529164374000;196
0;200471634;946128;Guilt;3455;1529173546000;159
0;200023657;66458;159;954;1529162768000;113
0;200885180;1710257;ЭЛО ЭКСКАЛИБУР;3366;1529174509000;83
0;200099883;173006;iKenzo;2073;1528883090000;72
0;201260276;2602723;ЮрецМамкинСамец;1447;1529121084000;85
0;200182031;284960;Garbаge Adc;3380;1528967851000;63
0;202078313;4050888;Hi Im AlexN13;3368;1527939959000;59
0;200496844;962443;SøuL;3464;1529169027000;96
0;204516556;13364441;Zihao Uzi Jian;3480;1529091489000;58
0;203171358;9080163;ONE TRICK DIGGER;507;1528929620000;70
0;201546432;3341177;Morvan;1113;1529054621000;136
0;200042216;95455;Kuroukihime Chan;3457;1529174557000;122
0;205010226;14730144;Rize;7;1528653344000;54
0;203256724;9630133;PoorLostSouls;3366;1529073643000;59
0;201322929;2820191;Halturshik;3493;1529079133000;121
0;202476280;5551394;istunltc;6;1528988945000;72
0;203726544;11951039;Kl1ker;1387;1528745146000;77
0;200123735;252007;Отец Евгений;3232;1528754604000;52
0;200020366;74922;Chewbacca;3175;1529145176000;73
0;200242831;335536;Challenger Girl;3166;1529145611000;121
0;200307055;470853;DmuTpy21;1630;1528841337000;44
0;200202388;312086;MachoTomacho;3379;1529006961000;86
0;200179739;283953;Казахский Лучник;502;1529166043000;73
0;200158075;265399;ЕгоLLIkoльница;3495;1529152365000;172
0;200194659;299504;UlqCifer;3153;1529169027000;103
0;200253124;339119;MasterVo Rus;1149;1528655868000;47
0;200208610;304264;ArsenalVitek;523;1528481112000;77
