;accountId;id;name;profileIconId;revisionDate;summonerLevel
0;2510493;3262127;Ask 섬집아기곰;984;1529144863000;92
0;208357607;51781159;BBBaby;4;1528967223000;119
0;210167954;66840152;진에어 곰탱이;3227;1529095211000;64
0;206452044;38471569;귤수호자 만기;27;1528976630000;70
0;209230380;58390689;롤스터단합KT;3328;1529140748000;109
0;489053;2165869;슈렐리아의사정;780;1529067610000;72
0;207850002;47300726;루팡 그냥너;3040;1528603618000;97
0;208975045;65611597;zlp gj;3369;1529104000000;80
0;909429;1296022;김국어;3379;1529027054000;111
0;206360056;38100682;KDM LuBu;3414;1529147792000;120
0;2373709;3181583;엔페시아;3019;1529142907000;121
0;209032677;56920136;takma2;3340;1528950850000;87
0;208744895;54743978;KZ Rascal;3414;1529140053000;141
0;204167188;26670323;츠코파이;3519;1529107794000;72
0;208771386;54924744;its my day;4;1529049863000;159
0;209238536;58260945;Killua fans;3378;1529122398000;127
0;202489165;19523335;DWG Nuclear;654;1529133613000;56
0;5258842;7791613;사스갓지지;7;1529130405000;103
0;205883467;34790605;커닝시티 몽땅따;1591;1529137222000;78
0;6282837;9004218;pvman;3328;1529047862000;54
0;4989204;6986047;독이 있다;3464;1529025788000;123
0;209742739;63420567;승달리;1385;1529122553000;68
0;4513526;5588270;Rainbow22;3393;1529054890000;98
0;1726822;2370292;XIAOXinAAA;6;1528660737000;76
0;210167939;66810144;한겨레어린이;3349;1529018713000;64
0;5243689;7641018;Wake up0;1301;1529134099000;156
0;210277091;67340981;pija en kolla;3150;1529084094000;49
0;205499309;32096236;Baby123;4;1529043806000;81
0;6968626;10150520;카페베네설탕도둑;538;1529125953000;88
0;3331588;4104992;Seven7777777;20;1529116755000;155
0;206487982;38532544;Gen G 몽;1634;1529145322000;115
0;210253977;67161308;Foy;1228;1529125953000;89
0;201481153;17595057;KDM SSol;782;1529132664000;68
0;1309737;1796100;Gen G cuvee;3349;1529148770000;120
0;2713769;3457702;WE 77;3017;1529109074000;68
0;6341504;9007397;Klmjg;3014;1529148770000;157
0;209834687;65030157;17살 서폿;3414;1529118559000;67
0;5670561;8251858;IruguN;3495;1529150332000;89
