;accountId;id;name;profileIconId;revisionDate;summonerLevel
0;201621393;3546357;Barry de Barry;3160;1529012992000;108
0;202656733;4583588;Unreality;3464;1529172719000;92
0;205694855;9660188;greek yogurt;3175;1528824616000;60
0;429658;524758;arrogant warrior;10;1529168238000;107
0;818084;840819;Vipeeer;3521;1529092387000;96
0;1440761;27740439;RDP Kadaki;3182;1529137004000;93
0;212941216;20860131;Warangelus;23;1528989969000;82
0;400730;455830;danz0r;3493;1529136956000;91
0;216132610;27820136;boosted adc;1509;1529139500000;78
0;212748190;20252931;BAAAAAAAAAAANKAI;1589;1529172402000;97
0;219532432;31390126;ERASAO EMBRAZADO;11;1529138630000;64
0;1655762;1760285;Wartin;683;1529159053000;120
0;212377259;19340127;haters;1618;1529141494000;52
0;217573847;29380511;Chachki1;1386;1529176046000;72
0;547045;602145;time for dinner;1385;1529079955000;90
0;1951964830239520;34010125;Juan JayJ lol ;4;1529081961000;38
0;202262947;4191339;JJOOSUNG;7;1529166385000;85
0;213299448;21852695;Satan himself;27;1529172402000;85
0;402797;457897;DJ LuzAzul;578;1529175445000;46
0;405253;470353;Mandioquinhaa;3379;1529109752000;65
0;201295570;3254291;RedBert;3466;1529004021000;73
0;457633;552733;ill be better;907;1529100800000;81
0;368451;403551;SkB;1670;1529107514000;110
0;912511;974599;Aslan1;1167;1529094056000;136
0;1495032;1660132;REAL FAKE DOORS;539;1529077595000;73
0;201880841;3766192;DANIEL FURLAN;554;1529175856000;128
0;435744;530844;Sneez1;4;1529135339000;75
0;200030555;1833896;CNB Hy0g4;1641;1529176046000;130
0;555535;610635;Days4fun;1114;1529079955000;89
0;200768908;2596351;God Needles;3521;1529175294000;112
0;200474128;2361597;Duclou;745;1529159327000;79
0;211986472;18770125;CNBrunch;1439;1528917848000;52
0;200897956;2833743;AvaIanche;502;1529095401000;116
0;547239;602339;SKG Vasto;3180;1529172449000;150
0;211601125;18090142;warangelusadpls;7;1529134620000;74
0;348747;501031;ERVA TERERÉ;11;1529172877000;59
