;accountId;id;name;profileIconId;revisionDate;summonerLevel
0;203502256;9592243;One Clone ;3495;1529164888000;76
0;1682375;1542005;PWG Barbakhancer;3478;1529154153000;95
0;76147;71247;el rowlio pa;3024;1529171142000;112
0;1292354;1242018;Kiseˆ;4;1529175638000;96
0;202338158;6770456;I Take Blues;981;1529166330000;75
0;409424;414524;FIare;3497;1529100180000;105
0;204585510;12451843;VcN v2;3464;1529093555000;103
0;82397;77497;Dreary;3508;1529166937000;123
0;1352497;1272154;KING Dongˇha;1485;1529175616000;112
0;200827426;3814759;CroshFire;3173;1529172551000;170
0;1874273;1725342;Shmebülock;1625;1529141305000;118
0;84575;79675;Vlokz;1416;1529175399000;79
0;200511600;2983715;NextGamePls;1301;1529059288000;59
0;137123;132222;ANHLTR;1588;1529153366000;78
0;111190;106290;Atraxa;3376;1528922568000;91
0;202536442;7136429;Tachikawa Mimi ;3370;1529158905000;116
0;101218;96317;Felipekun uwu;3024;1529167028000;95
0;202203736;6421946;Franchu1440;3261;1529164471000;76
0;674681;636854;Furtive Gank;2098;1529165403000;80
0;1620454;1464616;TheDarkCloud;3202;1529056210000;84
0;758405;723505;B Á W S;841;1529164711000;58
0;135052;130151;woofı;20;1528984033000;65
0;450422;485522;Josédeodo;3228;1529141305000;84
0;201294256;4563644;Stay in Tower;3160;1529161511000;138
0;455296;490396;Ara Araˆ;3495;1529169197000;84
0;204239219;11510189;MK Piqueos;1225;1529167836000;71
0;200284567;2412423;Color;3351;1529020834000;101
0;47022;42122;TøpLop;3242;1529174728000;155
0;201590859;5160616;FzF Skeeto;3366;1529174728000;110
0;1388639;1254016;Lil Zalo;3478;1529105175000;103
0;146317;141417;Žentrix Senpai;3017;1529139755000;127
0;1761679;1640210;Zeb3xy;3227;1529175616000;173
0;201244651;4514609;Derringer;3369;1529156001000;88
0;120962;116061; Månenform;3018;1529158175000;88
0;555651;540259;Dificült;720;1528912851000;84
0;88835;83935;UndeFack;3371;1529174728000;128
0;202120846;6232791;Fòrce;20;1528740515000;49
0;204904776;12970770;Laro;3152;1529175616000;105
0;188054;183154;Mát;1299;1529160460000;97
0;83055;78155;Nate1;1621;1529084840000;69
0;200143419;2221442;Stryderr;549;1529171443000;107
0;202234411;6445042;ˆoˆ;3496;1529078620000;73
0;201217841;4502116;TheMachiavellian;3457;1528751191000;130
0;148268;143368;RageiT;550;1529145900000;56
0;176042;171141;Mødest Møuse;3160;1529158175000;89
0;206791;201891;randommmm;3328;1529171142000;69
0;56242;51342;We Are Life;3008;1529092117000;55
0;200548908;3143085;Chocolito a 100;23;1528416662000;59
0;200599572;3331818;METOR1;1385;1529169197000;95
0;169256;164356;Dsk;775;1529166527000;138
0;210341;205441;Neylan;3304;1529076262000;66
0;86784;81884;midplayer;2076;1528753006000;69
0;205502225;13751858;ComradeTinyOne;908;1528745980000;43
0;203164066;8511827;Ðaedra;1663;1529003929000;57
0;115400;110499;Psykhé;3376;1528908743000;72
0;187166;182266;Bartoo;1212;1528734558000;67
0;243289;238388;NaFT;1591;1529145183000;89
0;70263;65363;Ríos;2074;1529147360000;76
0;30795;25895;Walkarus;546;1529081305000;85
0;200989607;4054501;Cesni;10;1529156277000;112
0;201534835;4934350;Ñya x Chan;3478;1529152309000;108
0;148884;143984;wowee;1392;1529062932000;61
0;1682956;1572237;012345678910;932;1529078620000;92
0;46870;41970;Ronnie Sullivan;552;1529174728000;96
0;44698;39798;Reakred;3149;1528919859000;72
0;60939;56039;tilin;3160;1529174234000;80
0;62864;57964;Near ü;1225;1529172653000;128
0;1775156;1621486;Vàsh;3512;1529172888000;106
0;252524;247624;lkiefer;591;1529171142000;100
0;202281;197380;El tio Pompas;3229;1529172346000;140
0;1622967;1495447;Depressed Guy;1296;1529174728000;92
0;263347;258446;Plugo;3354;1528922568000;66
0;825064;887542;Áckerman;3398;1529122339000;87
0;1829350;1811981;Nero CIaudius;3001;1529120715000;54
0;420308;425408;Jarankal;3365;1528914341000;89
0;122673;117772;Popeyee;1458;1529153422000;159
0;413984;419084;Follow;3511;1529102515000;104
0;1181088;1140356;F3NIX;591;1529092287000;73
0;200293479;2531572;Zach dempsey;1644;1529167921000;91
0;147483;142583;No pasa nada;3159;1529091279000;88
0;217121;212220;MAIN ADC S8;3231;1529170224000;109
0;217255;212354;Fleyro;1439;1529005245000;97
0;196890;191989;DecimeKbPapu;538;1529107491000;81
0;114849;109949;Letz;20;1529157988000;78
0;200522888;3140449;Que Pajita xD;3494;1529172495000;121
0;689344;628534;Lolmanda2;1665;1528321232000;61
0;80681;75781;Rabbit4Dinner;3348;1529174544000;107
0;216642;211741;Thorden;1113;1529167177000;101
0;436719;462989;sweetnsalty;936;1529167362000;72
0;201461868;4821931;xMeDrogoConJugo;7;1529009699000;124
0;33054;28154;TA Sasuke;3517;1529175975000;70
0;205587855;13840348;Pancake v2;7;1529175616000;48
0;1678066;1540877;Rîn;3495;1528998822000;66
0;1011124;1031700;Could be XyaaZ;3378;1529155056000;78
0;1336684;1233394;Jøker;1633;1529164146000;117
0;1117013;1062113;Røma;3182;1529121999000;119
0;207011601;15740146;zeicro adc spam;3485;1528923319000;64
0;204027459;10890287;ISG GonzGG;3160;1529172652000;95
0;73180;68279;Soul;3362;1529104225000;103
0;206118357;14143678;CA Krim;3150;1529097869000;59
0;34545;29645;PureBlood;3496;1529093987000;84
0;201142690;4262259;chill and win ;1596;1529118250000;83
0;73044;68143;MakeUpUrMind;1430;1529167185000;98
0;106151;101251;Juuzoü Suzuya;3160;1529082393000;122
0;788264;735988;Ayax UwU;3376;1529144542000;76
0;202660432;7302800;so sad;1587;1529083286000;154
0;347818;372918;BRIOCKS;3014;1529174728000;100
0;200334628;2633138;Charru;3233;1529172551000;130
0;1576140;1460524;Sufukato;3496;1529103268000;102
0;1045058;1042870;ADC IN MMXVIII;3227;1529077634000;94
0;101608;96707;MlDLANE HOKAGE;1114;1529148654000;70
0;230834;225934;Morts;1633;1529156266000;108
0;200112601;2080155;Ankør;3398;1529069558000;87
0;201067532;4205480;Cuest1oN;3478;1529172551000;90
0;43187;38287;TREMENDO PLAYER;3497;1529051935000;74
0;978446;919421;LSG TurboBestia;3493;1529172564000;95
0;1101644;1091844;BladeKoz;3167;1529171176000;103
0;48348;43448;TobalCl;1588;1529172975000;114
0;27273;22373;Jara;3205;1529080104000;95
0;81762;76862;BILLY Y MANDY;518;1529172551000;136
0;193256;188356;Fan de Millaray;576;1529057163000;87
0;201264569;4601058;Postinooo;25;1529144560000;70
0;984032;960743;N N ˇ ;3466;1529150499000;93
0;204256528;11540922;Sneakymi;3398;1528920228000;45
0;200765841;3773783;xypherz;3208;1529175616000;114
0;200177155;2260415;ClickClick;3220;1529174279000;117
0;138362;133461;SryNotSry;3154;1529172495000;76
0;126044;121144;Like Azír;787;1529082893000;74
0;178964;174063;You;3497;1529104033000;68
0;151401;146501;Reincarnati0n;665;1529164471000;80
0;201638770;5271319;HangedMan;908;1529164711000;69
0;132463;127563;Galixx;1597;1529173055000;94
0;287994;283094;ScoupAXX ;3495;1529005050000;101
0;1860882;1763535;SUPER GRIDITO;1641;1529104818000;39
0;200905907;3991535;Cosmic Gank;1597;1529037175000;94
0;246179;241279;Az Sky;512;1529097801000;83
0;248315;243415;MC Marín;3020;1529094959000;82
0;201273521;4590501;1cody;3512;1529151524000;69
0;117268;112367;kouzze ;2092;1529110634000;91
0;121903;117002;Böyfriend;3157;1529081748000;76
0;206531196;14892568;Jishade;3258;1529168432000;72
0;52892;47992;Beemo;3152;1529111987000;115
0;69138;64238;BL Leonaidas;1625;1529057404000;68
0;201519563;4962799;Høllow;1377;1528912851000;89
0;204871943;12930776;ME ROBAN BARONx2;3414;1529172914000;144
0;1059389;1036819;FzF Skiwii;665;1529143579000;95
0;51282;46382;Axlbg;685;1529004484000;81
0;56776;51876;Shelterˆ;1430;1529069860000;66
0;206149229;14220740;should kys;3239;1529169020000;66
0;200203993;2273511;Bën;1644;1529152422000;93
0;95779;90878;Tierwulf God;3426;1529090727000;64
0;201833073;5610765;RektIoy;3496;1529172346000;104
0;536078;521178;Kartana;3464;1529175616000;90
0;59501;54601;Aloned;1158;1529141305000;87
0;30248;25348;lukasnegro;585;1529063221000;69
0;201741;196840;Ärtyk1;3150;1529112451000;102
0;304237;299337;ByFalco;539;1528659271000;81
0;72902;68001;EduardoFilopo;3512;1529090727000;90
0;1468526;1381821;BIO ƒriendlyˇ;3158;1529162463000;81
0;123350;118449;maybe someday;3480;1529171142000;58
0;92107;87207;FoN Mickey;3228;1529156266000;98
0;1795764;2152784;Xäyah Grey;903;1529048824000;107
0;200843499;3871646;Focus al Soporte;3455;1529158328000;111
0;88167;83267;Lárian;3494;1529156181000;106
0;200261459;2400929;KR0N1C;3378;1529078664000;80
0;98117;93216;Ai lov yu;1384;1529175154000;98
0;205756835;13932411;ñbgipuñugipuhip9;4;1529166330000;52
0;206825;201925;KVF Swagcheco;3496;1529169929000;105
0;73446;68545;Axelıncon;3511;1529142300000;83
0;1468749;1342068;Just Historia;552;1529154755000;135
0;80294;75394;Shaddíx;3495;1528970467000;73
0;527602;4171744;Cubbn;2074;1529125771000;60
0;205039144;13101424;Jon Slow;3378;1529142300000;63
0;219487;214586;Churri1;576;1528989979000;54
0;206125690;14130145;finding myself;3259;1529159905000;67
0;537526;522626;SantiagoJara;721;1529175959000;74
0;202540222;7096236;Kiyro;980;1529090509000;99
0;202555800;7107829;Shiawase desü;1385;1529174856000;95
0;877297;853348;noghost;6;1529112761000;86
0;153776;148876;enbarao;3009;1529166507000;47
0;105068;100168;Ázenth;591;1529096061000;97
0;301068;296168;UCH SoulWingS;682;1528994388000;64
0;937499;883377;K Ü ;550;1529160904000;115
0;1550015;1434364;OFWGKTA;578;1529154350000;108
0;202219103;6443773;sNow is Back;3426;1529017419000;42
0;76800;71900;2v1 plz;3260;1529168432000;99
0;598374;556257;Swifty;578;1529174968000;89
0;1287583;1241278;a tired adc;1458;1529167990000;119
0;321631;316731;Fixeal;1149;1529084840000;63
0;202207578;6490141;SiuRuFa;591;1529174272000;86
0;203152485;8560132;Henrik Hansen;3465;1528703343000;59
0;888186;910888;Stylê;3414;1528754028000;172
0;66487;61587;full mute all;1641;1529155448000;163
0;60015;55115;Amazing LOL;3156;1529099129000;75
