;accountId;id;name;profileIconId;puuid;revisionDate;summonerLevel
0;AJU3XXNK3rNwQqEb1LJFcNcd8j4gAGT0_2hkce86YIjKKJk;iSwEbDGDiA6BZPamiqocwBDsgz-WIIeKdtRH1Dm2Q3DvqA;Juzö;3798;kwrJmvzaZybd269Hd-IUH9Q6wJl_t80sviFmJzQ9iazeoFTK0XoGtGrralJ8Y-aVA0Tn4hn5SKjc3g;1558821151000;167
0;EEGFVdPcjuMuWRII40PIckzmJ3gV46kbnp4cVJ8rYbRFtujf7zka5pYq;IraEaEQ5BiqcTOlCbjgY_qdekFX2Z0wogUrlIbcGrgUYSUI;InitiaI R;4086;qsznG9YZi141dtlhzGGGLcryUu_ainKSK5SB1gS73E-su3XOvvp7Tj_fa2moWRc8bagG46H4B7sDDA;1558817660000;188
0;HXwd_p3cK5JOu1UUpcKKiL1hdDPUlWZCQx5vqKcCJz3uF7k;ZHtPZhkiNv1ENusgDNqUpM66AcuKBW7gvmJXPwyJFKFTvZk;Little Mandiocaa;4031;YBroVB-x0QnsObWA-G9vzK6Ul6GMIOOEfXJ77Z5XndBKHrwKGfOujd-XmicwVimjCkCtdoB3l2CpxQ;1558821151000;178
0;IhNl-AT98P1Ja_LC7B2zrWIdTccujwxJFV9ZW2_QLt4oNyE;L_w_hbRYB6mKUn4EqkCsJ-Xn6FbTrrxCpgd6eF5LpWungQ;RedBert;1030;J137WLmYEh2T9ZRJ4XUGOgCymsAUr6Xf_kwYchKAzf69DPZDVDmVQTQj_HSV1UG_W4MAjnTs2bpNjA;1558631190000;124
0;pU1r6bIVfEIV2d3IiFNMrGXdXcUOVEYUHCpTtqbsxCw;4Yngyz9H3iQ12rstULbQ2AakZhbCsxR08ICHb68SMcL8;paiN Eradân;4050;69SDgXb_JwbHut--CZb1dm7eaLzb7hiCwsC2qiNzx8hhUbg3u2S2WBK-OxK4_dlDZFS9Q5pcmY6Zdw;1558802837000;199
0;J6O-4A-viXb-5s0uUwvdMFBMxVh1IX7v78aJTiydSOQ4lk0;kt7mdyyQGUSLF87fbmx4gT6oRJNzPbvOh9AEL2cpPMaO46Q;sacyy;4027;vHQUUHxm1Z9mRiEo88WC8LIMdc9crXevEG6yUKe4YkcyDYxqCMqZMfRfnXKZtEfHxFXuSlVTxRSagg;1558794670000;71
0;tsS0kx2dK6fURc4qexuNmOfZC7iztjA5tBPbk_cy0M5OZb0;vyDLRj5FzTEJtS1izRbg2pe_u3TqBcV0A4RI2VJ30PY40ks;77777777777;4027;rHFF-AY7-mc6yF1qb6Zg_qPD-KpYglR3yubXBWsgl0oCrE3oh9lNr8bjwL4Y4sEXpTkQU95jjtTYAA;1558820530000;124
0;ZaPoPtDoQkxh40yZO69bSZX4KO2_tnZdIiB3nupS9_4;Sxnd6m8_UXn5332VUmpGh6dcn8hEmKZE7sCn6yBjxhnF;RED YoDa SL;18;51JeB8d1cejwbMp4tw3fF4X0UxtDNudPOBTuWpe3Bj6MYrdoWks835_HX2L-64fhla6rssBQwch87Q;1558795969000;249
0;YGgbj7kZibZJctfBsVOxeT8tcZgo8OtQQmJnYvGsh1A;ihag2evXr8cJUrtHADEoVB0vjg6uQ5N1rr6Rd5WJuolZ;Yeb;979;HhKYxdByKSWIAsXgZhJV8dbZQBJBRZfvuDlyNm_RcCRewdY8uRIA9zw96c3_1StURxGjbv9MSatvLQ;1558826099000;260
0;qeaynX64c6o1Jx2YaQqVmZn_1__oc9kcoyWpqX7cR6k3gfw;d-2Dk7gR36m7_THQGYUhXO9uzS-_E-x0HJ2UBSGzE-SZx-o;IlIlIlIlIlIlIlll;1296;2kw4JrUSSKprmExH2FFN125c_5WqsfYZewSSzNfBXhEmWAwfHcwiWZFQmmKt4hF3d-UgQeN7osFC4g;1558817660000;166
0;xsN8ZzKMYMByqy05EBEPg0H2qNmYThZmKaffOGbOp4gkofc;A_9oz_PKiTinStHMVr0plOraSb7l46A54kofPxMChHr2Cg;jxggr;786;CUFcEBTXzxxeg6PBDCKsePbJacrOMgK4luYbAEcXIVAG2YeCNRzwTuz7ezsOcT0bUo9paP-L58BRWA;1558730042000;133
0;vrwUtc9zDqL118YboWl0LUHyZp7ooXPFK-42jrkUx5f6MkY;uoetDnqVnD7Q5he0CJdeuKwnluWUIqb6TrVFlcWEsKo3rQ;aluM a Mula ;4086;LCLrSETvJyll-ONfoSNs9vf1xmKY78GNx-TCVm-kRKwSEn97mtS9LTm3L6-IKytUR4ocDyM9Yhlmtg;1558646996000;248
0;42hhJcH1bd5IZ5giAce90Fk-4Zq7wcpfklh-MXfDVDxJarI;qH4YYESBaguGeMg_aZ_z5GE0sGn3VdmZ4hLSZZVknW1KAg;wolfinho123;3018;A_4yue8RDOSIblM6VwL5XnZ9BzxP9rQbddWZZz3BQMhzPChb054BW1iR9c2teg_NmZP9s3l3vjZbGw;1558508848000;171
0;Gpg3cVSDwrkxjcaVqc0Cm3Y041_1HvVJc7y-52xQkJqwXtM;-P6p873iYlsPAcddAieFoemJ3BrCERDixru3PHULCaKmPg;02061999;4099;zZGX-MzXaj542CaNZ5X2TRuttqVRgxnVlk7yDsgp7KArEA-oqdFE0iFULhHtcGra7QO5-3HMz4be6A;1558774118000;230
0;RuKAxgglpszUgnVD285SHObuzAvo_ZO9-cQIljusTbb6B-8;Gndw52dvuYiA8LhwbyOTLh3LHSaAKlgXjUp_7s54m6Q0gBY;Floodhaters true;4027;Rlo3EPldTaYlCeTEYLkAiG3VMH-TsLOoyayblfJyVKadh10c6YbEtzroniMhaDDLJQ7agK5mys4WIQ;1558807451000;305
0;EU32JlgZEiFXjvgRO0uFp2qeMQ-QJaUDglYD_o2h2UtELwE;7JtvoIGCTCTn3-Zp08TdX9PgnYPp6R0KNT88baSEqcZxkg;Céos;3367;5NRcAMNtvKOeZj87YlAcW5YrcfbbSthJVFXGaAd0HbtA51HhmNE2dblwgLdc2ppA21JHkhosLaH7-g;1558820894000;90
0;588gZs0-ffbn19fBrYAPG0lBaXxPIaaKtqGCX9h2HAxpQNY;D8p-uXWf6JAKHijr9xpqehUQ163xrt0Dn496mbbS5MCN8_w;yougotmenervous;3982;7vt8CFutS__IL35HeCCiCClPheLBvR3zjp82Msi2cdriDs4hRYVd9n7tgC5M7powuXW7dVmpc4qnJA;1558818214000;213
0;QwJ_SmcZmpwaDvi51UYQFSObxKCaMU1VSz03qZ0ocw8;86k-1odgBZb60M3V3jkl8vsqDzQ0vs1jSBPFeKEw6qTL;Atlanta1;3478;5-JYGaDOkijNHAeU0YQ8eFZPOzYp-l7hxPNF96wFgkspp4CYEtnrac-0RsoVzFq-3f4t5uyaCvkh4w;1558717118000;143
0;mO5l9UFu2HpSTQMVrvxnVAayZjD0gAQ1zJ5H9mewlVGo;g5_CEClq9T4rBWAz8GhNGFLMgzX9MQnHpXWROnR53xa3yg;CARRYY;4102;S5PEKZ4Zu36-uJM_sjn1vpB7n38mQAiSuHcXmV_l6FonEipjs7nyPAsJJfx0ak2O1bFuYph-wEkpuA;1558799161000;189
0;RgPaCh5qh9THb4OyY0jYuNHY8y9H3iI8wJ5fVzwGGAsW3_U;Qagog_uONqmAchT_4CkijJEn-oWzjWNFftofUQlYrmKm0A;trying to;3478;9Ba4SMZB2_nzVltlXgfbKlHCSf8hsnY6tiZksHn9y4RanUslSQnculKmks5yyllWfi7ScOv01rf50w;1558810360000;200
0;3x89vN4KslDXYUL32N8UAUG63u_tofNa10VU39L5Z-U;FjNTjbFkwUNX06AP480X8v-gYLB5IN8obiT_X-qwV7yy;Scavange;559;28x9ez29pb7eBvZI8iNwiG-YHCzXJs2YZy6gI2-0MpmYNJp8MGrubTVniHtRUwvwUCSjHK4zUxTjKA;1558823533000;211
0;FvcdKTIKOOTgLXrJCvLxBggRZe-PAcfsqpaht-yQNZ_Vnds;7kAPmDuxSZdYz9-c7FgeCxxC3bCAosNQl1MiK34vvtk5fFk;shyy 11;3686;fJubwQbwbUDNWtOxVmp2nTdlRaiddFzj56W5tmC-GYWQqtmAlBEnStUGfKyRBDF8wCzWiLPRZCyf2w;1558824148000;196
0;drEbquOSsNrUeRy9LhYeB2_4gxqdv9wN3sJPheDZCuW9noA;27D1zryAj-mWIbJ8cZwmh4lx6lamHXcVGF4fFEWoEVK6xA;Clocky;4104;EAntS0BRRDzawgy4nNY1T5pNmsjrYujW8DHJXDeVb6qpSmg_9fPJ_fcuunmHTwtTZrJxFLsGl4EWtw;1558817877000;267
0;cO4dvb7qU2pQ0gESs4w6LEhEQjT0cAXBMfTdv2tA3QE;EIsd3v7IW9maHr0PBeyXGTnT59chuvsZgUiC0rLvjXuw;VK Caos;4022;urtSGLcJZPUsPZcb-UMIJehR4fVkABnRqYP0ZoS60e-rJTiTKpkCtKeYNwjYrrJuAldSfissgTtMAw;1558722045000;199
0;GgQlZwSGHYgpm9smQaMFvmZB8BPP_mLkJWtUDpcZ1pYJS3E;JNwY6TplP7u0fqwqOAzc8U4KaWRobzBJ-m9X_3hhoY8S2-Q;scamber;3991;wtAW4vvOBrnd08paG5sMa_DKxwoXtUh1Im4JXjDIjgKkLEH018yk0PhTYe1DYiP8Ho9OaAbw6fxZ0Q;1558295898000;69
0;QE4zlgXgDm9DpdMGINDIEgf3w1kdkTWnnlSZyQ60AhubJaA;M_owcLktjSm4Nd2fHH7jz9Av1h1IUGw15uR16IMJi_rK5Q;Kakashi1;1452;IYHBpCMOxMgJTvi2ZOvifn_tiErb-4YEExcQKhqvEGh71j0ueB1-OX2zNv_7giQXH5oOZfXO9dzznw;1558822678000;239
0;YJhABFy5WuhZtXPEI7_NCafAJTPW5e7bIZ4Z0bCv4rw;_NfVPlx4HgE72YA4xfeCZ5EzoL-ibl8UmiWs2pQGhrQ7;Days4fun;3853;yWzKFmNnwwlfN3a0Bftn8W9kYTczzMkZyQ0YyNSVm0tCYwNFtjqquK4IECjRQuJSpU9kgwvPvCDRRg;1558793766000;234
