;accountId;id;name;profileIconId;puuid;revisionDate;summonerLevel
0;WrL5QnM8MYgKsdZVEqagew89xSoAG462wt9JfAjxkfxNy_QL_sbkfqHW;h8ijqOmEioL-ngZU8vW4XBSw2LXjElSVpNziKDWG53YB_VI;Blackfyre07;3478;RsF9CYwZ5ahYyJr143VHPEWyrQoyePd9hktIgw4rhtJCfwxCPeZx6VvtkJfcTYtEkGVx784vFeSLSw;1558739521000;48
0;QUspHbEzJmyy4g6KlJ27wUfIfQ-yAK31X99MbyNUTBhNKGQ;7d00UGqyciVsznrUynYiLX_hlhTTsVr6Z-gPpgMg8Cn5jkg;Snophén;3478;FvMrSxZRZ1kukRxYu-NPIqp4E0x1WIWS8ajRvT_p4ZGQ2m763fwCElzGZMav55zvoGhXmNeOGM4qcQ;1558285949000;148
0;yL58h7MUJhC1_nezK4S_KJcphwhC8ooiW8FXoqMVhRGBBl0;C8BOEQaUYA7kOb6SacrE034HnGWeQcEB40LpMHvRXABeeA;Countess Kârma;4095;o1IcvMG9oT7u2k0cankdDJJY2Zd0R1m1-pgtC_vUhRpX5WLawGu_riTnImJBR_vMxD4KlsSgSvplEw;1558903849000;283
0;SGcd-H0F2UPa67rQIuPm5KjY8hRu2QRAPi8yFj0dM9k;x38e61MNksOsCxKdVRRLjoiwi_W1SxJQG-3UpZ6gHNPe;DKD;3811;HTLantzRrcweDJNCghxT8cJWTBTyqB4KAG0k26Vhq2VaaVgRlaYP0PTPvdApEMC3o3nzP8BR1GQeDQ;1559000957000;143
0;f3E8-v0XIlWgda0pVmOetXn70Go1y7JfQJ6Uj1YgSs7RbH0;ulsTRdI4ntfDXI3rJ46r2xVIiQLekngTXMp1-R_hIqCUImE;All Hail Thanos;4050;rtO4a8ESJKRsn5ZfHm3JmBAeNOf77NaL9BN3gqMvd8xdnizlqEykg45iWhSY3mLixNfIyFPUeyFuqw;1558988378000;234
0;5tSWPj51I7iR54I3Zhgl2nTtLXGO37YINPTtPMmzYfiY;fE7QXifu_lNFSWtoxS-6b0MkMeUhkKWuYwxTeR3l94jaNA;Salvezza;3914;3pt2a4IsypKGzVyFPHb8aTEkfcZ1NElbUywaO5f5Ps3rlhMs7MmEXx-BW1MPu-PYLIPKm_qVlDiDvQ;1558978262000;193
0;ptPQdcoduRXfi4miIJwFBs5vLljNJVzyGhNnntnzFCZow931ToFObWP4;VsYzh-kKrjxuO7WNvrwWwn3os1qD-A1BoYwTzr-dSsS_cMQ;WûII N;3899;iPk_QDYjVsm8vB376lIPf8g8zyHhH9ucKEMUsZ-j8I-jpVPpYsysHYv8x8p0QeIWFClZF9_2R-pGKg;1558863209000;80
0;HhCsjJCC9JziRcHM1_uEDDGkPl7bOt_SanSCxocjulPgCOA;sVKgkDVr9_O3aumd_7RfmsNx4cjtEE61V3el9rsIOCs72mc;inting take care;7;hDtnsn1SEL7UR9OWMEvuZptHwHg1PHz-uUJySxbjlRsM3ArqviDJd9A_XQIaaiJH2kjwZ81zo6mcjw;1558648189000;79
0;uSb9NXSfFEJbO2v4ZoQp0giDAYZNWXPfv7KqFSAE7FOIxGg;aGppB0uQm5lJq5BWOqFpRNXivNsoxwtgMgZlSn9Pux53lQ;Sénsei Sama;3600;6vMdj2j_RTg3zvJCRsaNsFmgWDGPwCIVlHmijWd3l4FKT7GKEoahxYqDvFcpySRAWwFjw3ByJuR5AA;1558994416000;252
0;QfRqdRFsPQT-RFTKP1RDhwxQBM_SIFoEumkdlzbYm-YLu64;68NKYbCfoViI-Sgl7oWNnD-fS4N43w5hfdQoW1HGhDxGCUM;Andaçable;3497;tSDw4-2KdU7hJjsKppcgTPErFytWcM1A_7X2BKJpa9eppWhMiHFc43UxO9IQ8axsBcgNVznzmDJNNw;1558961843000;266
