;accountId;id;name;profileIconId;puuid;revisionDate;summonerLevel
0;skqKb6wbkURojWbezk9JFYeoPsgehLzTttJ7NM2Ku7u7_qo;lQtqNxflvsLP6HdzHWIcXm6MQOlhv0iYLJtnjeDeDGqG3lY;RTO;4027;bFPGC7H3pmDsh4_l4wH4fipFPJvrqXuiegCFgXrakt54FUgAcQw4CBePzeF1z7rPDZB1f-f1RXJy4A;1559002820000;135
0;RG8aXEKxADuD5vV25KwXx8loxhCXOHOW22Dg_EfSho1qUmWOZ7t-8ER_;eyZ7IfzjJXGOlLniLuxuuarKO2_hchlJYIW9whpeWNbGpXY;Daikong;3811;flzh9yUvO3aWE7sQlRCLkE-tbEvX8p-F1djV4AXHZhwSiPdGNvUFvU9uMPCZbhCeFHC0mHB43uoxtw;1559012026000;161
0;hjIoDlHA2l-7Xcg_tJyvpagrPcoTagXqASM7IkHop_AP5Wc;cf-1bC75PeEHIlHuFPgiAkK6B1vuc1PJeu2duIa-xgCGNCs;JuicyJ Cant;1636;0o_TcPer4XnxXTTNE12GMwd5HxbKa2vihkT2QbxSCmsUkJX4_QY_VkMDAMJQIDwmj_8lm5UYI82ZMw;1558945101000;59
0;E7ncLQWyeauvI-7H_SKjKamaR9od19Aq_NOh-bKLjfldY8c;Pg2_n9vEAKdE8RTWy1dRHCvidEQTxSgNn9wK6cb8rNidHpU;SuperiorGenetics;4087;xc6kgFWQ_zl8AaDtBenABhcsiM7FM8pFtIT3fUenp2q-igZVZVRMj2VsZWC05Uueer6T29U6Y88E_w;1559010771000;141
0;ASCqtO-to1iZOwGC3uoCUc5PYmenFrBVHByejSksjY-qOmg;VG_nGp3gy9eqcCzQa260fziLMI_Iry-8Rpin7lMWNupmno0;Aspect02;4022;CvURx7-BZWgjus_4CjkLmh3NgfYClT8K6hfvRHGlEJe_YXFM913JBMZmJYiKW5MrECOxEiVTdmQYSg;1559016002000;255
0;CXnIPqqBo5b2ahEXP-QcA6TFqkHX35lpmyiadnVsli033Q;YHJywpPnc54ZX5bxXM11yzwOEL2iP591pbu2yuQeqrrtSnc;MrFluffy631;4022;fFhCB27h6xEowoP_qcVs7YTFpfivj8_sbHqcJQ1IbYmHnG_XYxmDc8T8Yh7ejFrvTV4uSvnwQZk1jg;1559006004000;115
0;Ixmcv6oWmHPo0rJfNSe08R0wKjGkAXVLpn3Ta6sN4WXEZ50;ca6HxKVbeV0iLBWm3H5D-7Ap0GOStkbHLJYnHUQ299-mrhs;Eric Zhao;18;vL2HWXrmBnFjBSRlaNu7C29Ha_smH-P4nHt0bDBUrhjKHuR2acU8Ff6ZrU-uETTQb0MRak26jcMCWw;1559002432000;196
0;-6FShVFUSreKblZg3SS1x9jXGZz-k4BKZ_hLwKtTJWk;mgPjp8eKMwVTFxpHdgZR8RIYOMeDWfn6uqvgeQkWyLQ;NintendudeX;4087;gaAowWdVEgBoGD3WWtQ8oa_RuEuJOAWXLv-D4eiWFYvUqHmoYqQH5B9_tQIK42Zag6yQSHC2vcHZOQ;1558820142000;120
0;pagn95AF0_PNcNU-IC_2kAUkKMMgv7PL2bNb1IiCd0VduQ;PQly9A1rI5Ka3euhk41oonXupHuOxLWcPfkSyaTgZaA7h5k;Mini Yuumi;1385;mmAUej3zCO4MzSDv9OxyF7tBe7iOTV22qh4J037HMOrtUFOG4IsmIVoO_0edYzWTdZCY7cgG_yBoNg;1559014507000;355
0;UpJa2eSDthpnIUTM0_IYCBV8NXDXrE89hJnHzj0uHotRoQ;KEEOxoznZoCD_Y7iy7NCkzQjLZozBTHUHzxH8twwPpMhqbA;timmytommy;7;SR5z2V1JdX-NWUZ-Jc-UIrYOpT9eXKZoC3Wu4lkaWpcwGwqYmAbD87Uroleh0uLTXjiYyRRRdShQDA;1558804739000;209
0;LH_cL9YM2O0B8QO36Bsxi9NoUZ7F3Om17EgFdrCxM_vDMA;ipE0Ght9iCM-Pr7wxLypcbb92vKqt11_FCjAHmSr7jUmYJw;424;4090;LILX4HISeMFpWa7xNaW6Kl12VUcvmcEKjvRhyCSqboRnUMru_PCEHrlsRoL0aNZ-XpH5dixz2Yg_Ng;1559007724000;162
0;loBL7LlgfV95w8cso_tcpqBLca34qWg6_FW8yAP8UBPjOQk;bXjwvARDno4d4p5gKkxWcDqIUnxftkXt5zCbRAPGf9la6oU;Htzr;3151;ALhar5RSww2ENYCIitybQU_w_0BmrLSQ51roLr2u96BgNVBEzHMAmdDsD9BhEUORPHBy0CvYpcw7vA;1558938883000;112
