;accountId;id;name;profileIconId;puuid;revisionDate;summonerLevel
0;3O7DDXFvayTIysZc8G3WvsB9288fDy0Dvvc9rISLij8;Ofvyz_O8Z2ejTeJEe9-5Wtzkiv3cZEHfAosh4Sh0e8eB;Kapuśniak;4086;4l-9K4RPqEH-fwGBugXNtsuF53jvY9zc_IwaWOzt-VPUQwCjeulIHJUQtgcjb5H6tCK2SVkR2Tvv0w;1558994364000;205
0;GGYV0u7dVEXfxyL3RNgUmsLhz1kweRjnZ73tmD9tTDnMGx4UqB78TYZP;zksxOjbstTLWBZpHGwUmftV9MGKQ0fc8KGH-LKtt0GVsbI22;gavan11;1635;ozhmH8KUEwJxaGzkYobm5nhUU053P_YBXDQQuwa07FbTeaxS7u83u8w5W1-3Y8xSdXpR7GiJU82PUg;1558976176000;125
0;wgrtYQyChRkee5IPtQ8Q6mp4XoBRgzcLXfz3qycvQsKJR2E;RE0dC4fqx7OABEoUMNya35UHYfo_mwea7PgxJgVF_yT40Z8;Phantomles;4086;ZCzwN_YtGDZh2ENtNvGC73otLnzTGVruKOmOvxHg0fxFnIvCLbL_XUKw0l8kkV6IE6pd1tKpTnLw9g;1558969615000;143
0;EuoXCpHkI0bdqNY_4xyXv_MEHt0X3gB4ImzPUhd4ptipDw;xGJjZ8x1jmBnqhOPcK8sDt_YkyuYXUSCLQMv7cK2iQbWzeI;Vera Xavier;4088;x2CzOxnMyjAVhRdgIx_cy8jytXWzvNZRmjLJ1a9NrXx9jxFVaiPLfroyRjYLHwjZep3C5qEzU9XmkQ;1558912760000;124
0;mm3hKaziQwwotajUACME7xMv9dWEGXElLOpVTPOVROC9dA;hBdJ9Prvb5o_AWJt_zKMcauK3WxXFbhqWgdVjI4mU6Uv9Ck;PENTA StormFury;4027;MKW2RNZCuQHuaMYT7anVJgJlpm8cKQDx5p9Y-KZkRtphM5miV11vlUkv4pfQQjenwzcoV9cLNlE5HA;1558980611000;174
0;cNozGYozLfL6q16WoY9-K9n1h1u55KPZB-AF6U7ykJYhVwg;me6MCjPsB847iO9LrmFM6pPJji_foH501b4bXsNfdVhxYwo;Danspirush;20;MP2OieKkEHdHDxplAzTAYpfa6IhuGd0rOF-avvFshF-IWczNzsoWUD6CiR_hm07Z64D9h8_G8JFSIQ;1558987277000;60
0;bwtl_mdbMiuUHPrrk5A4V_-e7Q9iHIUf1WLkba6_1SKKbA;bfrHoyVrWJ7iB_vAH60LSDLSgzCTF0P9YW08dXngXBCWUPU;Miulchi;3478;kAGcrsuwZmH_5Jlg5dP9B2CpwlhJertzeHuF4ykfH2DTAuIEGUETCB4sW7gtJQ7YwR_HALHRxwQHUw;1558743882000;186
0;IYm5rDO93u2QCm28kAVKdQpjT6V9TNhleypvG0w86991ZAU;ZizvBfmhRwlAYW9ig5js8NsaE86qaoK-lXuvZLNFP2mMxI8;Eloguden;3478;hU4_QnP9Hql8cWF7Tq31bTWd_GCwEk6NIUuMvp-97CRNYSshZz8sLAW2FM4KXj4fyQJh2lA0HU5-SQ;1558968367000;194
0;9J0nVXewBL5gxsnRLsuhHzCt6CVcb4rNR6NSKt1oAfcffA;_OnAfCQz7tykxakEkiEBSqqsrh5SbAXrScTfeQrwNXXD0JY;VGIA Viketox;4061;FVGcs-Ce4f55d3ylliWYT2C5rOYHZntyIoGZnSP1JYy0SiH-8ulmmKPhy7N3PIFuQEI0Sls6FFtfmw;1558992451000;308
0;zlxa2we6lmnRQi8aCN1XFutd1srJaZh55EVOFEjp0nKIvA;EdZOnrIKMPfEIKzRBYRXV4IOe1vnDIJNUN7Y1p7SGzR1dgI;Crëon;3182;Vqodeo7F1wEnldHxNeNldOlwtfOAm7nPCs7rmLHizPbzk7TrUblu2Qeey_YQuD1eAHzcXbaxQKUwsQ;1558964859000;267
0;JLGxoawkrp5ZSXMtyBuHI_rattI2AWaP4PhKQv0GpqcrjAU;R6-jjmsMHsWBEExWHfk-VOPSZwYAQ_9n_Sunz6orinI111k;Wasteee;539;Iz_mNFlTLxwlq4I8TT2NKjD7UBgXhlcd6kr5O0DH3O0P5TJ7od0kCPSTeiCWX7Dbzsv_tZi8OI6H-g;1558915301000;91
0;AJIBwsiO0nWwllO2fYkEH4bbslNNx38kT3kqY83qSZWY1_w;2yyUyYBeNMznpKLAbZwDs56otIAtAiBJlTs65orQ-tspNEk;IRL MARKSMAN;4086;uAvSViDpFIAJHm3f76Q7R7Fs49qgMyC9diCDATsocj6YVJLoSyu2-kQM05c6z7D-2e5_YhOLOlb5_g;1558989522000;238
0;iLj_kpWI_jAhePFvBx-h1Rt2B57T-xJ6dKT_XbtdZHuE1Ik;UdowVcF2FwyMK6UFAUrogrALUIC9SgnEMmGxH9NEnRg-BAQ;Whiterog;28;0aZM6WcITPcBi42vLwrrwy7dRa8pmLmd_kVhhxjVDrFeQ1NLE0WpybGpb0_wcJg_lAm7_BurLm8yHQ;1558987491000;62
0;fde8F7sxbJYWT5Y5etrSMTZ82TEJliZzmzPA0dul3-QT2Ks;JTlto8YIHiS3q_tHCqblSVWf3GKkgavdtL8a3FIhpgyhGNU;NVD Erixen;7;FUB5-b_GHL6-8dKH87IyIM2LBZcaOl2SgufsDbSbL_MV0sjD5NT-KGn1uSt8Ys7bMOUeeQPOtIEfbA;1558715235000;184
0;V4dVpiBFnRHrNJMYmqrj8P5caVoXTK6A7W4Ww491iGHtK1yB4I1j-tTB;gc1gaQfKJ5ARe5qTizjAg5heOGibmz0MX4tseVmFRmbNGWL6;Mersa;4;mjPmSzz-Fytc_fK4Va0gP6v2k2UYMQ3-jbVJcZdEotcFvCtPpuf-IpvXodYfHzLJZzb1k4GLG-MqRg;1558988426000;87
0;PtgHMuGiS1TP4H1RK4s8WPiJJ0H-wthlRW9g4GZd17ABTI0;F9CH2dCi8MkuEkEdviWrLpT5ayfPJKMJKILgRGP9cvJMnxo;7 BaIIs;4086;NRMBd98AyO3H3-2ZrUTfog9nr6EqRxNeotkQdJWJxtJII-H5aTP8RJXSETg1TFwF8lfn_l9P43N6Sw;1558960060000;154
