;accountId;id;name;profileIconId;puuid;revisionDate;summonerLevel
0;6iesMfJG79UNjV-AnF5iSpPT3YH0wlgv3Dr6LykEvN2iFeM;TaaTtBQZCxqBw85WCm_tmbcnz9KNPak9ifWKC5G8l_Uiy4k;Cheoli T 3 T;23;9JeFAKjwRTjNaNaahwjlAC3NntbBvY8rkrmlBrQ8q8nZBte86vrrYLZMaPCnJWXrhmfAa5riShtdjA;1558915196000;143
0;wDACzaEDAYJyLcZnYPYAPuHHFdNlDFoXW1tl5h3dyb0OUbXL4UEEe-E4;HIu1xtiGQdvUuUVAeayAD_w137gDK3qYQK7U1p8ln4sUs7I;Furuhashi Fumino;935;eYmrlt-k-sAYdn9nEQ31BYu7bEzsfK-gtgVGZdutJMa4ELsIhSBVHwSfbJ-2qpM-poB7Wv5qWr5a-Q;1558953879000;52
0;1syXDHBzADxGpu06gF03vl-GXtira-gRjdUCxynkmZgV2sHTSg2wOVRU;QtwbnopCAqPuZuaUGduAbeC9qNklK_vdJyF0OD9_TG9PRNk;like Xayah;4050;LTNOXIflhO98AYqEhc0rqzLPGQl7Wn0LF-rVmG0u2APlk3vfQCpMUASkSShaRXF6_xnGGRBx7XfTDw;1558957455000;97
0;SRhhfd-EZGbs6w3FXimpKdExCkALX_R6I_vFq2EUj1cuYCMiEXTTM9vf;5UUv3m9GOvTYRsOSUAd5B9J35L8dS-I45YA1q_PCh24s-P0;PPPPzzzz;3885;ESz5BImuLd0ufuOSJjPIzRXEPEwr8nckDXKIkpwWZpn2twnr9MO69ZwNrfLVbLFhwxKi0HB2tDbDJw;1558959156000;111
0;mtc7xC67KnQSnV6tfN7BFmynN-fPmytgvcK8xEPOmOCu6m0rDIfP-LEC;aAppa-dgfy4Jqz1QtVCMHKsBCb9hs-_JCNTmXafvwqJ18Lc;rekc4h9;4026;DLOqwGQlZPPYAUmTYhk5FcOPTaBinmIyAO--DW2byIEAOYO7HtJ-IStBupSeK45M3hTDNIz8CkKsmw;1558958777000;62
0;p45f1TwQJP0F8QsDmAmpwUUuzRR0Ir_69FBHeYRGvTefdfA;GWFr3Tlaz-lqW1-0V2myf1hFpmJIFEBWRdG8ScKK87zy0ck;SKT T1 Burdol;12;lIuR-qzaJ4viyDCeFzvpFBjw_f1Rg6oRvEyAx38tBNqxHa26ner7eIJZOJ2aTanto36pxiUVCoITSQ;1558938835000;164
0;dIIRfzkWsrTuzpW02MvMtxcMB1u2fPs34A6kZw_taWYM4HcWLu5GVON9;RRGGY9z7Mpd0CRwn0Axvletl_RVv7gl0a1oAK2W_lDqWtHg;비선별인원준영;3166;11wyoYy_o8Uu9T0IjDxbCu0OEhT81iOqK7-WsjphFRAhjCd64jh5J8Hs5whY5gmISCB7RRb8vndN-g;1558941950000;98
0;7IzmTICwFvJAE-0sHfCfOkyCAEZ972i_G17m4leNfRKJ;roSYf3zz3eMOvWEIujVH0mxQUCJUVDEoUQ3PuZW1ni-QX34;que shen;3478;H8EsD6g5jJ7FCfSUSj-_DRg8bnZYuv1Q9NX_3h819VzBJFvjxL_9LE4ovqv7mU_Frf-q9yjjrL6vvw;1558912761000;89
0;oUzUdt39ypWrOEc2F6VVUHBhVfQOmttw2XegEYS6_ObuEt0;8NaSrN0TyHV4M50RQc47n62rduAKs5seG1EYioXIgNcZzd0;바미싫어;3859;wXKbDnxzh2qI6eDaoo8urdtFN_Ur5r-Y7MvCexat6206b5MVius676Octq8PvjXygVlR2QUWJSGFnw;1558665862000;158
0;CgrTs2uJkawi1yKsRcIAoDBcpYD90MyNVJURvOQySsdN29raGzub4h6p;csgf3cloIAPdxFXTj6BInt9MH1KBD7ZmqixMXYg12ajJluY;스떠콘유;8;giu0bQpyVql642Exw5e_4y6ae3tZYUh15VM7LwcXEcQFgb_GP_Swzp0semcDPd79kvnwxWY3BXQg-g;1558847046000;63
0;-d63Lc6Twjf85ShshI2JXc7F4BPIBYoMVF1FaKfy8-E_;M1ymSlJSnFCwFk8Zf3furP5LQS1E0_wBx4dz0-sYy7nmVA;아니 한빈아;768;eVhwBigeRNZeeBOt3J2FVhgH2JhsSFSsSp_bHsyAKki0blmEYuB8WP6DHnjTkTVjWjbFJM_Wi8QJ1A;1558579072000;100
0;kge21FQFLfhS3NuKulZdlglytgs3Aa5onNe6Y61IFK4;7F73KzloioBEL8YQNzKSgRJwuAJrJcj1Q83Q04iJBwbzUw;LNG Weiwei;3478;3ClQx29_BU6ywqkMFNKYR244e7xuJPHjYQnlA8rCWUpIAbKwcDfbZphBPQGFLD_ReuYkajF2GrGGhA;1558954747000;165
0;xn2hPgtnRjDgJjZjIfcp-cztpcCpYHZ5U_egUbDPcSBHG1k;H5qAARs748ztHwFfE_R6LRnBh5QCTqlCSpjpXx1jLncQttI;밀레니엄베이비;1626;-835rkF9syyIOJ7z5_sLU0RKpPlicz2KeNSAzu5GO_MVl6555vV6Lc0Dp6agi2Z-qty82fTvZ2c_cg;1558854534000;271
0;-PUGR9bUau-1-jL9u4qkoyTJfTSMsjxcBrxT4iyvWTi5Xm30ZWRb70Ym;pDjLot-Y9vVkRkOB-RNeZGh4aKM4XY7IA8Num7hSnRdnlt8;xiao jiang jiang;3545;Ob-8DQCjZAHzpzaFoW_ZnTbwiZzOjv2eBcpChpwyeADbU-6Wzx-AfaPIu-vJ4YRPtZcXZknkkJd6Rg;1558943250000;59
0;KCdBUbG7Uuux5pDFAnCQ-albTdcKSv53Fj7dzP2elb6n05eo7W6ZJjVS;hZV3e8bYBzmkwom7ZzRzyOwBvWYdAOSTCaf1sjb-o70fX1E;cxwlp;4107;HcxhS8v8gdIWJfZ7oGslDG7zuHhQ6Dxi0ln21YPMK_BwF-S8avBrp0-a-F8MA8mpYUOpwpqDHiAyqQ;1558988444000;41
0;2IrvNunH5EsFDoR2vorDsSr_UMYdX_xiW2yNO7Kdnbfi;w9JVVW5V2UXxwlPTAxDjvSrMhwOTJjBDUrAaOdc-uwV1hA;금민관;3478;tqremykz_xdrVUekWOq_Icj06t5NgjZJENrOUe5R7Q_mYq1lqyHHn_eFjdJ7IYA9o7STxxcYYGtsQA;1558865371000;148
0;_-najkUlVaXjgZLoaUkqa4Eo0_Ufigl8C-wedJwtx4QDGw4;dzrX_lbAYUoIhFw5MTSg7-5m42UWnUmM-eySnAbVBCtjXHs;gggggggg1;3552;Yy2KBGrn0DAATdToFTLu5aGck7auQvNXQvpWEfVxYfymnoqT9kZgUVDZLecy-GH7R4MxwmdaK-MNRw;1558957904000;180
0;8CpGTUa2MI2Oqm5bT-l-IqUIn0XGv717iQRAaqXWl2WZ8vk;mZRSF1HxH9LYLmOBdrVM3uEQzxOnvMx7UZK0IlBnavN2Fv4;pyojg;3478;o2VIn3OxcptsMfhz9nkavepYQK2xnZTVG20UWgVKq_83hR2-9XkbpCaeMO1bQceHLM4OJgOJNb_QzQ;1558749889000;80
0;GLGNSjviZavX1SC-n9X9Ko7CucrPlsUUSsKZGp22a8eHgKQ;y_DfFIiPcBD8c-lpppp7CeZhVfpH4AScWan0curQI9nKVBo;팀한테화내지말자;4085;ASGVLOba_c18276p_sq_gugTy-sQpQnONi1d6l9oMCP_60Pji_c1DWgUdBpIfSgcfvAo1wvDojR_-Q;1558947199000;277
0;2l9CtPnEWHkHWtrvKgloo437lpy7m0FgYFJY-WLckBtHtEC-Yl6T8H4c;L6NH9rJmP5syRhoeY9f5HaesTz_b1VXgzMaTGJFXxRsl-L4;이거는안좋거든요;3898;RUXacmJ71oWAWDmVqHooIgUKq_26gjjzFyeYwE0QNdRCzWNjWWt4r29G_7UmB9HM4V3QyxaZO2hyHA;1558761454000;70
0;Uve6G0II38bldtGDc9fe8LnqEf74CyC1gmOHnJ7MrsXA;dT-oiZLo9R9AX4sroZAO3EejAUqtFDea6U_VsJEDyW2Iqg;혜지와 동급;3351;6oSiT7LxPoIjzR1dKb0QsQbjbznE2uUqQnmqBmk6cz8wlrnp0HxqjyMSOU0bJ887GQ_nmE3f33a7zg;1558964168000;115
0;6dhBeE-suY3-IiVY2Ev9c9H0Pd_5pFEeXfrpoJ3wFoJx3-_C02vxPt-m;R85vudZzQEizXl17HMBYXKEX-QCpeDX1nUVywGhoT5Gz_1Q;benevolent bud;7;JCyLAGnI-yNsLH5GG4DSnV-rDRsb5C34BFQGgeqf1Olb5WyHEIB0WQbu8NE0FPUTgi_oXzPGzWuSiQ;1558048871000;46
0;9ze-qaappEav3TCqRKPZmEKx1zg5un8xkwayrtZAg5CEmNc;J75wTNdYu1rfcmCmR7YksN_Mo_kLIjZnnkU4Xvtd1oYKBLY;GGamza;23;R7N9YN1SCb7cyXBsuVEI1ZpTBiGHbWz8QFoq1Jv0pIR7jzvX6MmVlIHDLRPUeWnqIcQw1lQQvIQFsg;1558863245000;240
0;-2xqJV5-vJnIFHwuv6-kK0GqvK2JL8iXOBA2oRuY1yDz;MFzodAIP6rI4rhr7P8DY2YycB6bX8YhxHKydHRydSV81QQ;jincanyi huya;3587;zElX5OJp0B606rj1taBhMy-CWwCZogB0NTrainiFT8s9sb7Geclc9LwfMqH5mmC_zHLbReDp1S-lOA;1558954642000;94
0;wfUAJss16abr244skSRBG19Aqa8OdtmVyXjxcYBYZ5iN4N0;8mVGW0GysS2EKR8G8zUPk9UIs66VXeho3Fj2CuykpWJwOZQ;클린유저에요;3478;kY-2nbKVmF3HE1UN9VKa2NJD0ELP_JTS_k5Ipq1enYZw89NsmNZ4V8tMKHfa2bFlLQ6Zwk_sRl2m-g;1558957063000;94
0;onOtuX4dxEjKvrFaz3KhNH_NTyUez6fm6CbA2Q9dcDNqmLkxT3XtGKDE;_0b_KSqZSUBku6v0gxIaY2fLni7bCufHFqJd0MbBYRkGIY4;H2O Man;3478;OG3NdHfl9bRHT8bs8MawVEpOr-uEeRTih2r0VDakZPGwhxmQThzjEWESFwPq1lNe49oqUhWv6yvjuA;1558956330000;68
0;VXQhQG30Ao5gj5LvS_WBW9XW1qX7Hxsvb-yIS1Hq6IUgk0DMrmCdDCMh;zbAsPYkFRYoaBRr3uyrvC8We1RUncIH8Os89VUxfx4JV8kg;호브이;3855;7adv8Pk7GTfEWN95mXg4bQnCK0zmxb3xZKNm6Py01we3NdemEQ9SAKVcdDTD9VvnE3a94vbC9XD84w;1558828476000;63
